Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
2,0:24,1,8,TEN 8,21,14,Joe Burrow pass complete short middle to Chase Brown for 5 yards (tackle by James Williams and Amani Hooker),5.370,5.530
2,0:12,2,3,TEN 3,21,14,Joe Burrow spiked the ball,5.530,4.720
2,0:10,,,,,,Timeout #2 by Tennessee Titans,,
2,0:10,3,3,TEN 3,21,14,Joe Burrow pass incomplete short right intended for Tee Higgins,4.720,3.040
2,0:06,4,3,TEN 3,24,14,Cade York 21 yard field goal good,3.040,3.000
2,0:02,,,CIN 35,24,14,Cade York kicks off 70 yards returned by Tyjae Spears for 20 yards (tackle by Shaka Heyward),0.000,1.270
3,15:00,,,CIN 35,24,14,Cade York kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,TEN 30,24,14,Tony Pollard left guard for 3 yards (tackle by B.J. Hill),0.940,0.800
3,14:16,2,7,TEN 33,24,14,Will Levis pass complete short middle to Chigoziem Okonkwo for 23 yards (tackle by Cam Taylor-Britt and Jordan Battle). Penalty on Peter Skoronski: Offensive Low Block 15 yards (accepted) (no play),0.800,-1.330
3,13:50,2,22,TEN 18,24,14,Will Levis pass complete short left to Tyjae Spears for 4 yards (tackle by Jordan Battle and Trey Hendrickson),-1.330,-1.350
3,13:08,3,18,TEN 22,24,14,Will Levis sacked by B.J. Hill for -7 yards,-1.350,-2.440
3,12:28,4,25,TEN 15,24,14,Ryan Stonehouse punts 67 yards returned by Isaiah Williams for 15 yards (tackle by Justin Hardee and Mike Brown),-2.440,-1.140
3,12:15,1,10,CIN 33,24,14,Chase Brown up the middle for 3 yards (tackle by Jeffery Simmons and Jarvis Brownlee),1.140,1.000
3,11:34,2,7,CIN 36,24,14,Joe Burrow pass complete short left to Drew Sample for 8 yards (tackle by Jarvis Brownlee and Darrell Baker),1.000,1.860
3,10:51,1,10,CIN 44,24,14,Joe Burrow pass incomplete deep left intended for Tee Higgins. Penalty on Chidobe Awuzie: Defensive Pass Interference 15 yards (accepted) (no play),1.860,2.850
3,10:43,1,10,TEN 41,24,14,Joe Burrow pass complete short middle to Ja'Marr Chase for 5 yards (tackle by Amani Hooker and Harold Landry),2.850,2.980
3,10:02,2,5,TEN 36,24,14,Chase Brown right end for 3 yards (tackle by James Williams),2.980,2.680
3,9:18,3,2,TEN 33,24,14,Penalty on Amarius Mims: False Start 5 yards (accepted) (no play),2.680,2.020
3,8:54,3,7,TEN 38,24,14,Joe Burrow pass deep right intended for Ja'Marr Chase is intercepted by Daryl Worley at TEN-3 and returned for no gain (tackle by Ja'Marr Chase),2.020,0.380
3,8:46,1,10,TEN 3,24,14,Tony Pollard left guard for 3 yards (tackle by Germaine Pratt and Akeem Davis-Gaither),-0.380,-0.560
