Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
2,11:32,2,10,IND 4,10,0,Jonathan Taylor right guard for 4 yards (tackle by Malcolm Roach),-0.780,-0.950
2,10:51,3,6,IND 8,10,0,Anthony Richardson pass complete short right to Anthony Richardson for -1 yards (tackle by Justin Strnad),-0.950,-2.490
2,10:07,4,7,IND 7,10,0,Rigoberto Sanchez punts 47 yards out of bounds,-2.490,-1.990
2,10:00,1,10,DEN 46,10,0,Bo Nix pass complete short middle to Javonte Williams for 9 yards (tackle by E.J. Speed and Zaire Franklin),1.990,2.670
2,9:25,2,1,IND 45,10,0,Javonte Williams right tackle for no gain (tackle by Grant Stuard),2.670,1.950
2,8:50,3,1,IND 45,10,0,Bo Nix up the middle for 2 yards (tackle by Zaire Franklin),1.950,2.720
2,8:13,1,10,IND 43,10,0,Bo Nix pass incomplete short right,2.720,2.180
2,8:05,2,10,IND 43,10,0,Jaleel McLaughlin up the middle for 2 yards (tackle by E.J. Speed),2.180,1.750
2,7:24,3,8,IND 41,10,0,Bo Nix pass complete short left to Marvin Mims for 11 yards (tackle by E.J. Speed),1.750,3.580
2,6:40,1,10,IND 30,10,0,Bo Nix pass complete short left to Adam Trautman for 7 yards (tackle by Nick Cross and E.J. Speed),3.580,3.980
2,6:14,2,3,IND 23,10,0,Bo Nix pass incomplete deep left intended for Courtland Sutton. Penalty on Jaylon Jones: Defensive Pass Interference 10 yards (accepted) (no play),3.980,4.710
2,6:10,1,10,IND 13,10,0,Jaleel McLaughlin right end for no gain (tackle by Zaire Franklin),4.710,4.050
2,5:33,2,10,IND 13,10,6,Bo Nix pass complete short middle to Adam Trautman for 13 yards touchdown,4.050,7.000
2,5:29,,,IND 15,10,7,Wil Lutz kicks extra point good,0.000,0.000
2,5:29,,,DEN 35,10,7,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,5:29,1,10,IND 30,10,7,Jonathan Taylor left guard for no gain (tackle by John Franklin-Myers and Cody Barton),0.940,0.390
2,4:51,2,10,IND 30,10,7,Anthony Richardson left guard for 12 yards (tackle by Nik Bonitto),0.390,1.730
2,4:12,1,10,IND 42,10,7,Anthony Richardson pass incomplete short left intended for Alec Pierce,1.730,1.190
2,4:03,2,10,IND 42,10,7,Anthony Richardson pass deep right intended for Alec Pierce is intercepted by Brandon Jones at DEN-38 and returned for no gain (tackle by Alec Pierce). Penalty on Bernhard Raimann: Ineligible Downfield Pass 5 yards (declined),1.190,-1.470
2,3:57,1,10,DEN 38,10,7,Bo Nix pass complete short left to Jaleel McLaughlin for 5 yards (tackle by Grover Stewart),1.470,1.600
2,3:18,2,5,DEN 43,10,7,Bo Nix pass incomplete short left intended for Courtland Sutton,1.600,0.890
2,3:15,3,5,DEN 43,10,7,Bo Nix pass incomplete short right intended for Javonte Williams,0.890,-0.520
2,3:09,4,5,DEN 43,10,7,Riley Dixon punts 43 yards fair catch by Anthony Gould at IND-14,-0.520,0.280
2,3:02,1,10,IND 14,10,7,Jonathan Taylor left tackle for 4 yards (tackle by Ja'Quan McMillian and Dondrea Tillman),-0.280,-0.210
2,2:56,,,,,,Timeout #1 by Denver Broncos,,
2,2:56,2,6,IND 18,10,7,Anthony Richardson pass incomplete short right intended for Josh Downs,-0.210,-0.920
2,2:52,3,6,IND 18,10,7,Anthony Richardson pass incomplete short right intended for Michael Pittman,-0.920,-2.240
2,2:48,4,6,IND 18,10,7,Rigoberto Sanchez punts 54 yards fair catch by Marvin Mims at DEN-28,-2.240,-0.810
2,2:40,1,10,DEN 28,10,7,Javonte Williams right guard for 2 yards (tackle by E.J. Speed),0.810,0.530
2,2:04,2,8,DEN 30,10,7,Bo Nix pass complete short left to Jaleel McLaughlin for 6 yards (tackle by Zaire Franklin),0.530,0.630
2,1:58,3,2,DEN 36,10,7,Penalty on Mike McGlinchey: False Start 5 yards (accepted) (no play),0.630,-0.030
