Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
3,11:32,2,6,BAL 45,21,7,Devin Singletary left guard for 1 yard (tackle by Malik Harrison and Brandon Stephens),2.320,1.750
3,10:50,3,5,BAL 44,21,7,Tim Boyle pass incomplete deep right intended for Wan'Dale Robinson,1.750,0.330
3,10:46,4,5,BAL 44,21,7,Jamie Gillan punts 30 yards fair catch by Desmond King at BAL-14,0.330,0.280
3,10:39,1,10,BAL 14,21,7,Derrick Henry right end for 1 yard (tackle by Brian Burns and Greg Stroman),-0.280,-0.640
3,10:06,2,9,BAL 15,21,7,Derrick Henry right tackle for 8 yards (tackle by Art Green),-0.640,-0.320
3,9:44,3,1,BAL 23,21,7,Derrick Henry up the middle for 6 yards (tackle by Micah McFadden),-0.320,0.870
3,9:04,1,10,BAL 29,21,7,Lamar Jackson pass complete short left to Zay Flowers for 7 yards (tackle by Adoree' Jackson and Jason Pinnock),0.870,1.270
3,8:22,2,3,BAL 36,21,7,Lamar Jackson left end for 10 yards (tackle by Micah McFadden),1.270,1.990
3,7:38,1,10,BAL 46,21,7,Lamar Jackson pass incomplete deep middle intended for Rashod Bateman (defended by Dane Belton),1.990,1.450
3,7:28,2,10,BAL 46,21,7,Lamar Jackson pass complete short left to Tylan Wallace for 8 yards (tackle by Greg Stroman),1.450,1.820
3,6:46,3,2,NYG 46,21,7,Derrick Henry up the middle for 6 yards (tackle by Dane Belton and Darius Muasau),1.820,2.920
3,6:12,1,10,NYG 40,21,7,Derrick Henry right tackle for 10 yards (tackle by Dane Belton),2.920,3.580
3,5:30,1,10,NYG 30,21,7,Justice Hill right tackle for 1 yard (tackle by Micah McFadden and Jordon Riley),3.580,3.170
3,4:48,2,9,NYG 29,21,7,Lamar Jackson pass complete short middle to Zay Flowers for 8 yards (tackle by Dane Belton),3.170,3.530
3,4:07,3,1,NYG 21,27,7,Lamar Jackson pass complete deep right to Devontez Walker for 21 yards touchdown,3.530,7.000
3,4:01,,,NYG 15,28,7,Justin Tucker kicks extra point good,0.000,0.000
3,4:01,,,BAL 35,28,7,Jordan Stout kicks off 65 yards touchback.,0.000,0.940
3,4:01,1,10,NYG 30,28,7,Tim Boyle pass incomplete short left,0.940,0.390
3,3:55,2,10,NYG 30,28,7,Tim Boyle pass incomplete short left intended for Tyrone Tracy,0.390,-0.300
3,3:51,3,10,NYG 30,28,7,Tim Boyle pass complete deep right to Wan'Dale Robinson for 25 yards (tackle by Nate Wiggins),-0.300,2.590
3,3:00,1,10,BAL 45,28,7,Tim Boyle pass complete short middle to Daniel Bellinger for 17 yards (tackle by Marlon Humphrey),2.590,3.710
3,2:33,1,10,BAL 28,28,7,Tim Boyle pass incomplete short middle intended for Tyrone Tracy (defended by Roquan Smith),3.710,3.170
3,2:29,2,10,BAL 28,28,7,Devin Singletary left guard for 3 yards (tackle by Odafe Oweh and Kyle Hamilton),3.170,2.870
3,1:54,3,7,BAL 25,28,7,Penalty on Evan Neal: False Start 5 yards (accepted) (no play),2.870,2.210
3,1:34,3,12,BAL 30,28,7,Tim Boyle pass complete short right to Malik Nabers for 9 yards (tackle by Nate Wiggins and Marlon Humphrey),2.210,2.160
3,0:55,4,3,BAL 21,28,7,Tim Boyle pass incomplete deep left intended for Malik Nabers (defended by Brandon Stephens). Penalty on Brandon Stephens: Defensive Pass Interference 16 yards (accepted) (no play),2.160,6.060
3,0:52,1,5,BAL 5,28,7,Devin Singletary right guard for 3 yards (tackle by Marlon Humphrey and Kyle Van Noy),6.060,5.720
3,0:08,2,2,BAL 2,28,7,Tim Boyle pass incomplete short right intended for Malik Nabers,5.720,4.950
3,0:04,3,2,BAL 2,28,7,Tim Boyle pass incomplete short right intended for Malik Nabers (defended by Nate Wiggins),4.950,3.250
