Quarter,Time,Down,ToGo,Location,PIT,LVR,Detail,EPB,EPA
2,1:18,3,4,LVR 24,6,7,Justin Fields pass short middle is intercepted by Divine Deablo at LV-17 and returned for no gain (tackle by Darnell Washington and George Pickens). Penalty on Matthew Butler: Roughing the Passer 12 yards (accepted) (no play),3.140,4.780
2,1:11,1,10,LVR 12,6,7,Justin Fields scrambles left end for 7 yards (tackle by Robert Spillane),4.780,5.410
2,1:02,2,3,LVR 5,6,7,Justin Fields left end for 1 yard (tackle by Nate Hobbs),5.410,4.840
2,0:55,,,,,,Timeout #1 by Las Vegas Raiders,,
2,0:55,3,2,LVR 4,6,7,Najee Harris up the middle for 1 yard (tackle by John Jenkins and Adam Butler),4.840,3.060
2,0:40,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:40,4,1,LVR 3,12,7,Justin Fields scrambles left end for 3 yards touchdown,3.060,7.000
2,0:34,,,LVR 2,12,7,Two Point Attempt: Justin Fields pass incomplete intended for intended for Connor Heyward,1.000,-1.000
2,0:34,,,PIT 35,12,7,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
2,0:34,1,10,LVR 30,12,7,Aidan O'Connell pass complete short left to Alex Bachman for 11 yards (tackle by Joey Porter),0.940,1.660
2,0:19,1,10,LVR 41,12,7,Aidan O'Connell pass complete short middle to DJ Turner for 7 yards (tackle by Patrick Queen),1.660,2.070
2,0:12,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:12,2,3,LVR 48,12,7,Aidan O'Connell pass incomplete deep left intended for Tre Tucker,2.070,1.360
2,0:07,3,3,LVR 48,12,7,Aidan O'Connell pass incomplete short left intended for Ameer Abdullah,1.360,-0.190
2,0:04,4,3,LVR 48,12,7,Aidan O'Connell pass incomplete deep left,-0.190,2.130
3,15:00,,,PIT 35,12,7,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LVR 30,12,7,Alexander Mattison left guard for -1 yards (tackle by T.J. Watt),0.940,0.260
3,14:22,2,11,LVR 29,12,7,Aidan O'Connell pass complete short left to Brock Bowers for 9 yards (tackle by DeShon Elliott),0.260,0.760
