Quarter,Time,Down,ToGo,Location,TAM,NOR,Detail,EPB,EPA
2,8:41,1,10,TAM 10,17,19,Spencer Rattler pass complete short left to Bub Means for 10 yards touchdown,4.910,7.000
2,8:37,,,TAM 15,17,20,Blake Grupe kicks extra point good,0.000,0.000
2,8:37,,,NOR 35,17,20,Blake Grupe kicks off 65 yards returned by D.J. Williams for 24 yards (tackle by Jordan Howden and D'Marco Jackson),0.000,0.540
2,8:30,1,10,TAM 24,17,20,Bucky Irving left guard for 2 yards (tackle by Carl Granderson and Alontae Taylor). Penalty on Luke Goedeke: Offensive Holding 10 yards (accepted),0.540,-0.270
2,8:09,1,18,TAM 16,17,20,Baker Mayfield pass complete short middle to Chris Godwin for 5 yards (tackle by Willie Gay),-0.270,-0.410
2,7:29,2,13,TAM 21,17,20,Baker Mayfield pass complete short left to Ryan Miller for 39 yards (tackle by Marshon Lattimore and Jordan Howden),-0.410,2.920
2,7:05,1,10,NOR 40,17,20,Bucky Irving left guard for -2 yards (tackle by Nathan Shepherd),2.920,2.100
2,6:30,2,12,NOR 42,17,20,Baker Mayfield pass complete short right to Bucky Irving for 6 yards (tackle by Kool-Aid McKinstry),2.100,2.210
2,5:48,3,6,NOR 36,23,20,Baker Mayfield pass complete short right to Sean Tucker for 36 yards touchdown,2.210,7.000
2,5:39,,,NOR 15,24,20,Chase McLaughlin kicks extra point good,0.000,0.000
2,5:39,,,TAM 35,24,20,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
2,5:39,1,10,NOR 30,24,20,Jordan Mims left tackle for 5 yards (tackle by Logan Hall and Vita Vea),0.940,1.070
2,5:05,2,5,NOR 35,24,20,Spencer Rattler pass incomplete short right intended for Mason Tipton,1.070,0.370
2,5:01,3,5,NOR 35,24,20,Spencer Rattler pass complete short right to Bub Means for 14 yards (tackle by Tykee Smith),0.370,2.190
2,4:36,1,10,NOR 49,24,20,Alvin Kamara right guard for 3 yards (tackle by YaYa Diaby and Antoine Winfield),2.190,2.050
2,4:01,2,7,TAM 48,24,20,Spencer Rattler pass complete deep middle to Foster Moreau for 41 yards (tackle by Antoine Winfield and Joe Tryon-Shoyinka),2.050,5.600
2,3:25,1,7,TAM 7,24,20,Alvin Kamara right guard for 3 yards (tackle by Anthony Nelson and Antoine Winfield),5.600,5.340
2,2:50,2,4,TAM 4,24,26,Alvin Kamara left guard for 4 yards touchdown,5.340,7.000
2,2:47,,,TAM 15,24,27,Blake Grupe kicks extra point good,0.000,0.000
2,2:47,,,NOR 35,24,27,Blake Grupe kicks off 65 yards returned by D.J. Williams for 30 yards (tackle by J.T. Gray and Cedrick Wilson),0.000,0.940
2,2:41,1,10,TAM 30,24,27,Baker Mayfield pass incomplete short right intended for Cade Otton,0.940,0.390
2,2:35,2,10,TAM 30,24,27,Baker Mayfield pass complete short right to Chris Godwin for 6 yards (tackle by Paulson Adebo),0.390,0.500
2,2:01,3,4,TAM 36,24,27,Baker Mayfield pass complete short middle to Chris Godwin for 21 yards (tackle by Kool-Aid McKinstry),0.500,2.720
2,1:55,1,10,NOR 43,24,27,Baker Mayfield pass incomplete short right intended for Sterling Shepard (defended by Willie Gay),2.720,2.180
2,1:48,2,10,NOR 43,24,27,Baker Mayfield pass short middle (defended by Bryan Bresee) intended for Cade Otton is intercepted by Cameron Jordan at NO-40 and returned for no gain (tackle by Cade Otton),2.180,-1.600
2,1:41,1,10,NOR 40,24,27,Spencer Rattler pass incomplete short right intended for Mason Tipton. Penalty on Zyon McCollum: Defensive Holding 5 yards (accepted) (no play),1.600,1.930
2,1:37,1,10,NOR 45,24,27,Alvin Kamara left end for 7 yards (tackle by Lavonte David),1.930,2.330
2,1:14,2,3,TAM 48,24,27,Spencer Rattler pass complete short left to Bub Means for 3 yards (tackle by Tyrek Funderburk),2.330,2.590
2,1:11,1,10,TAM 45,24,27,Spencer Rattler pass incomplete short left,2.590,2.040
2,1:05,2,10,TAM 45,24,27,Spencer Rattler pass incomplete short right,2.040,1.360
2,0:59,,,,,,Timeout #1 by New Orleans Saints,,
2,0:59,3,10,TAM 45,24,27,Spencer Rattler pass incomplete deep middle intended for Rashid Shaheed (defended by Antoine Winfield),1.360,0.270
2,0:54,4,10,TAM 45,24,27,Matthew Hayball punts 35 yards downed by Rico Payton,0.270,0.380
2,0:46,1,10,TAM 10,24,27,Bucky Irving left guard for 9 yards (tackle by Kool-Aid McKinstry),-0.380,0.240
2,0:24,2,1,TAM 19,24,27,Baker Mayfield pass complete short right to Sterling Shepard for 5 yards (tackle by Paulson Adebo),0.240,0.540
2,0:19,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
