Quarter,Time,Down,ToGo,Location,CIN,NYG,Detail,EPB,EPA
4,2:05,1,10,NYG 37,10,7,Chase Brown left end for 7 yards. Chase Brown fumbles (forced by Micah McFadden). Chase Brown fumbles out of bounds,3.120,3.520
4,1:58,,,,,,Timeout #1 by Cincinnati Bengals,,
4,1:58,2,3,NYG 30,16,7,Chase Brown up the middle for 30 yards touchdown,3.520,7.000
4,1:52,,,NYG 15,17,7,Evan McPherson kicks extra point good,0.000,0.000
4,1:52,,,CIN 35,17,7,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
4,1:52,1,10,NYG 30,17,7,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson (defended by B.J. Hill),0.940,0.390
4,1:48,2,10,NYG 30,17,7,Daniel Jones sacked by Trey Hendrickson for -6 yards,0.390,-1.090
4,1:41,,,,,,Timeout #3 by New York Giants,,
4,1:41,3,16,NYG 24,17,7,Daniel Jones pass incomplete deep left intended for Jalin Hyatt. Penalty on Cam Taylor-Britt: Defensive Pass Interference 17 yards (accepted) (no play),-1.090,1.660
4,1:36,1,10,NYG 41,17,7,Daniel Jones pass complete short middle to Wan'Dale Robinson for 15 yards (tackle by Geno Stone),1.660,2.650
4,1:22,1,10,CIN 44,17,7,Daniel Jones spiked the ball,2.650,2.110
4,1:21,2,10,CIN 44,17,7,Daniel Jones pass complete short right to Theo Johnson for 7 yards,2.110,2.350
4,1:14,3,3,CIN 37,17,7,Daniel Jones pass complete short left to Darius Slayton for 10 yards (tackle by Jalen Davis and Geno Stone),2.350,3.780
4,0:56,1,10,CIN 27,17,7,Daniel Jones spiked the ball,3.780,3.230
4,0:55,2,10,CIN 27,17,7,Greg Joseph 45 yard field goal no good,3.230,-1.270
4,0:51,1,10,CIN 35,17,7,Joe Burrow kneels for -1 yards,1.270,0.590
4,0:38,2,11,CIN 34,17,7,Joe Burrow kneels for -1 yards,0.590,-0.230
