Quarter,Time,Down,ToGo,Location,ARI,GNB,Detail,EPB,EPA
2,1:13,1,10,GNB 32,7,24,Jordan Love pass complete short left to Tucker Kraft for 5 yards (tackle by Owen Pappoe),1.070,1.200
2,1:08,2,5,GNB 37,7,24,Jordan Love pass short right intended for Bo Melton is intercepted by Sean Murphy-Bunting at GB-45 and returned for no gain (tackle by Romeo Doubs),1.200,-2.590
2,1:04,1,10,GNB 45,7,24,Kyler Murray scrambles right end for no gain (tackle by Kingsley Enagbare). Penalty on Evan Brown: Offensive Holding 10 yards (accepted) (no play),2.590,1.930
2,0:58,1,20,ARI 45,7,24,Kyler Murray pass complete short middle to Emari Demercado for 7 yards (tackle by Edgerrin Cooper),1.930,1.640
2,0:52,,,,,,Timeout #1 by Arizona Cardinals,,
2,0:52,2,13,GNB 48,7,24,Kyler Murray pass complete short middle to Trey McBride for 13 yards (tackle by Quay Walker),1.640,3.250
2,0:37,1,10,GNB 35,7,24,Kyler Murray pass complete short right to Trey McBride for 8 yards (tackle by Quay Walker),3.250,3.780
2,0:29,2,2,GNB 27,7,24,Kyler Murray pass incomplete short right intended for Greg Dortch,3.780,3.070
2,0:25,3,2,GNB 27,7,24,Kyler Murray pass complete short left to Michael Wilson for 3 yards (tackle by Jaire Alexander),3.070,3.970
2,0:20,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:20,1,10,GNB 24,7,24,Kyler Murray pass incomplete short left intended for Emari Demercado,3.970,3.430
2,0:17,2,10,GNB 24,7,24,Kyler Murray pass complete short middle to Emari Demercado for 9 yards (tackle by Evan Williams and Edgerrin Cooper),3.430,4.170
2,0:12,,,,,,Timeout #3 by Arizona Cardinals,,
2,0:12,3,1,GNB 15,7,24,Penalty on Kelvin Beachum: False Start 5 yards (accepted) (no play),4.170,3.270
2,0:12,3,6,GNB 20,7,24,Kyler Murray pass incomplete deep left intended for Michael Wilson,3.270,2.150
2,0:07,,,,,,Timeout #2 by Green Bay Packers,,
2,0:07,4,6,GNB 20,10,24,Chad Ryland 38 yard field goal good,2.150,3.000
2,0:04,,,ARI 35,10,24,Chad Ryland kicks off 66 yards returned by Keisean Nixon for 37 yards (tackle by DeeJay Dallas and Jesse Luketa),0.000,1.270
3,15:00,,,GNB 35,10,24,Brayden Narveson kicks off 68 yards returned by Greg Dortch for 29 yards (tackle by Ty'Ron Hopper),0.000,0.670
3,14:54,1,10,ARI 26,10,24,Trey Benson right end for 1 yard (tackle by Quay Walker and Rashan Gary),0.670,0.270
3,14:16,2,9,ARI 27,10,24,Kyler Murray pass complete short middle to Trey McBride for 12 yards (tackle by Isaiah McDuffie),0.270,1.530
3,13:30,1,10,ARI 39,10,24,Trey Benson left guard for 3 yards (tackle by Kenny Clark and Tedarrell Slaton),1.530,1.390
3,12:45,2,7,ARI 42,10,24,Kyler Murray pass complete short middle to Trey McBride for 13 yards (tackle by Javon Bullard),1.390,2.590
3,12:04,1,10,GNB 45,10,24,Trey Benson right guard for 20 yards (tackle by Keisean Nixon),2.590,3.910
3,11:21,1,10,GNB 25,10,24,Penalty on Kyler Murray: Delay of Game 5 yards (accepted) (no play),3.910,3.580
