Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA
4,9:35,4,9,SEA 40,23,17,Mitch Wishnowsky punts 37 yards downed by Chris Conley,0.590,0.380
4,9:27,1,10,SEA 3,23,17,Geno Smith pass complete short right to Kenneth Walker for 6 yards (tackle by George Odum),-0.380,-0.340
4,8:56,2,4,SEA 9,23,17,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Deommodore Lenoir),-0.340,-0.220
4,8:37,1,10,SEA 15,23,17,Geno Smith pass complete short left to D.K. Metcalf for 10 yards (tackle by Deommodore Lenoir and Ji'Ayir Brown),-0.220,0.610
4,8:04,1,10,SEA 25,23,17,Geno Smith pass complete short left to D.K. Metcalf for 4 yards (tackle by Ji'Ayir Brown). Penalty on AJ Barner: Offensive Holding 10 yards (accepted) (no play),0.610,-0.410
4,7:56,1,20,SEA 15,23,17,Geno Smith pass deep middle intended for D.K. Metcalf is intercepted by Renardo Green at SEA-35 and returned for 20 yards (tackle by Noah Fant),-0.410,-4.580
4,7:46,1,10,SEA 15,23,17,Patrick Taylor right end for 6 yards (tackle by Julian Love and Dre'Mont Jones),4.580,5.030
4,7:06,2,4,SEA 9,23,17,Patrick Taylor up the middle for no gain (tackle by Jarran Reed and Johnathan Hankins),5.030,4.220
4,6:24,3,4,SEA 9,29,17,Brock Purdy pass complete short middle to George Kittle for 9 yards touchdown,4.220,7.000
4,6:20,,,SEA 2,29,17,Two Point Attempt: Brock Purdy pass incomplete intended for intended for George Kittle. Penalty on Nehemiah Pritchett: Defensive Offside 1 yard (accepted) (no play),1.000,1.000
4,6:20,,,SEA 1,29,17,Two Point Attempt: Patrick Taylor rushes conversion fails.,1.000,-1.000
4,6:20,,,SFO 35,29,17,Matthew Wright kicks off 60 yards returned by Dee Williams for 25 yards (tackle by Rock Ya-Sin),0.000,0.940
4,6:14,1,10,SEA 30,29,17,Geno Smith pass complete short left to Kenneth Walker for 1 yard (tackle by Renardo Green and Fred Warner),0.940,0.530
4,5:40,2,9,SEA 31,29,17,Geno Smith pass complete short right to Noah Fant for 12 yards (tackle by Fred Warner),0.530,1.800
4,5:17,1,10,SEA 43,29,17,Geno Smith pass complete short right to Jaxon Smith-Njigba for 5 yards (tackle by Isaac Yiadom),1.800,1.930
4,4:49,2,5,SEA 48,29,17,Geno Smith pass incomplete short right intended for Tyler Lockett,1.930,1.220
4,4:46,3,5,SEA 48,29,17,Geno Smith pass complete short right to D.K. Metcalf for no gain touchdown (no play),1.220,0.560
4,4:39,3,10,SEA 43,29,17,Geno Smith pass complete short left to Jake Bobo for 11 yards (tackle by De'Vondre Campbell and Renardo Green),0.560,2.520
4,4:14,1,10,SFO 46,29,17,Geno Smith pass complete short left to Jake Bobo for 7 yards,2.520,2.920
4,4:09,2,3,SFO 39,29,17,Geno Smith pass complete short right to Jaxon Smith-Njigba for 1 yard. Jaxon Smith-Njigba fumbles (forced by Fred Warner) recovered by Anthony Bradford at SF-38,2.920,2.350
4,3:42,3,2,SFO 38,29,17,Penalty on Charles Cross: False Start 5 yards (accepted) (no play),2.350,1.680
4,3:39,3,7,SFO 43,29,17,Geno Smith pass complete short middle to Kenneth Walker for 11 yards (tackle by Deommodore Lenoir and George Odum),1.680,3.450
4,3:18,1,10,SFO 32,29,17,Geno Smith pass complete short right to Tyler Lockett for 13 yards (tackle by George Odum),3.450,4.310
4,3:01,1,10,SFO 19,29,17,Geno Smith pass complete short middle to Kenneth Walker for 2 yards (tackle by Kalia Davis),4.310,4.030
4,2:36,2,8,SFO 17,29,17,Geno Smith pass complete short middle to Kenneth Walker for 8 yards (tackle by Fred Warner),4.030,5.140
4,2:07,1,9,SFO 9,29,17,Geno Smith pass incomplete short middle intended for Tyler Lockett,5.140,4.380
4,1:59,2,9,SFO 9,29,17,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba,4.380,3.360
