Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
2,1:06,1,10,TEN 15,7,10,Joe Flacco pass complete short right to Josh Downs for 7 yards (tackle by Roger McCreary),4.580,5.220
2,0:25,2,3,TEN 8,7,10,Joe Flacco pass incomplete short right,5.220,4.450
2,0:24,3,3,TEN 8,7,10,Joe Flacco pass incomplete short right intended for Josh Downs (defended by Jarvis Brownlee),4.450,2.980
2,0:22,4,3,TEN 8,10,10,Matt Gay 26 yard field goal good,2.980,3.000
2,0:19,,,IND 35,10,10,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,0:19,1,10,TEN 30,10,10,Tyjae Spears up the middle for 4 yards (tackle by Laiatu Latu),0.940,0.930
3,15:00,,,IND 35,10,10,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,TEN 30,10,10,Tony Pollard left tackle for 6 yards (tackle by Taven Bryan and Nick Cross),0.940,1.200
3,14:25,2,4,TEN 36,10,10,Tony Pollard right guard for 5 yards (tackle by Kenny Moore). Penalty on Taven Bryan: Defensive Holding 5 yards (accepted),1.200,1.990
3,13:45,1,10,TEN 46,10,10,Will Levis pass incomplete short right intended for Calvin Ridley (defended by Jaylon Carlies),1.990,1.450
3,13:35,2,10,TEN 46,10,10,Will Levis pass complete short middle to Tony Pollard for 1 yard (tackle by E.J. Speed and Grover Stewart),1.450,0.890
3,13:10,3,9,TEN 47,10,10,Penalty on Laiatu Latu: Neutral Zone Infraction 5 yards (accepted) (no play),0.890,1.550
3,13:09,3,4,IND 48,10,10,Will Levis pass complete short middle to Chigoziem Okonkwo for 5 yards (tackle by Zaire Franklin and Nick Cross),1.550,2.720
3,12:43,1,10,IND 43,10,10,Tony Pollard left guard for 5 yards (tackle by Zaire Franklin and Kenny Moore),2.720,2.850
3,12:11,2,5,IND 38,10,10,Julius Chestnut left tackle for 2 yards (tackle by Adetomiwa Adebawore and Nick Cross),2.850,2.410
3,11:25,3,3,IND 36,10,10,Tony Pollard left tackle for 2 yards (tackle by E.J. Speed and Nick Cross),2.410,1.100
3,10:43,4,1,IND 34,10,10,Will Levis pass complete short left to Treylon Burks for 10 yards (tackle by Julian Blackmon),1.100,3.970
3,10:00,1,10,IND 24,10,10,Calvin Ridley left end for 9 yards (tackle by Julian Blackmon),3.970,4.850
3,9:18,2,1,IND 15,10,10,Tony Pollard right guard for 1 yard (tackle by Jaylon Carlies),4.850,4.650
3,8:34,1,10,IND 14,10,10,Penalty on Leroy Watson: False Start 5 yards (accepted) (no play),4.650,4.260
3,8:18,1,15,IND 19,10,10,Will Levis pass complete short left to Tony Pollard for no gain (tackle by E.J. Speed). Penalty on Leroy Watson: Offensive Holding 10 yards (accepted) (no play),4.260,3.640
3,7:50,1,25,IND 29,10,10,Will Levis pass complete short left to Chigoziem Okonkwo for 4 yards (tackle by Zaire Franklin),3.640,2.610
3,7:13,2,21,IND 25,10,10,Will Levis pass complete short right to Josh Whyle for 2 yards (tackle by Samuel Womack),2.610,2.210
3,6:26,3,19,IND 23,10,16,Tony Pollard up the middle for 23 yards touchdown,2.210,7.000
3,6:19,,,IND 15,10,17,Nick Folk kicks extra point good,0.000,0.000
3,6:19,,,TEN 35,10,17,Nick Folk kicks off 65 yards touchback.,0.000,0.940
3,6:19,1,10,IND 30,10,17,Tyler Goodson up the middle for 2 yards (tackle by Kenneth Murray),0.940,0.660
3,5:47,2,8,IND 32,10,17,Joe Flacco pass complete short right to Adonai Mitchell for 9 yards (tackle by L'Jarius Sneed),0.660,1.660
3,5:20,1,10,IND 41,10,17,Joe Flacco pass complete short right to Tyler Goodson for no gain (tackle by Kenneth Murray),1.660,1.120
3,4:53,2,10,IND 41,10,17,Joe Flacco pass incomplete deep right intended for Will Mallory,1.120,0.430
3,4:50,3,10,IND 41,10,17,Joe Flacco pass incomplete short middle intended for Josh Downs. Penalty on Kenneth Murray: Defensive Pass Interference 6 yards (accepted) (no play),0.430,2.060
3,4:46,1,10,IND 47,10,17,Joe Flacco pass complete short right to Mo Alie-Cox for 7 yards (tackle by Roger McCreary). Penalty on Sebastian Joseph-Day: Roughing the Passer 15 yards (accepted),2.060,3.510
3,4:24,1,10,TEN 31,10,17,Joe Flacco pass complete short middle to Mo Alie-Cox for 6 yards (tackle by Kenneth Murray),3.510,3.780
3,3:57,2,4,TEN 25,10,17,Trey Sermon up the middle for 1 yard (tackle by Sebastian Joseph-Day and Harold Landry),3.780,3.200
3,3:24,3,3,TEN 24,10,17,Joe Flacco pass incomplete short left intended for Josh Downs,3.200,1.970
3,3:20,4,3,TEN 24,10,17,Joe Flacco pass complete short left to Josh Downs for 5 yards (tackle by Quandre Diggs),1.970,4.310
3,2:47,1,10,TEN 19,10,17,Tyler Goodson up the middle for 2 yards (tackle by Ali Gaye and T'Vondre Sweat),4.310,4.030
3,2:10,2,8,TEN 17,10,17,Joe Flacco pass complete short middle to Tyler Goodson for 13 yards (tackle by Ernest Jones),4.030,6.280
3,1:38,1,4,TEN 4,10,17,Tyler Goodson up the middle for 2 yards (tackle by Quandre Diggs),6.280,5.720
3,1:04,2,2,TEN 2,10,17,Trey Sermon right guard for no gain (tackle by Jeffery Simmons),5.720,4.950
3,0:28,3,2,TEN 2,10,17,Trey Sermon up the middle for -2 yards (tackle by Harold Landry and Amani Hooker),4.950,3.030
