Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
3,13:48,3,1,LAC 39,20,0,Hassan Haskins right guard for 3 yards (tackle by Jonathon Cooper),0.890,1.730
3,13:10,1,10,LAC 42,20,0,Quentin Johnston right end for no gain (tackle by Jonathon Cooper and Cody Barton),1.730,1.260
3,12:29,2,9,LAC 42,20,0,J.K. Dobbins up the middle for -5 yards (tackle by Zach Allen and Justin Strnad),1.260,-0.100
3,11:49,3,14,LAC 37,20,0,Justin Herbert scrambles right end for 5 yards (tackle by John Franklin-Myers and Cody Barton),-0.100,-0.590
3,11:09,4,9,LAC 42,20,0,JK Scott punts 40 yards fair catch by Marvin Mims at DEN-18,-0.590,-0.040
3,10:59,1,10,DEN 18,20,0,Audric Estime up the middle for 2 yards (tackle by Khalil Mack),0.040,-0.130
3,10:24,2,8,DEN 20,20,0,Bo Nix scrambles left tackle for 10 yards (tackle by Denzel Perryman),-0.130,0.940
3,9:41,1,10,DEN 30,20,0,Bo Nix pass complete short left to Nate Adkins for 5 yards (tackle by Denzel Perryman),0.940,1.070
3,9:12,2,5,DEN 35,20,0,Bo Nix scrambles left end for 21 yards (tackle by Alohi Gilman and Daiyan Henley),1.070,2.650
3,8:27,1,10,LAC 44,20,0,Bo Nix pass incomplete short right intended for Lucas Krull (defended by Derwin James),2.650,2.110
3,8:21,2,10,LAC 44,20,0,Bo Nix pass incomplete short left intended for Javonte Williams,2.110,1.420
3,8:18,3,10,LAC 44,20,0,Penalty on Bo Nix: Delay of Game 5 yards (accepted) (no play),1.420,0.760
3,8:18,3,15,LAC 49,20,0,Bo Nix pass complete short right to Marvin Mims for no gain (tackle by Elijah Molden and Junior Colson). Penalty on Garett Bolles: Illegal Formation 5 yards (accepted) (no play),0.760,0.100
3,7:47,3,20,DEN 46,20,0,Bo Nix pass incomplete deep left intended for Marvin Mims,0.100,-0.320
3,7:40,4,20,DEN 46,20,0,Riley Dixon punts 45 yards fair catch by Derius Davis at LAC-9,-0.320,0.380
3,7:33,1,10,LAC 9,20,0,Justin Herbert pass incomplete short right intended for Will Dissly (defended by Riley Moss),-0.380,-0.780
3,7:29,2,10,LAC 9,20,0,Justin Herbert pass incomplete short left intended for Ladd McConkey (defended by Malcolm Roach),-0.780,-1.420
3,7:25,3,10,LAC 9,20,0,Justin Herbert pass complete deep right to Simi Fehoko for 30 yards (tackle by Riley Moss),-1.420,1.530
3,6:59,1,10,LAC 39,20,0,J.K. Dobbins right tackle for 2 yards (tackle by Jonah Elliss and John Franklin-Myers),1.530,1.260
3,6:14,2,8,LAC 41,20,0,Justin Herbert pass incomplete deep left intended for Simi Fehoko (defended by Levi Wallace),1.260,0.560
3,6:09,3,8,LAC 41,20,0,Justin Herbert pass complete short left to Ladd McConkey for 15 yards (tackle by Cody Barton and Malcolm Roach),0.560,2.650
3,5:28,1,10,DEN 44,20,0,J.K. Dobbins left end for 14 yards (tackle by Brandon Jones),2.650,3.580
3,4:46,1,10,DEN 30,20,0,Justin Herbert sacked by Nik Bonitto for -8 yards,3.580,1.950
3,4:03,2,18,DEN 38,20,0,Kimani Vidal right guard for 2 yards (tackle by Justin Strnad and Zach Allen),1.950,1.550
3,3:20,3,16,DEN 36,20,0,Justin Herbert pass complete short middle to Ladd McConkey for 8 yards (tackle by Ja'Quan McMillian),1.550,1.590
3,2:39,4,8,DEN 28,23,0,Cameron Dicker 46 yard field goal good,1.590,3.000
3,2:35,,,LAC 35,23,0,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,2:35,1,10,DEN 30,23,0,Jaleel McLaughlin right end for no gain (tackle by Poona Ford),0.940,0.390
3,1:58,2,10,DEN 30,23,0,Bo Nix sacked by Alohi Gilman for no gain,0.390,-0.300
3,1:11,3,10,DEN 30,23,0,Bo Nix sacked by Morgan Fox for -10 yards,-0.300,-2.030
3,0:57,4,20,DEN 20,23,0,Riley Dixon punts 43 yards returned by Derius Davis for 18 yards (tackle by Kristian Welch and Mitchell Fraboni),-2.030,-2.590
3,0:44,1,10,DEN 45,23,0,Justin Herbert pass incomplete deep right intended for Ladd McConkey,2.590,2.040
3,0:38,2,10,DEN 45,23,0,J.K. Dobbins right tackle for no gain (tackle by Justin Strnad),2.040,1.360
4,15:00,3,10,DEN 45,23,0,J.K. Dobbins left guard for 3 yards (tackle by Jonathon Cooper),1.360,0.460
4,14:19,4,7,DEN 42,23,0,JK Scott punts 37 yards out of bounds,0.460,0.380
4,14:09,1,10,DEN 5,23,0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 8 yards (tackle by Denzel Perryman and Derwin James),-0.380,-0.190
4,13:29,2,2,DEN 13,23,0,Audric Estime right end for 11 yards (tackle by Cam Hart),-0.190,0.540
4,12:53,1,10,DEN 24,23,0,Bo Nix pass complete deep left to Troy Franklin for 29 yards (tackle by Alohi Gilman),0.540,2.460
4,12:17,1,10,LAC 47,23,0,Bo Nix pass incomplete short right intended for Devaughn Vele (defended by Derwin James),2.460,1.910
