Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
3,8:42,3,2,NYG 5,14,3,Jalen Hurts pass incomplete short left,4.780,3.030
3,8:34,4,2,NYG 5,14,3,Jalen Hurts scrambles right guard for 4 yards (tackle by Jason Pinnock),3.030,6.970
3,7:56,1,1,NYG 1,14,3,Saquon Barkley up the middle for no gain (tackle by Brian Burns and Tyler Nubin),6.970,5.910
3,7:21,2,1,NYG 1,14,3,Jalen Hurts up the middle for no gain (tackle by D.J. Davidson and Bobby Okereke). Penalty on Azeez Ojulari: Defensive Offside (accepted) (no play),5.910,5.910
3,7:08,2,1,NYG 1,20,3,Jalen Hurts up the middle for 1 yard touchdown,5.910,7.000
3,7:03,,,NYG 15,21,3,Jake Elliott kicks extra point good,0.000,0.000
3,7:03,,,PHI 35,21,3,Braden Mann kicks off 65 yards touchback.,0.000,0.940
3,7:03,1,10,NYG 30,21,3,Tyrone Tracy up the middle for 8 yards (tackle by Milton Williams and Nakobe Dean),0.940,1.470
3,6:25,2,2,NYG 38,21,3,Tyrone Tracy up the middle for 6 yards (tackle by Nakobe Dean and Zack Baun),1.470,1.860
3,5:55,1,10,NYG 44,21,3,Tyrone Tracy up the middle for 3 yards (tackle by Reed Blankenship),1.860,1.720
3,5:30,2,7,NYG 47,21,3,Daniel Jones pass complete short left to Wan'Dale Robinson for 6 yards (tackle by Quinyon Mitchell),1.720,1.820
3,5:02,3,1,PHI 47,21,3,Tyrone Tracy left guard for 3 yards (tackle by Reed Blankenship),1.820,2.650
3,4:35,1,10,PHI 44,21,3,Daniel Jones sacked by Jalen Carter for -7 yards,2.650,1.170
3,3:50,2,17,NYG 49,21,3,Devin Singletary up the middle for 10 yards (tackle by Nakobe Dean),1.170,1.820
3,3:22,3,7,PHI 41,21,3,Daniel Jones sacked by Nakobe Dean for -8 yards,1.820,0.000
3,2:42,4,15,PHI 49,21,3,Matt Haack punts 41 yards fair catch by Cooper DeJean at PHI-8,0.000,0.380
3,2:33,1,10,PHI 8,21,3,Saquon Barkley up the middle for 41 yards (tackle by Tyler Nubin and Micah McFadden),-0.380,2.190
3,1:48,1,10,PHI 49,21,3,Kenneth Gainwell up the middle for 14 yards (tackle by Jason Pinnock),2.190,3.120
3,1:13,1,10,NYG 37,21,3,Kenneth Gainwell right guard for 2 yards (tackle by Rakeem Nunez-Roches),3.120,2.840
3,0:34,2,8,NYG 35,21,3,Kenneth Gainwell left tackle for 1 yard (tackle by Micah McFadden),2.840,2.280
4,15:00,3,7,NYG 34,21,3,Jalen Hurts scrambles right end for 16 yards (tackle by Bobby Okereke),2.280,4.370
4,14:14,1,10,NYG 18,21,3,Kenneth Gainwell up the middle for 13 yards (tackle by Tyler Nubin and Jason Pinnock),4.370,6.060
4,13:34,1,5,NYG 5,21,3,Kenneth Gainwell up the middle for 3 yards (tackle by D.J. Davidson),6.060,5.720
