Quarter,Time,Down,ToGo,Location,CIN,CLE,Detail,EPB,EPA
3,5:24,4,7,CLE 40,14,6,Ryan Rehkow punts 29 yards downed by Tycen Anderson,0.590,0.370
3,5:19,1,10,CLE 11,14,6,Dorian Thompson-Robinson pass incomplete short right intended for David Njoku,-0.370,-0.780
3,5:13,2,10,CLE 11,14,6,Dorian Thompson-Robinson left end for 12 yards (tackle by Logan Wilson),-0.780,0.480
3,4:32,1,10,CLE 23,14,6,Nick Chubb right tackle for 2 yards (tackle by Myles Murphy and Geno Stone),0.480,0.200
3,3:51,2,8,CLE 25,14,6,Dorian Thompson-Robinson pass incomplete short left,0.200,-0.490
3,3:44,3,8,CLE 25,14,6,Dorian Thompson-Robinson pass incomplete deep right,-0.490,-1.700
3,3:37,4,8,CLE 25,14,6,Corey Bojorquez punts 49 yards returned by Charlie Jones for 9 yards (tackle by Rex Sunahara and Mohamoud Diabate). Penalty on D'Anthony Bell: Unsportsmanlike Conduct / Defense 15 yards (accepted),-1.700,-2.260
3,3:25,1,10,CIN 50,14,6,Joe Burrow pass complete short left to Tee Higgins for 19 yards (tackle by Martin Emerson and Devin Bush),2.260,3.510
3,2:44,1,10,CLE 31,14,6,Chase Brown left end for -3 yards (tackle by Mohamoud Diabate),3.510,2.560
3,1:59,2,13,CLE 34,14,6,Joe Burrow pass complete short right to Ja'Marr Chase for 9 yards (tackle by Denzel Ward),2.560,3.070
3,1:35,3,4,CLE 25,20,6,Joe Burrow pass complete short middle to Tee Higgins for 25 yards touchdown,3.070,7.000
3,1:30,,,CLE 15,21,6,Evan McPherson kicks extra point good,0.000,0.000
3,1:30,,,CIN 35,21,6,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
3,1:30,1,10,CLE 30,21,6,Pierre Strong right end for no gain (tackle by Germaine Pratt),0.940,0.390
3,0:49,2,10,CLE 30,21,6,Dorian Thompson-Robinson pass complete short left to Elijah Moore for 4 yards,0.390,0.230
3,0:11,3,6,CLE 34,21,6,Dorian Thompson-Robinson pass incomplete short right intended for Pierre Strong,0.230,-1.110
3,0:02,4,6,CLE 34,21,6,Corey Bojorquez punts 55 yards returned by Charlie Jones for 6 yards (tackle by Geoff Swaim),-1.110,0.060
4,15:00,1,10,CIN 17,21,6,Chase Brown up the middle for 2 yards (tackle by Jeremiah Owusu-Koramoah and Za'Darius Smith),-0.060,-0.250
4,14:20,2,8,CIN 19,21,6,Joe Burrow pass complete short left to Chase Brown for 6 yards (tackle by Martin Emerson),-0.250,-0.240
4,13:43,3,2,CIN 25,21,6,Joe Burrow pass complete short left to Zack Moss for 4 yards (tackle by Jordan Hicks),-0.240,0.870
4,12:58,1,10,CIN 29,21,6,Zack Moss up the middle for 1 yard (tackle by Devin Bush and Shelby Harris),0.870,0.460
4,12:17,2,9,CIN 30,21,6,Joe Burrow pass incomplete short middle intended for Drew Sample,0.460,-0.230
4,12:13,,,,,,Timeout #1 by Cincinnati Bengals,,
4,12:13,3,9,CIN 30,21,6,Joe Burrow pass incomplete deep right intended for Tee Higgins (defended by Denzel Ward),-0.230,-1.370
4,12:02,4,9,CIN 30,21,6,Ryan Rehkow punts 58 yards returned by Jaelon Darden for 7 yards (tackle by Tycen Anderson),-1.370,-0.150
4,11:53,1,10,CLE 19,21,6,Dorian Thompson-Robinson sacked by Sam Hubbard for -3 yards. Dorian Thompson-Robinson fumbles (forced by Sam Hubbard) recovered by Joel Bitonio at CLE-16 (tackle by Sam Hubbard),0.150,-0.870
4,11:15,2,13,CLE 16,21,6,Dorian Thompson-Robinson pass complete short left to Cedric Tillman for 9 yards (tackle by Jordan Battle and Cam Taylor-Britt),-0.870,-0.290
4,10:49,3,4,CLE 25,21,6,Dorian Thompson-Robinson pass complete short middle to Cedric Tillman for 16 yards (tackle by Germaine Pratt),-0.290,1.660
4,10:24,1,10,CLE 41,21,6,Pierre Strong left end for 2 yards (tackle by Mike Hilton and Cam Taylor-Britt),1.660,1.390
