Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA
4,14:26,1,10,LAC 44,9,13,Kyler Murray scrambles left end for 44 yards touchdown,2.650,7.000
4,14:14,,,LAC 15,9,14,Chad Ryland kicks extra point good,0.000,0.000
4,14:14,,,ARI 35,9,14,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
4,14:14,1,10,LAC 30,9,14,Justin Herbert pass complete short right to Ladd McConkey for 3 yards. Ladd McConkey fumbles (tackle by Kyzir White. Ladd McConkey fumbles out of bounds,0.940,0.800
4,13:38,2,7,LAC 33,9,14,Justin Herbert pass complete deep right to Stone Smartt for 31 yards (tackle by Jalen Thompson),0.800,3.180
4,12:59,1,10,ARI 36,9,14,Justin Herbert pass incomplete deep right intended for Stone Smartt,3.180,2.640
4,12:54,2,10,ARI 36,9,14,Justin Herbert pass incomplete deep right intended for Will Dissly,2.640,1.950
4,12:48,3,10,ARI 36,9,14,Justin Herbert pass complete short right to Eric Tomlinson for 7 yards (tackle by Krys Barnes and Budda Baker),1.950,1.580
4,12:13,4,3,ARI 29,12,14,Cameron Dicker 47 yard field goal good,1.580,3.000
4,12:09,,,LAC 35,12,14,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
4,12:09,1,10,ARI 30,12,14,Kyler Murray pass complete short left to Trey McBride for 12 yards (tackle by Cam Hart),0.940,1.730
4,11:41,1,10,ARI 42,12,14,James Conner left end for 6 yards (tackle by Daiyan Henley),1.730,2.000
4,11:03,2,4,ARI 48,12,14,James Conner right tackle for 7 yards (tackle by Otito Ogbonnia and Denzel Perryman),2.000,2.590
4,10:27,1,10,LAC 45,12,14,Kyler Murray pass incomplete short right intended for Marvin Harrison (defended by Cam Hart),2.590,2.040
4,10:22,2,10,LAC 45,12,14,Kyler Murray pass incomplete short middle intended for Zay Jones,2.040,1.360
4,10:18,3,10,LAC 45,12,14,Kyler Murray pass incomplete short left intended for Michael Wilson,1.360,0.270
4,10:13,4,10,LAC 45,12,14,Blake Gillikin punts 44 yards downed by Joey Blount,0.270,0.380
4,10:06,1,10,LAC 1,12,14,Justin Herbert pass complete short right to Ladd McConkey for 12 yards (tackle by Max Melton),-0.380,-0.320
4,9:35,1,10,LAC 13,12,14,J.K. Dobbins left tackle for 1 yard (tackle by Kyzir White),-0.320,-0.680
4,8:58,2,9,LAC 14,12,14,Justin Herbert pass incomplete short right intended for Will Dissly,-0.680,-1.300
4,8:53,3,9,LAC 14,12,14,Justin Herbert pass complete short right to Will Dissly for 10 yards (tackle by Max Melton),-1.300,0.540
