Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
2,1:15,1,10,PIT 46,15,6,Russell Wilson pass complete short right to Van Jefferson for 11 yards (tackle by Tony Adams and Brandin Echols),1.990,2.720
2,0:49,1,10,NYJ 43,15,6,Jaylen Warren right guard for 3 yards (tackle by Javon Kinlaw),2.720,2.580
2,0:43,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,0:43,2,7,NYJ 40,15,6,Russell Wilson pass incomplete deep right intended for George Pickens. Penalty on Sauce Gardner: Defensive Pass Interference 29 yards (accepted) (no play),2.580,4.840
2,0:37,,,,,,Timeout #2 by New York Jets,,
2,0:37,1,10,NYJ 11,15,6,Russell Wilson pass incomplete short right intended for Jaylen Warren,4.840,4.140
2,0:32,2,10,NYJ 11,15,12,Russell Wilson pass complete short right to George Pickens for 11 yards touchdown,4.140,7.000
2,0:27,,,NYJ 15,15,13,Chris Boswell kicks extra point good,0.000,0.000
2,0:27,,,PIT 35,15,13,Chris Boswell kicks off 66 yards returned by Isaiah Davis for 23 yards (tackle by Payton Wilson and Jonathan Ward),0.000,0.410
2,0:21,1,10,NYJ 22,15,13,Aaron Rodgers pass complete short left to Garrett Wilson for -4 yards (tackle by Beanie Bishop),0.410,-0.770
3,15:00,,,PIT 35,15,13,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYJ 30,15,13,Penalty on Garrett Wilson: False Start 5 yards (accepted) (no play),0.940,0.610
3,15:00,1,15,NYJ 25,15,13,Aaron Rodgers pass complete short left to Garrett Wilson for 18 yards (tackle by Payton Wilson),0.610,1.800
3,14:18,1,10,NYJ 43,15,13,Breece Hall left tackle for no gain (tackle by Alex Highsmith),1.800,1.250
3,13:35,2,10,NYJ 43,15,13,Aaron Rodgers pass complete short middle to Garrett Wilson for 8 yards (tackle by Beanie Bishop),1.250,1.620
3,12:57,3,2,PIT 49,15,13,Aaron Rodgers pass incomplete short middle intended for Davante Adams,1.620,0.000
3,12:50,4,2,PIT 49,15,13,Thomas Morstead punts 37 yards returned by Calvin Austin for 9 yards (tackle by Isaiah Davis),0.000,-0.340
3,12:41,1,10,PIT 21,15,13,Najee Harris up the middle for 3 yards (tackle by Jalen Mills),0.340,0.210
3,12:08,2,7,PIT 24,15,13,Russell Wilson pass incomplete short left intended for Najee Harris,0.210,-0.490
3,12:02,3,7,PIT 24,15,13,Russell Wilson pass complete deep right to George Pickens for 37 yards (tackle by Isaiah Oliver),-0.490,2.980
3,11:15,1,10,NYJ 39,15,13,Russell Wilson pass complete short right to Darnell Washington for 1 yard (tackle by Quincy Williams),2.980,2.580
3,10:47,2,9,NYJ 38,15,13,Najee Harris right tackle for 4 yards (tackle by Takkarist McKinley),2.580,2.410
3,10:08,3,5,NYJ 34,15,13,Russell Wilson pass complete deep right to Pat Freiermuth for 21 yards (tackle by Jalen Mills),2.410,4.710
3,9:21,1,10,NYJ 13,15,13,Jaylen Warren left guard for 10 yards (tackle by Ashtyn Davis and Jalen Mills),4.710,6.510
3,8:41,1,3,NYJ 3,15,13,Jaylen Warren left guard for no gain (tackle by Quincy Williams and Leki Fotu),6.510,5.530
3,8:03,2,3,NYJ 3,15,13,Russell Wilson pass incomplete short left intended for George Pickens (defended by Sauce Gardner),5.530,4.720
3,7:56,3,3,NYJ 3,15,13,Russell Wilson pass incomplete short left intended for Van Jefferson,4.720,3.040
3,7:51,4,3,NYJ 3,15,16,Chris Boswell 21 yard field goal good,3.040,3.000
3,7:49,,,PIT 35,15,16,Chris Boswell kicks off 64 yards returned by Xavier Gipson for 22 yards (tackle by Jeremiah Moon),0.000,0.480
3,7:42,1,10,NYJ 23,15,16,Aaron Rodgers pass incomplete short right intended for Breece Hall,0.480,-0.070
3,7:39,2,10,NYJ 23,15,16,Aaron Rodgers pass deep left intended for Garrett Wilson is intercepted by Beanie Bishop at NYJ-42 and returned for 41 yards (tackle by Davante Adams),-0.070,-6.970
3,7:22,1,1,NYJ 1,15,22,Russell Wilson up the middle for 1 yard touchdown Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,6.970,7.000
3,7:15,,,NYJ 15,15,23,Chris Boswell kicks extra point good,0.000,0.000
3,7:15,,,PIT 35,15,23,Chris Boswell kicks off 60 yards returned by Isaiah Davis for 21 yards (tackle by Connor Heyward and Terrell Edmunds),0.000,0.670
3,7:09,1,10,NYJ 26,15,23,Breece Hall left guard for 5 yards (tackle by Payton Wilson and Patrick Queen),0.670,0.810
3,6:31,2,5,NYJ 31,15,23,Aaron Rodgers pass complete short left to Allen Lazard for 15 yards (tackle by James Pierre),0.810,1.990
3,5:50,1,10,NYJ 46,15,23,Breece Hall right tackle for 13 yards (tackle by Payton Wilson),1.990,2.850
3,5:06,1,10,PIT 41,15,23,Aaron Rodgers pass incomplete short left intended for Breece Hall,2.850,2.310
3,5:01,2,10,PIT 41,15,23,Braelon Allen left tackle for 3 yards (tackle by Keeanu Benton),2.310,2.020
3,4:23,3,7,PIT 38,15,23,Aaron Rodgers pass complete short left to Breece Hall for 6 yards (tackle by Keeanu Benton),2.020,1.310
3,3:36,4,1,PIT 32,15,23,Aaron Rodgers pass complete short middle to Mike Williams for 15 yards (tackle by DeShon Elliott),1.310,4.440
3,2:58,1,10,PIT 17,15,23,Aaron Rodgers pass incomplete short right intended for Garrett Wilson,4.440,3.850
3,2:51,,,,,,Timeout #1 by New York Jets,,
3,2:51,2,10,PIT 17,15,23,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by T.J. Watt),3.850,3.070
3,2:47,3,10,PIT 17,15,23,Aaron Rodgers pass incomplete deep left intended for Mike Williams,3.070,2.310
3,2:42,4,10,PIT 17,15,23,Greg Zuerlein 35 yard field goal no good blocked by Dean Lowry,2.310,-0.610
3,2:37,1,10,PIT 25,15,23,Russell Wilson pass complete short left to Darnell Washington for 2 yards (tackle by Jamien Sherwood),0.610,0.330
3,2:02,2,8,PIT 27,15,23,Najee Harris left guard for no gain (tackle by Javon Kinlaw),0.330,-0.360
3,1:22,3,8,PIT 27,15,23,Russell Wilson pass complete short right to Jaylen Warren for 11 yards (tackle by Ashtyn Davis),-0.360,1.470
3,0:54,1,10,PIT 38,15,23,Jaylen Warren right guard for 5 yards (tackle by C.J. Mosley),1.470,1.600
3,0:13,2,5,PIT 43,15,23,Russell Wilson pass complete short left to George Pickens for 7 yards (tackle by Kendall Sheffield),1.600,2.260
4,15:00,1,10,PIT 50,15,23,Najee Harris left guard for 34 yards (tackle by Will McDonald),2.260,4.510
4,14:24,1,10,NYJ 16,15,23,Najee Harris left guard for 4 yards (tackle by Leki Fotu and Leonard Taylor),4.510,4.570
