Quarter,Time,Down,ToGo,Location,DEN,NOR,Detail,EPB,EPA
3,7:34,2,4,NOR 40,19,3,Javonte Williams left guard for 3 yards (tackle by Willie Gay),2.790,2.480
3,6:50,3,1,NOR 37,19,3,Bo Nix left end for 32 yards (tackle by Kool-Aid McKinstry),2.480,6.060
3,5:58,1,5,NOR 5,25,3,Javonte Williams right guard for 5 yards touchdown,6.060,7.000
3,5:53,,,NOR 15,26,3,Wil Lutz kicks extra point good,0.000,0.000
3,5:53,,,DEN 35,26,3,Wil Lutz kicks off 61 yards returned by Jermaine Jackson for 15 yards (tackle by Tremon Smith),0.000,0.150
3,5:47,1,10,NOR 19,26,3,Spencer Rattler pass incomplete deep left intended for Juwan Johnson (defended by Malcolm Roach),0.150,-0.390
3,5:43,2,10,NOR 19,26,3,Spencer Rattler pass complete short left to Cedrick Wilson for 9 yards (tackle by Ja'Quan McMillian),-0.390,0.100
3,5:15,3,1,NOR 28,26,3,Jamaal Williams left end for 2 yards (tackle by Jonah Elliss),0.100,0.940
3,4:44,1,10,NOR 30,26,3,Spencer Rattler pass complete short right to Mason Tipton for 8 yards (tackle by Levi Wallace),0.940,1.470
3,4:22,2,2,NOR 38,26,3,Jamaal Williams up the middle for 13 yards (tackle by Levi Wallace),1.470,2.320
3,3:50,1,10,DEN 49,26,3,Spencer Rattler scrambles right end for no gain (tackle by D.J. Jones and Kwon Alexander). Penalty on Foster Moreau: Offensive Holding 10 yards (accepted) (no play),2.320,1.660
3,3:30,1,20,NOR 41,26,3,Penalty on Landon Young: False Start 5 yards (accepted) (no play),1.660,1.330
3,3:00,1,25,NOR 36,26,3,Spencer Rattler pass complete short left to Mason Tipton for 7 yards (tackle by Riley Moss),1.330,0.700
3,2:50,2,18,NOR 43,26,3,Spencer Rattler pass complete short middle to Cedrick Wilson for no gain (tackle by Brandon Jones). Penalty on Kyle Hergel: Illegal Use of Hands / Offense 10 yards (accepted) (no play),0.700,-0.650
3,2:20,2,28,NOR 33,26,3,Spencer Rattler sacked by John Franklin-Myers for -6 yards,-0.650,-2.080
3,1:48,3,34,NOR 27,26,3,Spencer Rattler pass complete short right to Bub Means for 14 yards (tackle by Levi Wallace and P.J. Locke),-2.080,-0.650
3,1:09,4,20,NOR 41,26,3,Matthew Hayball punts 43 yards fair catch by Marvin Mims at DEN-16. Penalty on J.T. Gray: Illegal Formation 5 yards (accepted),-0.650,-0.340
3,0:56,1,10,DEN 21,26,3,Bo Nix pass complete short right to Devaughn Vele for no gain. Penalty on Javonte Williams: Offensive Holding 10 yards (accepted) (no play),0.340,-0.720
3,0:29,1,20,DEN 11,26,3,Jaleel McLaughlin left tackle for 10 yards (tackle by Jordan Howden and Kool-Aid McKinstry),-0.720,-0.200
4,15:00,2,10,DEN 21,26,3,Bo Nix pass complete short right to Lil'Jordan Humphrey for 3 yards (tackle by Demario Davis and Anfernee Orji),-0.200,-0.490
4,14:18,3,7,DEN 24,26,3,Bo Nix scrambles up the middle for 2 yards (tackle by Carl Granderson),-0.490,-1.630
4,13:37,4,5,DEN 26,26,3,Riley Dixon punts 50 yards fair catch by Jermaine Jackson at NO-24,-1.630,-0.540
4,13:29,1,10,NOR 24,26,3,Spencer Rattler pass complete short right to Mason Tipton for 9 yards (tackle by Levi Wallace),0.540,1.210
4,13:17,2,1,NOR 33,26,3,Spencer Rattler pass incomplete short right intended for Mason Tipton,1.210,0.500
4,13:16,3,1,NOR 33,26,3,Alvin Kamara left guard for 4 yards (tackle by Zach Allen),0.500,1.400
4,12:59,1,10,NOR 37,26,3,Spencer Rattler pass complete short left to Bub Means for 13 yards,1.400,2.260
4,12:26,1,10,NOR 50,26,3,Spencer Rattler sacked by Nik Bonitto for -9 yards,2.260,0.500
4,12:12,2,19,NOR 41,26,3,Spencer Rattler pass complete short right to Mason Tipton for 6 yards (tackle by Ja'Quan McMillian),0.500,0.630
4,11:39,3,13,NOR 47,26,3,Spencer Rattler sacked by and Jonah Elliss for -7 yards and Zach Allen for -7 yards,0.630,-0.720
4,10:41,4,20,NOR 40,26,3,Matthew Hayball punts 45 yards fair catch by Marvin Mims at DEN-15,-0.720,0.220
4,10:34,1,10,DEN 15,26,3,Javonte Williams right end for no gain (tackle by Alontae Taylor). Penalty on Nate Adkins: Offensive Holding 7 yards (accepted) (no play),-0.220,-0.650
4,10:02,1,17,DEN 8,26,3,Javonte Williams right guard for -2 yards (tackle by Anfernee Orji),-0.650,-1.440
4,9:25,2,19,DEN 6,26,3,Bo Nix pass incomplete short middle intended for Adam Trautman (defended by Payton Turner),-1.440,-2.470
4,9:17,3,19,DEN 6,26,3,Javonte Williams up the middle for 9 yards (tackle by Johnathan Abram),-2.470,-2.440
4,8:34,4,10,DEN 15,26,3,Riley Dixon punts 46 yards returned by Jermaine Jackson for 13 yards (tackle by Riley Dixon),-2.440,-2.390
4,8:21,1,10,DEN 48,26,3,Alvin Kamara right guard for 4 yards (tackle by P.J. Locke and Zach Allen),2.390,2.390
4,8:02,2,6,DEN 44,26,3,Spencer Rattler pass complete short right to Juwan Johnson for 1 yard (tackle by Brandon Jones),2.390,1.820
4,7:41,3,5,DEN 43,26,3,Spencer Rattler pass incomplete deep right intended for Bub Means,1.820,0.400
4,7:31,4,5,DEN 43,26,3,Spencer Rattler pass complete short right to Alvin Kamara for 3 yards (tackle by Justin Strnad),0.400,-1.600
4,7:25,1,10,DEN 40,26,3,Audric Estime left guard for 13 yards (tackle by Jordan Howden),1.600,2.460
4,6:45,1,10,NOR 47,26,3,Bo Nix pass complete short right to Devaughn Vele for no gain (tackle by Rico Payton). Penalty on Ben Powers: Ineligible Downfield Pass 5 yards (accepted) (no play),2.460,2.130
4,6:20,1,15,DEN 48,26,3,Audric Estime left end for -1 yards. Audric Estime fumbles (tackle by Carl Granderson) recovered by Willie Gay at DEN-47,2.130,-2.460
4,6:10,1,10,DEN 47,26,3,Spencer Rattler pass complete short right to Kendre Miller for -5 yards (tackle by Brandon Jones),2.460,1.240
4,5:49,2,15,NOR 48,26,3,Spencer Rattler pass complete short middle to Kendre Miller for 6 yards (tackle by Justin Strnad),1.240,1.350
4,5:30,3,9,DEN 46,26,3,Spencer Rattler pass complete short right to Cedrick Wilson for 8 yards (tackle by Riley Moss),1.350,0.720
4,5:15,4,1,DEN 38,26,3,Spencer Rattler pass complete short right to Cedrick Wilson for 4 yards (tackle by Riley Moss),0.720,3.310
4,4:51,1,10,DEN 34,26,3,Spencer Rattler sacked by Justin Strnad for no gain,3.310,2.770
4,4:19,2,10,DEN 34,32,3,Spencer Rattler sacked by Ja'Quan McMillian for -14 yards. Spencer Rattler fumbles (forced by Ja'Quan McMillian) recovered by Cody Barton at DEN-48 and returned for 52 yards touchdown,2.770,-7.000
4,4:06,,,NOR 15,33,3,Wil Lutz kicks extra point good,0.000,0.000
4,4:06,,,DEN 35,33,3,Wil Lutz kicks off 65 yards returned by Mason Tipton for 21 yards (tackle by JL Skinner),0.000,0.340
4,4:01,1,10,NOR 21,33,3,Kendre Miller left end for 16 yards (tackle by Damarri Mathis and P.J. Locke),0.340,1.400
4,3:46,1,10,NOR 37,33,3,Kendre Miller left guard for 9 yards (tackle by Cody Barton and Devon Key),1.400,2.070
4,3:23,2,1,NOR 46,33,3,Spencer Rattler pass incomplete short middle intended for Juwan Johnson,2.070,1.360
4,3:21,3,1,NOR 46,33,3,Kendre Miller right end for no gain (tackle by Levi Wallace and Jonathon Cooper),1.360,-0.320
4,3:11,4,1,NOR 46,33,3,Spencer Rattler right guard for 1 yard (tackle by Justin Strnad),-0.320,2.060
4,2:46,1,10,NOR 47,33,3,Spencer Rattler scrambles right end for 5 yards (tackle by Keidron Smith and Justin Strnad),2.060,2.190
4,2:23,2,5,DEN 48,33,3,Kendre Miller left guard for no gain (tackle by Justin Strnad and Nik Bonitto),2.190,1.490
4,2:00,3,5,DEN 48,33,3,Jake Haener pass incomplete short right intended for Mason Tipton. Penalty on Keidron Smith: Defensive Pass Interference 10 yards (accepted) (no play),1.490,3.050
4,1:56,1,10,DEN 38,33,3,Jake Haener pass complete short middle to Mason Tipton for 9 yards (tackle by Levi Wallace),3.050,3.720
4,1:39,,,,,,Timeout #1 by Denver Broncos,,
4,1:39,2,1,DEN 29,33,3,Jake Haener pass incomplete short middle intended for Kendre Miller,3.720,3.010
4,1:33,3,1,DEN 29,33,3,Jake Haener pass complete short right to Cedrick Wilson for 17 yards (tackle by Levi Wallace),3.010,4.780
4,1:25,,,,,,Timeout #1 by New Orleans Saints,,
4,1:25,1,10,DEN 12,33,9,Jake Haener pass complete short middle to Cedrick Wilson for 12 yards touchdown,4.780,7.000
4,1:22,,,DEN 15,33,10,Blake Grupe kicks extra point good,0.000,0.000
4,1:22,,,,,,Timeout #2 by Denver Broncos,,
4,1:22,,,NOR 35,33,10,Matthew Hayball kicks onside 3 yards returned by P.J. Locke for no gain,0.000,3.050
4,1:21,1,10,NOR 38,33,10,Jarrett Stidham kneels for -1 yards,3.050,2.370
4,0:41,2,11,NOR 39,33,10,Jarrett Stidham kneels for -1 yards,2.370,1.550
