Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
3,8:05,2,10,CAR 24,0,34,Andy Dalton pass complete short middle to Xavier Legette for 6 yards (tackle by Noah Igbinoghene),0.000,0.100
3,7:23,3,4,CAR 30,0,34,Andy Dalton pass incomplete short right,0.100,-1.370
3,7:17,4,4,CAR 30,0,34,Penalty on Andy Dalton: Delay of Game 5 yards (accepted) (no play),-1.370,-1.700
3,7:17,4,9,CAR 25,0,34,Johnny Hekker punts 43 yards fair catch by Olamide Zaccheaus at WAS-32,-1.700,-1.070
3,7:09,1,10,WAS 32,0,34,Brian Robinson right tackle for 6 yards (tackle by Chandler Wooten and DJ Johnson),1.070,1.340
3,6:38,2,4,WAS 38,0,34,Marcus Mariota right end for 5 yards (tackle by Dane Jackson),1.340,1.800
3,6:16,1,10,WAS 43,0,34,Marcus Mariota pass complete deep right to Terry McLaurin for 18 yards (tackle by Nick Scott),1.800,2.980
3,5:43,1,10,CAR 39,0,34,Brian Robinson right end for no gain (tackle by Chandler Wooten and Trevin Wallace). Penalty on John Bates: Offensive Holding 10 yards (accepted) (no play),2.980,2.320
3,5:20,1,20,CAR 49,0,34,Marcus Mariota pass complete short right to Olamide Zaccheaus for 5 yards (tackle by Trevin Wallace),2.320,1.770
3,4:40,2,15,CAR 44,0,34,Austin Ekeler left tackle for 6 yards (tackle by Chau Smith-Wade and Xavier Woods),1.770,1.880
3,4:10,3,9,CAR 38,0,34,Marcus Mariota pass complete short middle to Noah Brown for 16 yards (tackle by Nick Scott),1.880,4.110
3,3:49,1,10,CAR 22,0,34,Marcus Mariota pass complete short left to Olamide Zaccheaus for 1 yard (tackle by Chau Smith-Wade),4.110,3.700
3,3:12,2,9,CAR 21,0,34,Brian Robinson right end for 7 yards (tackle by Chau Smith-Wade and T.J. Smith),3.700,4.150
3,2:37,3,2,CAR 14,0,34,Penalty on Zach Ertz: False Start 5 yards (accepted) (no play),4.150,3.260
3,2:22,3,7,CAR 19,0,34,Marcus Mariota pass complete short middle to Zach Ertz for 6 yards (tackle by Trevin Wallace and Dane Jackson),3.260,2.720
3,1:36,4,1,CAR 13,0,37,Austin Seibert 31 yard field goal good,2.720,3.000
3,1:33,,,WAS 35,0,37,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
3,1:33,1,10,CAR 30,0,37,Chuba Hubbard right guard for 9 yards (tackle by Sheldon Day),0.940,1.610
3,0:58,2,1,CAR 39,0,37,Xavier Legette right end for 6 yards (tackle by Bobby Wagner),1.610,1.930
3,0:17,1,10,CAR 45,0,37,Andy Dalton pass complete short left to Ian Thomas for 2 yards (tackle by Mike Sainristil),1.930,1.650
4,15:00,2,8,CAR 47,0,37,Penalty on Phidarian Mathis: Neutral Zone Infraction 5 yards (accepted) (no play),1.650,2.330
4,15:00,2,3,WAS 48,0,37,Chuba Hubbard left guard for 2 yards (tackle by Sheldon Day),2.330,1.880
4,14:23,3,1,WAS 46,0,37,Andy Dalton pass complete deep left to Ja'Tavion Sanders for 29 yards (tackle by Emmanuel Forbes and Percy Butler),1.880,4.440
4,13:39,1,10,WAS 17,0,37,Chuba Hubbard right guard for 9 yards (tackle by Percy Butler and Frankie Luvu),4.440,5.480
4,13:04,2,1,WAS 8,0,37,Andy Dalton pass complete short left to Xavier Legette for -3 yards (tackle by Mike Sainristil),5.480,4.100
4,12:22,3,4,WAS 11,0,37,Miles Sanders left guard for 7 yards (tackle by Bobby Wagner and Jeremy Chinn),4.100,6.280
4,11:43,1,4,WAS 4,6,37,Chuba Hubbard left end for 4 yards touchdown,6.280,7.000
4,11:38,,,WAS 15,7,37,Eddy Pineiro kicks extra point good,0.000,0.000
4,11:38,,,CAR 35,7,37,Eddy Pineiro kicks off 65 yards touchback.,0.000,0.940
4,11:38,1,10,WAS 30,7,37,Jeremy McNichols right tackle for 5 yards (tackle by Marquis Haynes),0.940,1.070
4,11:09,2,5,WAS 35,7,37,Marcus Mariota right end for 1 yard (tackle by Chau Smith-Wade),1.070,0.500
4,10:26,3,4,WAS 36,7,37,Marcus Mariota scrambles left end for 6 yards (tackle by Marquis Haynes),0.500,1.730
4,9:38,1,10,WAS 42,7,37,Jeremy McNichols left end for 3 yards (tackle by Jaycee Horn),1.730,1.590
4,9:00,2,7,WAS 45,7,37,Marcus Mariota pass incomplete short right intended for Olamide Zaccheaus,1.590,0.890
4,8:53,3,7,WAS 45,7,37,Marcus Mariota pass complete deep left to Terry McLaurin for 25 yards (tackle by Jaycee Horn),0.890,3.580
4,8:16,1,10,CAR 30,7,37,Marcus Mariota pass complete short middle to Ben Sinnott for 3 yards (tackle by Nick Scott and Shy Tuttle),3.580,3.440
4,7:41,2,7,CAR 27,7,37,Marcus Mariota pass complete short right to Olamide Zaccheaus for 12 yards (tackle by Chandler Wooten),3.440,4.580
4,6:54,1,10,CAR 15,7,37,Jeremy McNichols right end for 6 yards (tackle by Chau Smith-Wade),4.580,5.030
4,6:25,2,4,CAR 9,7,37,Jeremy McNichols right guard for 2 yards (tackle by Thomas Incoom and LaBryan Ray),5.030,4.680
4,5:41,3,2,CAR 7,7,37,Marcus Mariota right end for -4 yards (tackle by Dane Jackson),4.680,2.720
4,4:58,4,6,CAR 11,7,40,Austin Seibert 29 yard field goal good,2.720,3.000
4,4:55,,,WAS 35,7,40,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
4,4:55,1,10,CAR 30,7,40,Chuba Hubbard right tackle for 3 yards (tackle by Efe Obada),0.940,0.800
4,4:16,2,7,CAR 33,7,40,Bryce Young pass complete short left to Ja'Tavion Sanders for 2 yards (tackle by Noah Igbinoghene),0.800,0.370
4,3:28,3,5,CAR 35,7,40,Bryce Young pass complete short right to Miles Sanders for -6 yards (tackle by Nick Bellore),0.370,-1.440
4,2:43,4,11,CAR 29,7,40,Johnny Hekker punts 47 yards downed by Feleipe Franks,-1.440,-0.540
4,2:34,1,10,WAS 24,7,40,Jeremy McNichols right tackle for 7 yards (tackle by LaBryan Ray),0.540,0.940
4,2:00,2,3,WAS 31,7,40,Jeremy McNichols left guard for 10 yards (tackle by Xavier Woods),0.940,1.660
4,1:16,1,10,WAS 41,7,40,Marcus Mariota kneels for -2 yards,1.660,0.850
4,0:39,2,12,WAS 39,7,40,Marcus Mariota kneels for -1 yards,0.850,0.040
