Quarter,Time,Down,ToGo,Location,SEA,ATL,Detail,EPB,EPA
2,1:20,,,,,,Timeout #2 by Seattle Seahawks,,
2,1:20,4,3,ATL 41,10,7,Bradley Pinion punts 45 yards returned by Dee Williams for 18 yards (tackle by Charlie Woerner),-0.650,-1.070
2,1:07,1,10,SEA 32,10,7,Geno Smith pass complete short right to Tyler Lockett for 15 yards (tackle by Justin Simmons),1.070,2.060
2,0:41,1,10,SEA 47,10,7,Geno Smith pass complete deep left to Tyler Lockett for 16 yards (tackle by Clark Phillips),2.060,3.120
2,0:39,1,10,ATL 37,10,7,Geno Smith pass complete short left to Noah Fant for 11 yards (tackle by Justin Simmons),3.120,3.840
2,0:24,1,10,ATL 26,10,7,Geno Smith pass complete short right to Noah Fant for 5 yards (tackle by DeAundre Alford),3.840,3.970
2,0:17,2,5,ATL 21,10,7,Geno Smith pass incomplete short right. Penalty on Geno Smith: Intentional Grounding 10 yards (accepted),3.970,1.950
2,0:10,,,,,,Timeout #1 by Atlanta Falcons,,
2,0:10,3,15,ATL 31,16,7,Geno Smith pass complete deep middle to D.K. Metcalf for 31 yards touchdown,1.950,7.000
2,0:04,,,ATL 15,17,7,Jason Myers kicks extra point good,0.000,0.000
2,0:04,,,SEA 35,17,7,Jason Myers kicks off 65 yards touchback.,0.000,0.940
2,0:04,1,10,ATL 30,17,7,Kirk Cousins kneels for -1 yards,0.940,0.260
3,15:00,,,SEA 35,17,7,Jason Myers kicks off 65 yards returned by Avery Williams for 21 yards (tackle by Laviska Shenault),0.000,0.340
3,14:55,1,10,ATL 21,17,7,Bijan Robinson left tackle for no gain (tackle by Leonard Williams and Jerome Baker),0.340,-0.200
3,14:15,2,10,ATL 21,17,7,Kirk Cousins pass complete short right to Bijan Robinson for 26 yards (tackle by Coby Bryant),-0.200,2.060
3,13:39,1,10,ATL 47,17,7,Bijan Robinson right guard for 7 yards (tackle by Coby Bryant and Julian Love),2.060,2.460
3,13:03,2,3,SEA 46,17,7,Tyler Allgeier right tackle for -1 yards (tackle by Jarran Reed),2.460,1.620
3,12:40,3,4,SEA 47,17,7,Kirk Cousins pass complete short left to Darnell Mooney for 5 yards (tackle by Devon Witherspoon),1.620,2.790
3,12:04,1,10,SEA 42,17,7,Kirk Cousins pass complete short right to Tyler Allgeier for 9 yards (tackle by Coby Bryant and Johnathan Hankins),2.790,3.460
3,11:48,2,1,SEA 33,17,7,Kirk Cousins pass complete short right to Drake London for 8 yards (tackle by Josh Jobe and Jerome Baker),3.460,3.910
3,11:10,1,10,SEA 25,17,7,Bijan Robinson left tackle for 9 yards (tackle by Julian Love and Coby Bryant),3.910,4.750
3,10:29,2,1,SEA 16,17,7,Bijan Robinson left guard for -2 yards (tackle by Byron Murphy and Roy Robertson-Harris),4.750,3.660
3,9:51,3,3,SEA 18,17,7,Kirk Cousins pass complete short left to Darnell Mooney for 4 yards (tackle by Josh Jobe),3.660,4.650
3,9:15,1,10,SEA 14,17,7,Bijan Robinson left end for -1 yards (tackle by Dre'Mont Jones and Josh Jobe),4.650,3.850
3,8:34,2,11,SEA 15,17,7,Kirk Cousins pass complete short middle to Drake London for 9 yards (tackle by Coby Bryant),3.850,4.730
3,8:10,3,2,SEA 6,17,7,Bijan Robinson left end for 1 yard (tackle by Tyrel Dodson and Jarran Reed),4.730,3.030
3,7:47,4,1,SEA 5,17,13,Kirk Cousins pass complete short right to Drake London for 5 yards touchdown,3.030,7.000
3,7:43,,,SEA 15,17,14,Younghoe Koo kicks extra point good,0.000,0.000
3,7:43,,,ATL 35,17,14,Bradley Pinion kicks off 62 yards returned by Dee Williams for 34 yards (tackle by Kevin King),0.000,1.400
3,7:37,1,10,SEA 37,17,14,Penalty on Matt Judon: Neutral Zone Infraction 5 yards (accepted) (no play),1.400,2.130
3,7:37,1,5,SEA 42,17,14,Kenneth Walker left tackle for 2 yards (tackle by Grady Jarrett and David Onyemata),2.130,1.800
3,7:04,2,3,SEA 44,17,14,Kenneth Walker right guard for 3 yards (tackle by Nathan Landman),1.800,2.060
3,6:24,1,10,SEA 47,17,14,Geno Smith pass incomplete deep left intended for Tyler Lockett (defended by Mike Hughes),2.060,1.520
3,6:14,2,10,SEA 47,17,14,Geno Smith pass complete short right to Jaxon Smith-Njigba for 1 yard (tackle by Mike Hughes),1.520,0.960
3,5:41,3,9,SEA 48,17,14,Geno Smith scrambles right guard for 8 yards (tackle by Kaden Elliss and Matt Judon),0.960,0.330
3,5:03,4,1,ATL 44,17,14,Zach Charbonnet up the middle for 7 yards (tackle by AJ Terrell),0.330,3.120
3,4:23,1,10,ATL 37,17,14,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba (defended by DeAundre Alford),3.120,2.570
3,4:16,2,10,ATL 37,17,14,Kenneth Walker right tackle for 5 yards (tackle by Arnold Ebiketie),2.570,2.540
3,3:32,3,5,ATL 32,17,14,Geno Smith pass incomplete deep left intended for Tyler Lockett. Penalty on Grady Jarrett: Roughing the Passer 15 yards (accepted) (no play),2.540,4.440
3,3:23,1,10,ATL 17,23,14,Geno Smith pass complete deep right to Kenneth Walker for 17 yards touchdown,4.440,7.000
3,3:18,,,ATL 15,24,14,Jason Myers kicks extra point good,0.000,0.000
3,3:18,,,SEA 35,24,14,Jason Myers kicks off 65 yards touchback.,0.000,0.940
3,3:18,1,10,ATL 30,24,14,Kirk Cousins pass incomplete short middle intended for Darnell Mooney (defended by Dre'Mont Jones),0.940,0.390
3,3:12,2,10,ATL 30,24,14,Kirk Cousins sacked by Dre'Mont Jones for -9 yards,0.390,-1.480
3,2:39,3,19,ATL 21,24,14,Penalty on Kyle Hinton: False Start 5 yards (accepted) (no play),-1.480,-2.600
3,2:27,3,24,ATL 16,24,14,Kirk Cousins pass complete short right to Kyle Pitts for 11 yards (tackle by Devon Witherspoon),-2.600,-1.570
3,1:51,4,13,ATL 27,24,14,Bradley Pinion punts 47 yards fair catch by Dee Williams at SEA-26,-1.570,-0.670
3,1:44,1,10,SEA 26,24,14,Zach Charbonnet right tackle for 2 yards (tackle by Grady Jarrett),0.670,0.400
3,1:16,2,8,SEA 28,24,14,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by AJ Terrell),0.400,-0.300
3,1:08,3,8,SEA 28,24,14,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba. Penalty on Nathan Landman: Illegal Use of Hands / Defense 5 yards (accepted) (no play),-0.300,1.140
3,1:04,1,10,SEA 33,24,14,Kenneth Walker left guard for 3 yards (tackle by Arnold Ebiketie and Kaden Elliss),1.140,1.000
3,0:30,2,7,SEA 36,24,14,Geno Smith pass incomplete short right intended for Jake Bobo,1.000,0.300
3,0:22,3,7,SEA 36,24,14,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Justin Simmons),0.300,-0.980
3,0:17,4,7,SEA 36,24,14,Michael Dickson punts 41 yards fair catch by Avery Williams at ATL-23,-0.980,-0.480
3,0:10,1,10,ATL 23,24,14,Kirk Cousins pass complete short left to Bijan Robinson for 8 yards (tackle by Jerome Baker),0.480,1.010
4,15:00,2,2,ATL 31,24,14,Bijan Robinson left end for 1 yard (tackle by Johnathan Hankins and Tyrel Dodson),1.010,0.430
4,14:27,3,1,ATL 32,24,14,Bijan Robinson up the middle for 1 yard (tackle by Byron Murphy and Leonard Williams),0.430,1.140
4,13:59,1,10,ATL 33,24,14,Kirk Cousins pass complete short right to Kyle Pitts for 6 yards (tackle by Devon Witherspoon),1.140,1.400
4,13:34,2,4,ATL 39,24,14,Kirk Cousins pass incomplete deep right intended for Drake London. Penalty on Josh Jobe: Defensive Pass Interference 12 yards (accepted) (no play),1.400,2.320
4,13:28,1,10,SEA 49,24,14,Bijan Robinson right tackle for 1 yard (tackle by Boye Mafe and Tyrel Dodson),2.320,1.920
4,13:05,2,9,SEA 48,24,14,Kirk Cousins pass incomplete deep right intended for Drake London,1.920,1.220
4,12:59,3,9,SEA 48,30,14,Kirk Cousins sacked by Boye Mafe for -16 yards. Kirk Cousins fumbles (forced by Boye Mafe) recovered by Derick Hall at ATL-36 and returned for 36 yards touchdown,1.220,-7.000
4,12:46,,,ATL 15,31,14,Jason Myers kicks extra point good,0.000,0.000
4,12:46,,,SEA 35,31,14,Jason Myers kicks off 65 yards touchback.,0.000,0.940
4,12:46,1,10,ATL 30,31,14,Kirk Cousins pass complete short left to Darnell Mooney for 6 yards (tackle by Nehemiah Pritchett),0.940,1.200
4,12:28,2,4,ATL 36,31,14,Kirk Cousins pass complete deep right to Drake London for 17 yards (tackle by Nehemiah Pritchett),1.200,2.460
4,12:02,1,10,SEA 47,31,14,Kirk Cousins pass incomplete deep right intended for Drake London. Penalty on Drake London: Offensive Pass Interference 10 yards (accepted) (no play),2.460,1.800
4,11:45,1,20,ATL 43,31,14,Kirk Cousins pass incomplete short right intended for Kyle Pitts (defended by Josh Jobe),1.800,0.560
4,11:42,2,20,ATL 43,31,14,Kirk Cousins pass incomplete deep right intended for Ray-Ray McCloud,0.560,-0.100
4,11:37,3,20,ATL 43,31,14,Kirk Cousins pass complete deep right to Darnell Mooney for 19 yards (tackle by Josh Jobe) ATL challenged the short of the line to gain ruling and the original play was overturned. Kirk Cousins pass complete deep right to Darnell Mooney for 20 yards (tackle by Josh Jobe),-0.100,3.120
4,11:03,1,10,SEA 37,31,14,Kirk Cousins pass deep right intended for Drake London is intercepted by Julian Love at SEA-15 and returned for 26 yards (tackle by Bijan Robinson),3.120,-1.660
4,10:55,1,10,SEA 41,31,14,Kenneth Walker left guard for 2 yards (tackle by Grady Jarrett),1.660,1.390
4,10:14,2,8,SEA 43,31,14,Kenneth Walker right tackle for 4 yards (tackle by Jessie Bates and Ruke Orhorhoro),1.390,1.220
4,9:29,3,4,SEA 47,31,14,Geno Smith pass complete short left to Tyler Lockett for 8 yards (tackle by DeAundre Alford),1.220,2.590
4,8:49,1,10,ATL 45,31,14,Kenneth Walker left guard for 2 yards (tackle by Nathan Landman and Kaden Elliss),2.590,2.310
4,8:05,2,8,ATL 43,31,14,Kenneth Walker left guard for 3 yards (tackle by David Onyemata),2.310,2.010
4,7:19,3,5,ATL 40,31,14,Geno Smith pass incomplete short middle intended for Jaxon Smith-Njigba,2.010,0.590
4,7:15,4,5,ATL 40,34,14,Jason Myers 59 yard field goal good,0.590,3.000
4,7:10,,,SEA 35,34,14,Jason Myers kicks off 65 yards touchback.,0.000,0.940
4,7:10,1,10,ATL 30,34,14,Kirk Cousins pass incomplete short left intended for Bijan Robinson (defended by Josh Jobe),0.940,0.390
4,7:06,2,10,ATL 30,34,14,Kirk Cousins pass incomplete short middle intended for Darnell Mooney,0.390,-0.300
4,7:00,3,10,ATL 30,34,14,Kirk Cousins pass complete short left to Bijan Robinson for 6 yards (tackle by Julian Love),-0.300,-0.980
4,6:25,4,4,ATL 36,34,14,Kirk Cousins pass complete short right to Drake London for 12 yards (tackle by Devon Witherspoon),-0.980,2.130
4,6:02,1,10,ATL 48,34,14,Kirk Cousins pass deep middle intended for Kyle Pitts is intercepted by Coby Bryant at SEA-28 and returned for 9 yards (tackle by Bijan Robinson),2.130,-1.400
4,5:54,1,10,SEA 37,34,14,Zach Charbonnet left tackle for 1 yard (tackle by Kaden Elliss and Ta'Quon Graham),1.400,0.990
4,5:13,2,9,SEA 38,34,14,Zach Charbonnet right tackle for 2 yards (tackle by David Onyemata and Kaden Elliss),0.990,0.560
4,4:30,3,7,SEA 40,34,14,Kenny McIntosh left end for 5 yards (tackle by Mike Hughes),0.560,-0.390
4,3:45,4,2,SEA 45,34,14,Penalty on SEA: Delay of Game 5 yards (declined) (no play),-0.390,-0.390
4,3:44,4,2,SEA 45,34,14,Michael Dickson punts 42 yards fair catch by Avery Williams at ATL-13,-0.390,0.320
4,3:37,1,10,ATL 13,34,14,Bijan Robinson right guard for 6 yards (tackle by Boye Mafe and Nehemiah Pritchett),-0.320,0.030
4,2:54,2,4,ATL 19,34,14,Jase McClellan right tackle for 2 yards (tackle by K'Von Wallace and Tyrice Knight),0.030,-0.470
4,2:13,3,2,ATL 21,34,14,Michael Penix pass complete short left to Casey Washington for 14 yards (tackle by Tyrel Dodson),-0.470,1.270
4,2:00,1,10,ATL 35,34,14,Jase McClellan right tackle for 3 yards (tackle by Derick Hall and Roy Robertson-Harris),1.270,1.130
4,1:20,2,7,ATL 38,34,14,Jase McClellan left tackle for 6 yards (tackle by Josh Jobe and Faion Hicks),1.130,1.220
4,0:55,3,1,ATL 44,34,14,Jase McClellan left tackle for 3 yards (tackle by Roy Robertson-Harris),1.220,2.060
4,0:18,1,10,ATL 47,34,14,Jase McClellan right tackle for 3 yards (tackle by Roy Robertson-Harris),2.060,1.920
