Quarter,Time,Down,ToGo,Location,HOU,GNB,Detail,EPB,EPA
4,9:47,1,19,GNB 11,19,21,Jordan Love pass incomplete short right intended for Romeo Doubs (defended by Derek Stingley),-0.680,-1.440
4,9:41,2,19,GNB 11,19,21,Jordan Love sacked by Danielle Hunter for -8 yards,-1.440,-3.410
4,8:56,3,27,GNB 3,19,21,Jordan Love pass complete short left to Romeo Doubs for 11 yards,-3.410,-2.470
4,8:21,4,16,GNB 14,19,21,Daniel Whelan punts 61 yards returned by Tank Dell for 13 yards (tackle by Zayne Anderson),-2.470,-1.470
4,8:11,1,10,HOU 38,19,21,Joe Mixon right tackle for 17 yards (tackle by Evan Williams),1.470,2.590
4,7:33,1,10,GNB 45,19,21,Joe Mixon left guard for 1 yard (tackle by Javon Bullard and Rashan Gary),2.590,2.180
4,6:50,2,9,GNB 44,19,21,Joe Mixon up the middle for 4 yards (tackle by Rashan Gary and Isaiah McDuffie),2.180,2.010
4,6:11,3,5,GNB 40,19,21,C.J. Stroud pass incomplete short left intended for Tank Dell. Penalty on Kingsley Enagbare: Defensive Offside 4 yards (accepted) (no play),2.010,2.540
4,6:08,3,1,GNB 36,19,21,C.J. Stroud pass complete short right to Stefon Diggs for 2 yards (tackle by Isaiah McDuffie),2.540,3.310
4,5:29,1,10,GNB 34,19,21,Joe Mixon left guard for -1 yards (tackle by Lukas Van Ness and Edgerrin Cooper),3.310,2.640
4,4:50,2,11,GNB 35,19,21,Joe Mixon left guard for 12 yards (tackle by Eric Wilson),2.640,4.040
4,4:09,1,10,GNB 23,19,21,Joe Mixon left end for -1 yards (tackle by Kenny Clark and Isaiah McDuffie),4.040,3.360
4,3:32,2,11,GNB 24,19,21,C.J. Stroud pass complete short right to Stefon Diggs for 1 yard (tackle by Javon Bullard and Keisean Nixon),3.360,2.810
4,2:42,3,10,GNB 23,19,21,C.J. Stroud pass complete short right to Xavier Hutchinson for 11 yards (tackle by Jaire Alexander),2.810,4.780
4,2:00,1,10,GNB 12,19,21,Joe Mixon up the middle for -2 yards (tackle by Edgerrin Cooper and Kingsley Enagbare),4.780,3.790
4,1:56,,,,,,Timeout #1 by Green Bay Packers,,
4,1:56,2,12,GNB 14,19,21,Joe Mixon left guard for -3 yards (tackle by Edgerrin Cooper and Kenny Clark),3.790,2.840
4,1:52,,,,,,Timeout #2 by Green Bay Packers,,
4,1:52,3,15,GNB 17,19,21,C.J. Stroud pass incomplete short right intended for Tank Dell,2.840,2.310
4,1:48,4,15,GNB 17,22,21,Ka'imi Fairbairn 35 yard field goal good,2.310,3.000
4,1:44,,,HOU 35,22,21,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
4,1:44,1,10,GNB 30,22,21,Jordan Love pass incomplete deep middle intended for Romeo Doubs (defended by Neville Hewitt),0.940,0.390
4,1:39,2,10,GNB 30,22,21,Jordan Love pass complete short right to Tucker Kraft for 8 yards,0.390,0.760
4,1:34,3,2,GNB 38,22,21,Jordan Love pass complete short middle to Dontayvion Wicks for 13 yards (tackle by Derek Stingley and Neville Hewitt),0.760,2.320
4,1:04,1,10,HOU 49,22,21,Jordan Love pass incomplete short right intended for Dontayvion Wicks,2.320,1.780
4,1:00,2,10,HOU 49,22,21,Jordan Love pass complete short middle to Romeo Doubs for 12 yards (tackle by Derek Stingley),1.780,3.120
4,0:27,1,10,HOU 37,22,21,Jordan Love pass complete short left to Tucker Kraft for no gain (tackle by D'Angelo Ross). Penalty on Will Anderson: Defensive Offside 5 yards (accepted) (no play),3.120,3.850
4,0:21,1,5,HOU 32,22,21,Jordan Love pass incomplete deep middle intended for Dontayvion Wicks,3.850,3.250
4,0:15,2,5,HOU 32,22,21,Jordan Love pass complete short left to Romeo Doubs for 6 yards (tackle by D'Angelo Ross),3.250,3.840
4,0:03,,,,,,Timeout #3 by Green Bay Packers,,
4,0:03,,,,,,Timeout #1 by Houston Texans,,
4,0:03,1,10,HOU 26,22,24,Brandon McManus 45 yard field goal good,3.840,3.000
