Quarter,Time,Down,ToGo,Location,LVR,LAR,Detail,EPB,EPA
4,9:39,2,7,LVR 28,12,20,Gardner Minshew pass complete short middle to Brock Bowers for 11 yards (tackle by Christian Rozeboom),0.470,1.530
4,9:05,1,10,LVR 39,12,20,Gardner Minshew pass complete short left to Brock Bowers for 10 yards (tackle by Kamren Curl),1.530,2.190
4,8:35,1,10,LVR 49,12,20,Alexander Mattison up the middle for -1 yards (tackle by Bobby Brown),2.190,1.510
4,7:56,2,11,LVR 48,12,20,Gardner Minshew pass complete short middle to Brock Bowers for 8 yards (tackle by Troy Reeder and Quentin Lake),1.510,1.880
4,7:12,3,3,LAR 44,12,20,Alexander Mattison left guard for 2 yards (tackle by Byron Young),1.880,0.460
4,6:33,4,1,LAR 42,12,20,Alexander Mattison up the middle for 2 yards (tackle by Quentin Lake),0.460,2.920
4,5:53,1,10,LAR 40,12,20,Zamir White left tackle for 9 yards (tackle by Troy Reeder and Bobby Brown),2.920,3.590
4,5:16,2,1,LAR 31,12,20,Gardner Minshew up the middle for 2 yards (tackle by Christian Rozeboom),3.590,3.640
4,4:41,1,10,LAR 29,12,20,Gardner Minshew pass complete short right to Zamir White for 14 yards (tackle by Troy Reeder),3.640,4.580
4,4:25,1,10,LAR 15,12,20,Tre Tucker left end for 11 yards (tackle by Quentin Lake),4.580,6.280
4,3:42,1,4,LAR 4,12,20,Gardner Minshew pass incomplete short right,6.280,5.340
4,3:34,2,4,LAR 4,12,20,Gardner Minshew pass incomplete short middle intended for Brock Bowers (defended by Kamren Curl),5.340,4.490
4,3:30,3,4,LAR 4,12,20,Gardner Minshew pass complete short right to Brock Bowers for no gain (tackle by Quentin Lake),4.490,3.030
4,2:50,4,4,LAR 4,12,20,Penalty on Delmar Glaze: False Start 5 yards (accepted) (no play),3.030,2.830
4,2:50,4,9,LAR 9,15,20,Daniel Carlson 27 yard field goal good,2.830,3.000
4,2:46,,,LVR 35,15,20,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,2:46,1,10,LAR 30,15,20,Kyren Williams up the middle for 14 yards (tackle by Tre'von Moehrig),0.940,1.860
4,2:00,1,10,LAR 44,15,20,Kyren Williams up the middle for 1 yard (tackle by Robert Spillane and Isaiah Pola-Mao),1.860,1.450
4,1:55,,,,,,Timeout #1 by Las Vegas Raiders,,
4,1:55,2,9,LAR 45,15,20,Kyren Williams right tackle for 3 yards (tackle by Tre'von Moehrig),1.450,1.160
4,1:51,,,,,,Timeout #2 by Las Vegas Raiders,,
4,1:51,3,6,LAR 48,15,20,Matthew Stafford pass complete short left to Tutu Atwell for 5 yards (tackle by Nate Hobbs),1.160,0.130
4,1:46,,,,,,Timeout #3 by Las Vegas Raiders,,
4,1:46,4,1,LVR 47,15,20,Ethan Evans punts 36 yards fair catch by DJ Turner at LV-11,0.130,0.370
4,1:39,1,10,LVR 11,15,20,Gardner Minshew pass incomplete short left intended for Tre Tucker (defended by Josh Wallace),-0.370,-0.780
4,1:34,2,10,LVR 11,15,20,Gardner Minshew pass incomplete deep right intended for Tre Tucker (defended by Ahkello Witherspoon),-0.780,-1.420
4,1:28,3,10,LVR 11,15,20,Gardner Minshew pass deep right intended for DJ Turner is intercepted by Jaylen McCollough at LV-34 and returned for 2 yards,-1.420,-3.450
4,1:18,1,10,LVR 32,15,20,Matthew Stafford kneels for -1 yards,3.450,2.770
4,0:39,2,11,LVR 33,15,20,Matthew Stafford kneels for -1 yards,2.770,1.950
