Quarter,Time,Down,ToGo,Location,MIA,IND,Detail,EPB,EPA
3,9:08,,,MIA 15,10,10,Matt Gay kicks extra point good,0.000,0.000
3,9:08,,,IND 35,10,10,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,9:08,1,10,MIA 30,10,10,Jaylen Wright left tackle for 3 yards (tackle by Nick Cross and Grant Stuard),0.940,0.800
3,8:30,2,7,MIA 33,10,10,Tyler Huntley sacked by Laiatu Latu for -4 yards,0.800,-0.430
3,7:47,3,11,MIA 29,10,10,Tyler Huntley pass incomplete deep right,-0.430,-1.440
3,7:36,4,11,MIA 29,10,10,Jake Bailey punts 56 yards returned by Josh Downs for no gain (tackle by Siran Neal),-1.440,0.220
3,7:29,1,10,IND 15,10,10,Anthony Richardson scrambles up the middle for 1 yard (tackle by Benito Jones and Jalen Ramsey),-0.220,-0.580
3,6:54,2,9,IND 16,10,10,Anthony Richardson pass incomplete short right,-0.580,-1.250
3,6:41,3,9,IND 16,10,10,Anthony Richardson sacked by Jalen Ramsey for no gain. Anthony Richardson fumbles (forced by Jalen Ramsey) recovered by Chop Robinson at IND-20 (tackle by Dalton Tucker) Replay Assistant challenged the fumble ruling and the original play was overturned. Anthony Richardson pass incomplete short middle intended for Alec Pierce,-1.250,-2.390
3,6:33,4,9,IND 16,10,10,Rigoberto Sanchez punts 48 yards returned by Braxton Berrios for 9 yards (tackle by Segun Olubi and Grant Stuard),-2.390,-1.930
3,6:27,1,10,MIA 45,10,10,Jaylen Wright right tackle for 9 yards (tackle by Nick Cross),1.930,2.600
3,5:50,2,1,IND 46,10,10,Jaylen Wright up the middle for 19 yards (tackle by Julian Blackmon and Kenny Moore),2.600,3.780
3,5:09,1,10,IND 27,10,10,Jaylen Wright right guard for 2 yards (tackle by Julian Blackmon),3.780,3.500
3,4:33,2,8,IND 25,10,10,Jaylen Wright left end for no gain (tackle by Jaylon Jones),3.500,2.810
3,3:46,3,8,IND 25,10,10,Tim Boyle pass complete short middle to Jonnu Smith for 12 yards (tackle by Julian Blackmon and Zaire Franklin),2.810,4.710
3,3:07,1,10,IND 13,10,10,Alec Ingold left guard for -1 yards. Alec Ingold fumbles (tackle by Grant Stuard) recovered by Taven Bryan at IND-14 (tackle by Grant Stuard),4.710,0.280
3,2:56,1,10,IND 14,10,10,Tyler Goodson left guard for 4 yards (tackle by Jordyn Brooks),-0.280,-0.210
3,2:18,2,6,IND 18,10,10,Tyler Goodson right tackle for 2 yards (tackle by Da'Shawn Hand),-0.210,-0.680
3,1:37,3,4,IND 20,10,10,Anthony Richardson pass incomplete short left intended for Josh Downs (defended by Kader Kohou),-0.680,-2.030
3,1:32,4,4,IND 20,10,10,Rigoberto Sanchez punts 51 yards fair catch by Braxton Berrios at MIA-29,-2.030,-0.870
3,1:25,1,10,MIA 29,10,10,De'Von Achane left tackle for -2 yards (tackle by Grover Stewart),0.870,0.060
3,0:37,2,12,MIA 27,10,10,Tim Boyle pass incomplete short left,0.060,-0.630
3,0:35,3,12,MIA 27,10,10,Tim Boyle pass incomplete short right intended for De'Von Achane,-0.630,-1.570
3,0:30,4,12,MIA 27,10,10,Jake Bailey punts 59 yards returned by Josh Downs for 13 yards (tackle by Alec Ingold and Quinton Bell),-1.570,-0.740
3,0:18,1,10,IND 27,10,10,Anthony Richardson pass complete short left to Adonai Mitchell for 16 yards (tackle by Kendall Fuller),0.740,1.800
4,15:00,1,10,IND 43,10,10,Anthony Richardson pass complete short right to Trey Sermon for 13 yards (tackle by David Long and Benito Jones),1.800,2.650
4,14:18,1,10,MIA 44,10,10,Trey Sermon left tackle for 3 yards (tackle by Calais Campbell),2.650,2.520
4,13:38,2,7,MIA 41,10,10,Tyler Goodson right end for -1 yards (tackle by Da'Shawn Hand),2.520,1.690
4,13:00,3,8,MIA 42,10,10,Anthony Richardson pass complete short right to Alec Pierce for 10 yards (tackle by Jordyn Brooks and Kendall Fuller),1.690,3.450
4,12:23,1,10,MIA 32,10,10,Trey Sermon right end for 11 yards (tackle by Jordan Poyer),3.450,4.170
4,11:39,1,10,MIA 21,10,10,Trey Sermon left tackle for 6 yards (tackle by Jordan Poyer),4.170,4.550
4,11:02,2,4,MIA 15,10,10,Trey Sermon right tackle for 7 yards (tackle by Kendall Fuller),4.550,5.370
4,10:15,1,8,MIA 8,10,10,Anthony Richardson up the middle for 4 yards (tackle by Zach Sieler),5.370,5.340
4,9:39,2,4,MIA 4,10,10,Anthony Richardson left guard for no gain (tackle by Calais Campbell and Marcus Maye),5.340,4.490
4,8:56,3,4,MIA 4,10,10,Anthony Richardson pass incomplete short right intended for Josh Downs,4.490,3.030
4,8:44,,,,,,Timeout #1 by Miami Dolphins,,
4,8:44,4,4,MIA 4,10,13,Matt Gay 22 yard field goal good,3.030,3.000
4,8:41,,,IND 35,10,13,Matt Gay kicks off 68 yards returned by Braxton Berrios for 26 yards (tackle by Segun Olubi),0.000,0.480
4,8:37,1,10,MIA 23,10,13,Tim Boyle pass complete short left to Jonnu Smith for 18 yards (tackle by Zaire Franklin),0.480,1.660
4,8:01,1,10,MIA 41,10,13,Raheem Mostert up the middle for 14 yards (tackle by Zaire Franklin and Julian Blackmon),1.660,2.590
4,7:25,1,10,IND 45,10,13,Raheem Mostert left end for -2 yards (tackle by Grant Stuard and Nick Cross),2.590,1.770
4,6:41,2,12,IND 47,10,13,Tim Boyle pass complete short middle to Jaylen Waddle for 11 yards (tackle by Zaire Franklin),1.770,2.540
4,6:03,3,1,IND 36,10,13,Alec Ingold up the middle for no gain (tackle by Taven Bryan),2.540,0.890
4,5:19,4,1,IND 36,10,13,Jason Sanders 54 yard field goal no good,0.890,-1.860
4,5:14,1,10,IND 44,10,13,Tyler Goodson left guard for -1 yards (tackle by Calais Campbell),1.860,1.180
4,4:34,2,11,IND 43,10,13,Anthony Richardson pass complete deep left to Michael Pittman for 21 yards (tackle by Kendall Fuller),1.180,3.180
4,4:27,1,10,MIA 36,10,13,Anthony Richardson pass complete short right to Alec Pierce for 5 yards (tackle by Kendall Fuller and Jalen Ramsey),3.180,3.310
4,3:42,2,5,MIA 31,10,13,Anthony Richardson left end for 1 yard (tackle by Marcus Maye),3.310,2.740
4,3:36,,,,,,Timeout #2 by Miami Dolphins,,
4,3:36,3,4,MIA 30,10,13,Anthony Richardson right end for 8 yards (tackle by Jordyn Brooks),2.740,4.110
4,2:52,1,10,MIA 22,10,13,Tyler Goodson left tackle for 1 yard (tackle by Tyus Bowser and Marcus Maye),4.110,3.700
4,2:08,2,9,MIA 21,10,13,Anthony Richardson right end for -3 yards (tackle by Jordyn Brooks),3.700,2.610
4,2:00,3,12,MIA 24,10,13,Trey Sermon up the middle for 4 yards (tackle by Anthony Walker and Jordyn Brooks),2.610,2.120
4,1:55,,,,,,Timeout #3 by Miami Dolphins,,
4,1:55,4,8,MIA 20,10,16,Matt Gay 38 yard field goal good,2.120,3.000
4,1:51,,,IND 35,10,16,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,1:51,1,10,MIA 30,10,16,Tim Boyle pass complete short middle to Tyreek Hill for 8 yards (tackle by Kenny Moore and Zaire Franklin),0.940,1.470
4,1:32,2,2,MIA 38,10,16,Tim Boyle pass complete short middle to Jonnu Smith for 10 yards (tackle by Grant Stuard),1.470,2.130
4,1:13,1,10,MIA 48,10,16,Tim Boyle pass incomplete short left intended for Jaylen Waddle (defended by Jaylon Jones),2.130,1.580
4,1:10,2,10,MIA 48,10,16,Tim Boyle pass complete short left to Malik Washington for 7 yards (tackle by Jaylon Jones),1.580,1.820
4,1:06,3,3,IND 45,10,16,Tim Boyle scrambles left end for 4 yards (tackle by Grant Stuard),1.820,2.850
4,0:43,1,10,IND 41,10,16,Tim Boyle pass complete short left to De'Von Achane for 9 yards (tackle by Grant Stuard and Jaylon Jones),2.850,3.520
4,0:20,2,1,IND 32,10,16,Tim Boyle pass complete short left to De'Von Achane for -1 yards (tackle by Jaylon Jones and Kenny Moore),3.520,2.680
4,0:15,3,2,IND 33,10,16,Tim Boyle spiked the ball,2.680,1.200
4,0:11,4,2,IND 33,10,16,Tim Boyle pass incomplete deep right intended for Malik Washington,1.200,-1.140
4,0:07,1,10,IND 33,10,16,Anthony Richardson kneels for -1 yards,1.140,0.460
