Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
4,4:08,1,20,SFO 48,24,17,Brock Purdy pass complete short right to Jauan Jennings for 5 yards (tackle by Michael Hoecht),2.130,1.570
4,3:13,2,15,LAR 47,24,17,Brock Purdy pass complete short left to Jauan Jennings for 7 yards (tackle by Quentin Lake),1.570,1.820
4,3:09,,,,,,Timeout #1 by San Francisco 49ers,,
4,3:09,3,8,LAR 40,24,17,Brock Purdy scrambles left end for 3 yards (tackle by Jaylen McCollough),1.820,0.790
4,2:48,,,,,,Timeout #2 by Los Angeles Rams,,
4,2:48,4,5,LAR 37,24,17,Jake Moody 55 yard field goal no good,0.790,-1.930
4,2:43,1,10,LAR 45,24,17,Matthew Stafford pass complete deep right to Tutu Atwell for 50 yards (tackle by Charvarius Ward),1.930,6.060
4,2:00,1,5,SFO 5,24,17,Kyren Williams up the middle for 1 yard (tackle by Leonard Floyd and Kevin Givens),6.060,5.340
4,1:54,,,,,,Timeout #2 by San Francisco 49ers,,
4,1:54,2,4,SFO 4,24,23,Kyren Williams up the middle for 4 yards touchdown,5.340,7.000
4,1:51,,,SFO 15,24,24,Joshua Karty kicks extra point good,0.000,0.000
4,1:51,,,LAR 35,24,24,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
4,1:51,1,10,SFO 30,24,24,Brock Purdy scrambles right end for 4 yards (tackle by Jared Verse),0.940,0.930
4,1:46,2,6,SFO 34,24,24,Brock Purdy pass complete short left to Brandon Aiyuk for 9 yards (tackle by Cobie Durant and Kamren Kinchens),0.930,1.800
4,1:14,1,10,SFO 43,24,24,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,1.800,1.250
4,1:08,2,10,SFO 43,24,24,Brock Purdy pass incomplete deep right intended for Ronnie Bell,1.250,0.560
4,1:02,3,10,SFO 43,24,24,Brock Purdy scrambles up the middle for 2 yards (tackle by Braden Fiske and Kobie Turner),0.560,-0.390
4,0:56,,,,,,Timeout #3 by Los Angeles Rams,,
4,0:56,4,8,SFO 45,24,24,Mitch Wishnowsky punts 43 yards returned by Xavier Smith for 38 yards (tackle by Mitch Wishnowsky),-0.390,-2.260
4,0:42,1,10,LAR 50,24,24,Matthew Stafford pass incomplete deep right intended for Colby Parkinson. Penalty on De'Vondre Campbell: Defensive Pass Interference 25 yards (accepted) . Penalty on Deommodore Lenoir: Defensive Holding 25 yards (declined) . Penalty on Deommodore Lenoir: Illegal Use of Hands / Defense 5 yards (declined) (no play),2.260,3.910
4,0:37,1,10,SFO 25,24,24,Kyren Williams right guard for 6 yards (tackle by Charvarius Ward and Fred Warner),3.910,4.200
4,0:05,,,,,,Timeout #3 by San Francisco 49ers,,
4,0:05,2,4,SFO 19,24,27,Joshua Karty 37 yard field goal good,4.200,3.000
4,0:02,,,LAR 35,24,27,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
4,0:02,1,10,SFO 30,24,27,Brock Purdy pass complete short left to Ronnie Bell for 12 yards lateral to Eric Saubert for -3 yards lateral to Brandon Aiyuk for 5 yards lateral to Jordan Mason for 1 yard lateral to Dominick Puni for -3 yards lateral to Eric Saubert for 20 yards lateral to Jake Brendel for 5 yards. Jake Brendel fumbles ball out of bounds at LA-36 (forced by Kamren Curl). Jake Brendel fumbles out of bounds,0.940,3.180
