Quarter,Time,Down,ToGo,Location,MIA,SEA,Detail,EPB,EPA
1,0:00,,,MIA 15,3,17,Jason Myers kicks extra point good,0.000,0.000
2,15:00,,,SEA 35,3,17,Jason Myers kicks off 60 yards returned by Braxton Berrios for 31 yards (tackle by Laviska Shenault),0.000,1.330
2,14:55,1,10,MIA 36,3,17,Skylar Thompson pass complete short middle to Jaylen Waddle for 10 yards (tackle by Julian Love),1.330,1.990
2,14:36,1,10,MIA 46,3,17,De'Von Achane left guard for -1 yards (tackle by Johnathan Hankins and Derick Hall),1.990,1.320
2,13:53,2,11,MIA 45,3,17,Skylar Thompson pass incomplete short left intended for Jonnu Smith,1.320,0.630
2,13:49,3,11,MIA 45,3,17,Skylar Thompson pass incomplete short left intended for Tyreek Hill,0.630,-0.390
2,13:44,4,11,MIA 45,3,17,Jake Bailey punts 39 yards fair catch by Dee Williams at SEA-16. Penalty on Anthony Walker: Illegal Formation 5 yards (accepted),-0.390,-0.340
2,13:38,1,10,SEA 21,3,17,Geno Smith pass complete short right to Laviska Shenault for 2 yards (tackle by Jevon Holland),0.340,0.070
2,13:05,2,8,SEA 23,3,17,Zach Charbonnet left guard for 3 yards (tackle by Calais Campbell and Kader Kohou),0.070,-0.230
2,12:24,3,5,SEA 26,3,17,Geno Smith pass complete short right to Tyler Lockett for 7 yards (tackle by Jalen Ramsey),-0.230,1.140
2,11:54,1,10,SEA 33,3,17,Geno Smith pass complete short middle to Noah Fant for 16 yards (tackle by Jordan Poyer),1.140,2.190
2,11:21,1,10,SEA 49,3,17,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 15 yards (tackle by Kader Kohou and Jordyn Brooks),2.190,3.180
2,10:59,1,10,MIA 36,3,17,Geno Smith pass incomplete short right intended for Tyler Lockett,3.180,2.640
2,10:53,2,10,MIA 36,3,17,Kenny McIntosh right end for no gain (tackle by Jordyn Brooks). Penalty on Anthony Bradford: Offensive Holding 10 yards (accepted) (no play),2.640,1.290
2,10:28,2,20,MIA 46,3,17,Geno Smith pass complete short left to Zach Charbonnet for 3 yards (tackle by Zach Sieler),1.290,1.020
