Quarter,Time,Down,ToGo,Location,WAS,CIN,Detail,EPB,EPA
3,3:03,,,WAS 15,28,19,Penalty on Amarius Mims: False Start 5 yards (accepted) (no play),0.000,0.000
3,3:03,,,WAS 20,28,20,Evan McPherson kicks extra point good,0.000,0.000
3,3:03,,,CIN 35,28,20,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
3,3:03,1,10,WAS 30,28,20,Jayden Daniels pass complete short right to Terry McLaurin for 14 yards (tackle by Logan Wilson),0.940,1.860
3,2:22,1,10,WAS 44,28,20,Brian Robinson right guard for no gain (tackle by Akeem Davis-Gaither),1.860,1.320
3,1:45,2,10,WAS 44,28,20,Jayden Daniels pass complete short right to Zach Ertz for 9 yards,1.320,1.820
3,1:23,3,1,CIN 47,28,20,Jayden Daniels right end for 5 yards (tackle by Vonn Bell),1.820,2.790
3,0:43,1,10,CIN 42,28,20,Jeremy McNichols left guard for 1 yard (tackle by Kris Jenkins),2.790,2.380
4,15:00,2,9,CIN 41,28,20,Jayden Daniels scrambles up the middle for 5 yards (tackle by Cedric Johnson),2.380,2.340
4,14:20,3,4,CIN 36,28,20,Jayden Daniels pass complete short right to Luke McCaffrey for 3 yards (tackle by DJ Turner),2.340,1.210
4,13:35,,,,,,Timeout #2 by Washington Commanders,,
4,13:35,4,1,CIN 33,28,20,Jayden Daniels right tackle for 4 yards (tackle by Daxton Hill and Logan Wilson),1.210,3.640
4,13:00,1,10,CIN 29,28,20,Brian Robinson up the middle for 1 yard (tackle by Logan Wilson and Germaine Pratt),3.640,3.240
4,12:24,2,9,CIN 28,28,20,Jayden Daniels pass complete short right to Brian Robinson for 4 yards (tackle by Logan Wilson),3.240,3.070
4,11:40,3,5,CIN 24,28,20,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,3.070,1.920
4,11:35,4,5,CIN 24,31,20,Austin Seibert 42 yard field goal good,1.920,3.000
4,11:30,,,WAS 35,31,20,Austin Seibert kicks off 62 yards returned by Chase Brown for 27 yards (tackle by Bobby Price and Percy Butler),0.000,0.940
4,11:22,1,10,CIN 30,31,20,Zack Moss left end for 5 yards (tackle by Mike Sainristil),0.940,1.070
4,10:52,2,5,CIN 35,31,20,Joe Burrow pass complete short middle to Mike Gesicki for 7 yards (tackle by Jamin Davis),1.070,1.730
4,10:32,1,10,CIN 42,31,20,Joe Burrow pass complete short middle to Andrei Iosivas for 16 yards (tackle by Percy Butler),1.730,2.790
4,10:12,1,10,WAS 42,31,20,Joe Burrow pass complete short right to Mike Gesicki for 11 yards (tackle by Jeremy Chinn),2.790,3.510
4,9:47,1,10,WAS 31,31,26,Joe Burrow pass complete deep right to Ja'Marr Chase for 31 yards touchdown,3.510,7.000
