Quarter,Time,Down,ToGo,Location,DET,ARI,Detail,EPB,EPA
4,11:08,1,10,ARI 47,20,10,Jahmyr Gibbs right tackle for 2 yards (tackle by Mack Wilson),2.460,2.180
4,10:34,2,8,ARI 45,20,10,Jahmyr Gibbs left tackle for no gain (tackle by Kyzir White and Zaven Collins),2.180,1.490
4,9:48,3,8,ARI 45,20,10,Jared Goff pass incomplete deep right intended for Jameson Williams,1.490,0.270
4,9:43,4,8,ARI 45,20,10,Jack Fox punts 36 yards downed by Ben Niemann,0.270,0.380
4,9:34,1,10,ARI 9,20,10,Kyler Murray pass complete short right to Michael Wilson for 5 yards,-0.380,-0.390
4,9:18,2,5,ARI 14,20,10,Kyler Murray pass complete short middle to Marvin Harrison for 14 yards (tackle by Terrion Arnold and Kerby Joseph),-0.390,0.810
4,8:58,1,10,ARI 28,20,10,Kyler Murray pass incomplete deep left intended for Marvin Harrison,0.810,0.260
4,8:55,2,10,ARI 28,20,10,Kyler Murray pass incomplete deep left intended for Greg Dortch,0.260,-0.430
4,8:50,3,10,ARI 28,20,10,Kyler Murray pass incomplete deep right intended for Michael Wilson,-0.430,-1.500
4,8:46,4,10,ARI 28,20,10,Blake Gillikin punts 53 yards returned by Kalif Raymond for 3 yards (tackle by Max Melton),-1.500,-0.410
4,8:35,1,10,DET 22,20,10,David Montgomery up the middle for 16 yards (tackle by Xavier Thomas and Sean Murphy-Bunting),0.410,1.470
4,7:52,1,10,DET 38,20,10,David Montgomery up the middle for 2 yards (tackle by Zaven Collins),1.470,1.190
4,7:46,,,,,,Timeout #1 by Arizona Cardinals,,
4,7:46,2,8,DET 40,20,10,David Montgomery left tackle for 6 yards (tackle by Bilal Nichols and Kyzir White),1.190,1.290
4,7:38,,,,,,Timeout #2 by Arizona Cardinals,,
4,7:38,3,2,DET 46,20,10,Jahmyr Gibbs up the middle for 1 yard (tackle by Budda Baker),1.290,-0.260
4,6:54,,,,,,Timeout #1 by Detroit Lions,,
4,6:54,4,1,DET 47,20,10,Jack Fox punts 46 yards fair catch by Greg Dortch at ARI-7,-0.260,0.380
