Quarter,Time,Down,ToGo,Location,PHI,NOR,Detail,EPB,EPA
3,15:00,,,NOR 35,0,3,Blake Grupe kicks off 64 yards returned by Kenneth Gainwell for 22 yards (tackle by Isaiah Stalbird),0.000,0.480
3,14:54,1,10,PHI 23,0,3,Saquon Barkley left guard for 11 yards (tackle by Willie Gay),0.480,1.200
3,14:13,1,10,PHI 34,0,3,Saquon Barkley right tackle for 3 yards (tackle by Nathan Shepherd),1.200,1.060
3,13:31,2,7,PHI 37,0,3,Jalen Hurts pass complete short left to Saquon Barkley for 3 yards (tackle by Pete Werner),1.060,0.760
3,12:45,3,4,PHI 40,0,3,Saquon Barkley right guard for 7 yards (tackle by Tyrann Mathieu),0.760,2.060
3,12:05,1,10,PHI 47,0,3,Kenneth Gainwell left end for no gain (tackle by Demario Davis and Marshon Lattimore). Penalty on Grant Calcaterra: Offensive Holding 10 yards (accepted) (no play),2.060,1.400
3,11:38,1,20,PHI 37,0,3,Jalen Hurts pass complete short middle to DeVonta Smith for 18 yards (tackle by Will Harris),1.400,2.600
3,11:03,2,2,NOR 45,0,3,Saquon Barkley right guard for 4 yards (tackle by Demario Davis),2.600,2.850
3,10:24,1,10,NOR 41,0,3,Saquon Barkley left guard for 6 yards (tackle by Nathan Shepherd),2.850,3.120
3,9:41,2,4,NOR 35,0,3,Saquon Barkley right end for -2 yards (tackle by Tyrann Mathieu),3.120,2.150
3,9:32,3,6,NOR 37,0,3,Saquon Barkley left tackle for 3 yards (tackle by Chase Young and Demario Davis),2.150,1.090
3,8:48,4,3,NOR 34,0,3,Jalen Hurts sacked by Bryan Bresee for -6 yards,1.090,-1.600
3,8:43,1,10,NOR 40,0,3,Derek Carr pass incomplete short left intended for Rashid Shaheed (defended by Quinyon Mitchell),1.600,1.050
3,8:40,2,10,NOR 40,0,3,Alvin Kamara left end for 4 yards (tackle by Josh Sweat),1.050,0.890
3,7:58,3,6,NOR 44,0,3,Derek Carr pass complete short left to Chris Olave for 8 yards (tackle by Quinyon Mitchell),0.890,2.390
3,7:23,1,10,PHI 48,0,3,Alvin Kamara right guard for 4 yards (tackle by Nolan Smith and Nakobe Dean),2.390,2.390
