Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA
3,5:17,1,10,DEN 36,20,7,Bo Nix pass complete short left to Lil'Jordan Humphrey for 4 yards (tackle by Christian Izien),1.330,1.330
3,4:44,2,6,DEN 40,20,7,Bo Nix pass complete short middle to Josh Reynolds for 5 yards (tackle by Tykee Smith),1.330,1.290
3,4:12,3,1,DEN 45,20,7,Bo Nix up the middle for 2 yards (tackle by SirVocea Dennis),1.290,2.060
3,3:37,1,10,DEN 47,20,7,Bo Nix scrambles up the middle for 22 yards (tackle by Jamel Dean),2.060,3.510
3,3:00,1,10,TAM 31,20,7,Javonte Williams right guard for 2 yards (tackle by Chris Braswell and Lavonte David),3.510,3.240
3,2:17,2,8,TAM 29,20,7,Bo Nix pass complete short left to Courtland Sutton for 8 yards (tackle by Jamel Dean),3.240,4.170
3,1:34,1,10,TAM 21,20,7,Bo Nix pass incomplete short left intended for Courtland Sutton (defended by C.J. Brewer),4.170,3.630
3,1:28,2,10,TAM 21,20,7,Jaleel McLaughlin right end for -4 yards (tackle by Tykee Smith),3.630,2.410
3,0:39,3,14,TAM 25,20,7,Bo Nix pass complete short right to Javonte Williams for no gain (tackle by Christian Izien). Penalty on Joe Tryon-Shoyinka: Defensive Offside 5 yards (accepted) (no play),2.410,3.070
3,0:20,3,9,TAM 20,20,7,Bo Nix pass complete short right to Greg Dulcich for no gain (tackle by Zyon McCollum). Penalty on YaYa Diaby: Defensive Offside 5 yards (accepted) (no play),3.070,3.810
4,15:00,3,4,TAM 15,20,7,Bo Nix pass incomplete short right intended for Courtland Sutton (defended by Zyon McCollum),3.810,2.520
4,14:55,4,4,TAM 15,23,7,Wil Lutz 33 yard field goal good,2.520,3.000
4,14:52,,,DEN 35,23,7,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,14:52,1,10,TAM 30,23,7,Baker Mayfield pass complete short right to Cade Otton for 4 yards (tackle by Ja'Quan McMillian and Riley Moss),0.940,0.930
4,14:31,2,6,TAM 34,23,7,Baker Mayfield pass complete short right to Cade Otton for 8 yards (tackle by Alex Singleton),0.930,1.730
4,13:47,1,10,TAM 42,23,7,Baker Mayfield pass complete short right to Mike Evans for 9 yards,1.730,2.400
4,13:16,2,1,DEN 49,23,7,Baker Mayfield pass complete short right to Cade Otton for 5 yards (tackle by Brandon Jones),2.400,2.650
4,12:44,1,10,DEN 44,23,7,Baker Mayfield pass incomplete short right intended for Rachaad White,2.650,2.110
4,12:39,2,10,DEN 44,23,7,Baker Mayfield pass complete short middle to Chris Godwin for 12 yards (tackle by Jonah Elliss and Cody Barton),2.110,3.450
4,12:09,1,10,DEN 32,23,7,Baker Mayfield pass complete short right to Payne Durham for 8 yards (tackle by Ja'Quan McMillian),3.450,3.980
4,11:30,2,2,DEN 24,23,7,Baker Mayfield sacked by Jonathon Cooper for -5 yards,3.980,2.610
4,10:44,3,7,DEN 29,23,7,Baker Mayfield pass complete short right to Rachaad White for 4 yards (tackle by Riley Moss),2.610,1.900
4,9:59,4,3,DEN 25,23,7,Baker Mayfield sacked by Nik Bonitto for no gain,1.900,-0.610
4,9:52,1,10,DEN 25,23,7,Tyler Badie up the middle for 43 yards (tackle by Christian Izien),0.610,3.450
4,9:02,1,10,TAM 32,23,7,Tyler Badie right tackle for 2 yards (tackle by Lavonte David),3.450,3.170
4,8:25,2,8,TAM 30,23,7,Tyler Badie left guard for 5 yards (tackle by K.J. Britt),3.170,3.140
4,7:39,3,3,TAM 25,23,7,Bo Nix pass incomplete short middle intended for Courtland Sutton (defended by Zyon McCollum),3.140,1.900
4,7:35,4,3,TAM 25,26,7,Wil Lutz 43 yard field goal good,1.900,3.000
4,7:30,,,DEN 35,26,7,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,7:30,1,10,TAM 30,26,7,Bucky Irving right tackle for 2 yards (tackle by Dondrea Tillman),0.940,0.660
4,7:10,2,8,TAM 32,26,7,Baker Mayfield pass complete short left to Chris Godwin for 8 yards (tackle by Ja'Quan McMillian),0.660,1.600
4,6:52,1,10,TAM 40,26,7,Baker Mayfield sacked by Zach Allen for -1 yards,1.600,0.920
4,6:25,2,11,TAM 39,26,7,Bucky Irving up the middle for 9 yards (tackle by Ja'Quan McMillian and Alex Singleton),0.920,1.420
4,5:48,3,2,TAM 48,26,7,Baker Mayfield pass complete short right to Bucky Irving for 4 yards (tackle by Brandon Jones),1.420,2.390
4,5:07,1,10,DEN 48,26,7,Baker Mayfield pass complete short left to Bucky Irving for 6 yards (tackle by Ja'Quan McMillian),2.390,2.660
4,4:45,2,4,DEN 42,26,7,Baker Mayfield pass complete short left to Jalen McMillan for 6 yards (tackle by Jordan Jackson),2.660,3.180
4,4:27,1,10,DEN 36,26,7,Baker Mayfield pass incomplete deep left intended for Mike Evans. Penalty on P.J. Locke: Defensive Pass Interference 16 yards (accepted) (no play),3.180,4.240
4,4:27,1,10,DEN 20,26,7,Penalty on P.J. Locke: Face Mask (15 Yards) 10 yards (accepted) (no play),4.240,4.910
4,4:22,1,10,DEN 10,26,7,Baker Mayfield pass complete short left to Rachaad White for 4 yards (tackle by P.J. Locke),4.910,4.950
4,4:16,2,6,DEN 6,26,7,Baker Mayfield sacked by Dondrea Tillman for -10 yards,4.950,2.850
4,3:49,3,16,DEN 16,26,7,Baker Mayfield pass complete short right to Cade Otton for 3 yards. Cade Otton fumbles (tackle by Ja'Quan McMillian recovered by Brandon Jones at DEN-13 and returned for 34 yards (tackle by Mike Evans),2.850,-2.060
4,3:33,1,10,DEN 47,26,7,Tyler Badie right guard for 7 yards (tackle by K.J. Britt),2.060,2.460
4,2:51,2,3,TAM 46,26,7,Tyler Badie right guard for 8 yards (tackle by Zyon McCollum and Lavonte David),2.460,3.050
4,2:04,1,10,TAM 38,26,7,Tyler Badie up the middle for -3 yards (tackle by C.J. Brewer),3.050,2.100
4,2:00,2,13,TAM 41,26,7,Bo Nix right end for 4 yards (tackle by K.J. Britt),2.100,1.950
4,1:15,3,9,TAM 37,26,7,Tyler Badie up the middle for 1 yard (tackle by Jamel Dean and C.J. Brewer),1.950,0.880
4,0:29,,,,,,Timeout #1 by Denver Broncos,,
4,0:29,4,8,TAM 36,26,7,Bo Nix kneels for -2 yards,0.880,-1.470
4,0:25,1,10,TAM 38,26,7,Sean Tucker up the middle for 4 yards (tackle by Zach Allen and Jordan Jackson),1.470,1.460
