Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
2,0:25,1,10,DAL 30,21,3,Dak Prescott scrambles right end for 6 yards (tackle by Kyle Hamilton),0.940,1.200
2,0:19,2,4,DAL 36,21,3,Dak Prescott pass complete deep right to CeeDee Lamb for 31 yards (tackle by Marcus Williams),1.200,3.380
2,0:12,1,10,BAL 33,21,3,Dak Prescott pass incomplete deep right intended for CeeDee Lamb. Penalty on Tyler Guyton: Offensive Holding (offset) . Penalty on Nate Wiggins: Defensive Pass Interference (offset) (no play),3.380,3.380
2,0:06,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:06,1,10,BAL 33,21,6,Brandon Aubrey 51 yard field goal good,3.380,3.000
2,0:02,,,DAL 35,21,6,Brandon Aubrey kicks off 62 yards returned by Deonte Harty for 20 yards (tackle by Nick Vigil),0.000,1.270
3,15:00,,,DAL 35,21,6,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,BAL 30,21,6,Lamar Jackson left end for 6 yards (tackle by Trevon Diggs and DeMarcus Lawrence),0.940,1.200
3,14:29,2,4,BAL 36,21,6,Derrick Henry up the middle for 3 yards (tackle by Eric Kendricks),1.200,0.890
3,13:55,3,1,BAL 39,21,6,Derrick Henry left guard for 29 yards (tackle by Malik Hooker),0.890,3.450
3,13:12,1,10,DAL 32,21,6,Justice Hill left tackle for 8 yards (tackle by Mazi Smith). Penalty on Andrew Vorhees: Offensive Holding 10 yards (accepted) (no play),3.450,2.790
3,12:40,1,20,DAL 42,21,6,Lamar Jackson right end for 16 yards (tackle by Micah Parsons),2.790,3.710
3,12:06,2,4,DAL 26,27,6,Derrick Henry left guard for 26 yards touchdown,3.710,7.000
3,11:58,,,DAL 15,28,6,Justin Tucker kicks extra point good,0.000,0.000
3,11:58,,,BAL 35,28,6,Justin Tucker kicks off 69 yards returned by Juanyeh Thomas for 33 yards (tackle by Josh Ross),0.000,0.870
3,11:53,1,10,DAL 29,28,6,Rico Dowdle right guard for 3 yards (tackle by Travis Jones and Roquan Smith),0.870,0.730
3,11:22,2,7,DAL 32,28,6,Dak Prescott pass complete short middle to CeeDee Lamb for 9 yards (tackle by Brandon Stephens),0.730,1.660
3,10:49,1,10,DAL 41,28,6,Deuce Vaughn up the middle for 4 yards (tackle by Trenton Simpson and Roquan Smith),1.660,1.660
3,10:18,2,6,DAL 45,28,6,Dak Prescott pass incomplete short right intended for Jake Ferguson,1.660,0.960
3,10:13,3,6,DAL 45,28,6,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Marlon Humphrey). Penalty on Nate Wiggins: Defensive Holding 5 yards (accepted) (no play),0.960,2.260
3,10:05,1,10,DAL 50,28,6,Rico Dowdle right end for 6 yards (tackle by Tavius Robinson). Penalty on Eddie Jackson: Face Mask (15 Yards) 15 yards (accepted),2.260,3.640
3,9:53,1,10,BAL 29,28,6,Rico Dowdle left tackle for no gain (tackle by Trenton Simpson and Roquan Smith). Penalty on Brevyn Spann-Ford: Offensive Holding 10 yards (accepted) (no play),3.640,2.980
3,9:29,1,20,BAL 39,28,6,Ezekiel Elliott right guard for 2 yards (tackle by Roquan Smith),2.980,2.020
3,8:53,2,18,BAL 37,28,6,Dak Prescott pass incomplete short right intended for Deuce Vaughn (defended by Michael Pierce),2.020,1.360
3,8:50,3,18,BAL 37,28,6,Dak Prescott sacked by Kyle Van Noy for -11 yards,1.360,0.070
3,8:00,4,29,BAL 48,28,6,Bryan Anger punts 37 yards fair catch by Deonte Harty at BAL-11,0.070,0.370
3,7:52,1,10,BAL 11,28,6,Derrick Henry left end for 3 yards (tackle by Trevon Diggs),-0.370,-0.530
3,7:10,2,7,BAL 14,28,6,Derrick Henry up the middle for 9 yards (tackle by Malik Hooker),-0.530,0.480
3,6:28,1,10,BAL 23,28,6,Lamar Jackson right tackle for 9 yards (tackle by Caelen Carson),0.480,1.150
3,5:37,2,1,BAL 32,28,6,Derrick Henry right tackle for 3 yards (tackle by DeMarvion Overshown and Caelen Carson),1.150,1.270
3,4:58,1,10,BAL 35,28,6,Justice Hill right end for 13 yards (tackle by Donovan Wilson and Eric Kendricks),1.270,2.130
3,4:20,1,10,BAL 48,28,6,Derrick Henry left tackle for no gain (tackle by Micah Parsons and DeMarvion Overshown). Penalty on Daniel Faalele: Offensive Holding 10 yards (accepted) (no play),2.130,1.470
3,3:59,1,20,BAL 38,28,6,Justice Hill left end for no gain (tackle by Trevon Diggs),1.470,0.230
3,3:19,2,20,BAL 38,28,6,Lamar Jackson scrambles up the middle for 5 yards (tackle by Eric Kendricks),0.230,0.230
3,2:30,3,15,BAL 43,28,6,Lamar Jackson pass complete short right to Justice Hill for no gain (tackle by Jourdan Lewis). Penalty on Andrew Vorhees: Illegal Use of Hands / Offense 5 yards (accepted) (no play),0.230,-0.430
3,1:57,3,20,BAL 38,28,6,Lamar Jackson pass incomplete short left intended for Zay Flowers,-0.430,-0.850
3,1:55,4,20,BAL 38,28,6,Jordan Stout punts returned by KaVontae Turpin for no gain (tackle by Charlie Kolar). Penalty on Nick Moore: Offensive Holding 10 yards (accepted) (no play),-0.850,-1.500
3,1:43,4,30,BAL 28,28,6,Jordan Stout punts 49 yards fair catch by KaVontae Turpin at DAL-23,-1.500,-0.480
3,1:36,1,10,DAL 23,28,6,Dak Prescott pass complete short right to Jake Ferguson for 17 yards (tackle by Kyle Hamilton and Marcus Williams),0.480,1.600
3,1:11,1,10,DAL 40,28,6,Penalty on CeeDee Lamb: False Start 5 yards (accepted) (no play),1.600,1.270
3,1:02,1,15,DAL 35,28,6,Dak Prescott pass incomplete short right intended for Jalen Tolbert,1.270,0.380
3,0:55,2,15,DAL 35,28,6,Dak Prescott pass incomplete short right intended for Brandin Cooks. Penalty on Nate Wiggins: Illegal Contact 5 yards (accepted) (no play),0.380,1.600
