Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA
2,0:19,,,JAX 15,3,34,Tyler Bass kicks extra point good,0.000,0.000
2,0:19,,,BUF 35,3,34,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
2,0:19,1,10,JAX 30,3,34,Trevor Lawrence pass incomplete short left intended for Gabriel Davis,0.940,0.390
2,0:14,2,10,JAX 30,3,34,Trevor Lawrence pass complete short middle to Travis Etienne for 8 yards (tackle by Baylon Spector and Cameron Lewis),0.390,0.760
2,0:08,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:08,3,2,JAX 38,3,34,Trevor Lawrence pass incomplete deep middle intended for Brenton Strange,0.760,-0.850
2,0:02,4,2,JAX 38,3,34,Trevor Lawrence pass incomplete short right,-0.850,1.470
3,15:00,,,BUF 35,3,34,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,JAX 30,3,34,Travis Etienne left guard for 4 yards (tackle by Rasul Douglas),0.940,0.930
3,14:22,2,6,JAX 34,3,34,Trevor Lawrence pass complete deep left to Christian Kirk for 18 yards (tackle by Baylon Spector),0.930,2.390
3,13:40,1,10,BUF 48,3,34,Travis Etienne right guard for 4 yards (tackle by Ed Oliver),2.390,2.390
3,13:00,2,6,BUF 44,3,34,Trevor Lawrence pass incomplete short left intended for Luke Farrell,2.390,1.690
3,12:58,3,6,BUF 44,3,34,Trevor Lawrence pass complete short left to Gabriel Davis for 5 yards (tackle by Baylon Spector and Dorian Williams),1.690,0.660
3,12:22,4,1,BUF 39,3,34,Tank Bigsby right end for 2 yards (tackle by Christian Benford),0.660,3.120
3,11:41,1,10,BUF 37,3,34,Trevor Lawrence pass complete deep middle to Christian Kirk for 24 yards (tackle by Damar Hamlin and Cameron Lewis). Penalty on Damar Hamlin: Unnecessary Roughness / Defense 7 yards (accepted),3.120,5.830
3,11:20,1,6,BUF 6,9,34,Trevor Lawrence pass complete short left to Brenton Strange for 6 yards touchdown,5.830,7.000
3,11:15,,,BUF 15,10,34,Cam Little kicks extra point good,0.000,0.000
3,11:15,,,JAX 35,10,34,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,11:15,1,10,BUF 30,10,34,James Cook left end for 1 yard (tackle by Montaric Brown),0.940,0.530
3,10:37,2,9,BUF 31,10,34,Josh Allen pass complete short left to Mack Hollins for 16 yards (tackle by Montaric Brown),0.530,2.060
3,9:58,1,10,BUF 47,10,34,Ray Davis right end for 3 yards (tackle by Travon Walker and Ronald Darby),2.060,1.920
3,9:21,2,7,BUF 50,10,34,Josh Allen scrambles right end for 13 yards (tackle by Chad Muma),1.920,3.120
3,8:44,1,10,JAX 37,10,34,James Cook left end for 13 yards (tackle by Antonio Johnson and Chad Muma),3.120,3.970
3,8:02,1,10,JAX 24,10,34,James Cook right end for 6 yards (tackle by Ventrell Miller),3.970,4.290
3,7:25,2,4,JAX 18,10,34,Josh Allen scrambles left end for 6 yards (tackle by Ventrell Miller and Yasir Abdullah),4.290,4.780
3,6:41,1,10,JAX 12,10,34,James Cook right guard for no gain (tackle by Tyler Lacy and Josh Hines-Allen),4.780,4.100
3,5:57,2,10,JAX 12,10,34,Josh Allen scrambles right end for 3 yards (tackle by Ronald Darby),4.100,3.700
3,5:13,3,7,JAX 9,10,34,Josh Allen pass incomplete short middle intended for Dalton Kincaid (defended by Ventrell Miller),3.700,2.830
3,5:06,4,7,JAX 9,10,37,Tyler Bass 27 yard field goal good,2.830,3.000
3,5:03,,,BUF 35,10,37,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,5:03,1,10,JAX 30,10,37,Travis Etienne up the middle for 9 yards (tackle by Dorian Williams),0.940,1.610
3,4:30,2,1,JAX 39,10,37,Trevor Lawrence pass complete short left to Christian Kirk for 10 yards (tackle by Cameron Lewis),1.610,2.190
3,3:54,1,10,JAX 49,10,37,Trevor Lawrence sacked by A.J. Epenesa for -10 yards,2.190,0.300
3,3:10,2,20,JAX 39,10,37,Trevor Lawrence pass complete short right to Parker Washington for 12 yards (tackle by Cameron Lewis),0.300,1.220
3,2:27,3,8,BUF 49,10,37,Trevor Lawrence pass complete short middle to Christian Kirk for 7 yards (tackle by Cameron Lewis),1.220,0.460
3,1:47,4,1,BUF 42,10,37,Travis Etienne up the middle for 3 yards (tackle by Ed Oliver),0.460,2.980
3,1:05,1,10,BUF 39,10,37,Trevor Lawrence pass incomplete short left intended for Brenton Strange,2.980,2.440
3,1:01,,,,,,Timeout #1 by Buffalo Bills,,
3,1:01,2,10,BUF 39,10,37,Trevor Lawrence pass complete short middle to Gabriel Davis for 13 yards (tackle by Rasul Douglas),2.440,3.840
