Quarter,Time,Down,ToGo,Location,CAR,LVR,Detail,EPB,EPA
3,15:00,,,CAR 35,21,7,Eddy Pineiro kicks off 64 yards returned by DJ Turner for 26 yards (tackle by Trevin Wallace),0.000,0.740
3,14:54,1,10,LVR 27,21,7,Zamir White right tackle for 2 yards (tackle by Shaq Thompson),0.740,0.470
3,14:18,2,8,LVR 29,21,7,Zamir White up the middle for 2 yards (tackle by A'Shawn Robinson and Jadeveon Clowney),0.470,0.040
3,13:40,3,6,LVR 31,21,7,Gardner Minshew pass incomplete deep right intended for Tre Tucker,0.040,-1.310
3,13:33,4,6,LVR 31,21,7,AJ Cole punts 55 yards returned by Raheem Blackshear for 10 yards (tackle by Jacob Bobenmoyer). Penalty on Charles Snowden: Defensive Holding 10 yards (accepted),-1.310,-1.200
3,13:21,1,10,CAR 34,21,7,Andy Dalton pass complete deep middle to Diontae Johnson for 16 yards (tackle by Jack Jones),1.200,2.260
3,12:35,1,10,CAR 50,21,7,Chuba Hubbard right guard for 5 yards (tackle by Jack Jones),2.260,2.390
3,11:58,2,5,LVR 45,21,7,Andy Dalton pass complete short left to Chuba Hubbard for 12 yards (tackle by Marcus Epps),2.390,3.380
3,11:18,1,10,LVR 33,21,7,Miles Sanders up the middle for 2 yards (tackle by Nate Hobbs and Luke Masterson),3.380,3.110
3,10:43,2,8,LVR 31,21,7,Andy Dalton pass incomplete deep right intended for Ja'Tavion Sanders (defended by Nate Hobbs),3.110,2.410
3,10:40,3,8,LVR 31,21,7,Andy Dalton pass complete short right to Jonathan Mingo for 6 yards (tackle by Nate Hobbs),2.410,1.930
3,10:03,4,2,LVR 25,24,7,Eddy Pineiro 43 yard field goal good,1.930,3.000
3,9:59,,,CAR 35,24,7,Eddy Pineiro kicks off 64 yards returned by Ameer Abdullah for 27 yards (tackle by Charles Harris),0.000,0.810
3,9:53,1,10,LVR 28,24,7,Gardner Minshew pass complete short middle to Tre Tucker for 4 yards (tackle by Josey Jewell),0.810,0.800
3,9:26,2,6,LVR 32,24,7,Gardner Minshew sacked by LaBryan Ray for -5 yards,0.800,-0.560
3,8:46,3,11,LVR 27,24,7,Gardner Minshew scrambles left tackle for 10 yards (tackle by Jaycee Horn),-0.560,-0.910
3,8:19,4,1,LVR 37,24,7,Gardner Minshew up the middle for no gain (tackle by Charles Harris),-0.910,-3.120
3,8:14,1,10,LVR 37,24,7,Andy Dalton pass complete short right to Xavier Legette for 7 yards (tackle by Jack Jones),3.120,3.520
3,7:34,2,3,LVR 30,24,7,Andy Dalton pass complete short right to Chuba Hubbard for 12 yards (tackle by Luke Masterson),3.520,4.370
3,6:54,1,10,LVR 18,24,7,Andy Dalton pass incomplete short right intended for Xavier Legette,4.370,3.800
3,6:49,2,10,LVR 18,24,7,Andy Dalton pass incomplete short left intended for Tommy Tremble. Penalty on Ikem Ekwonu: Illegal Use of Hands / Offense 10 yards (accepted) (no play),3.800,2.480
3,6:45,2,20,LVR 28,24,7,Andy Dalton scrambles up the middle for no gain (tackle by Robert Spillane). Penalty on Austin Corbett: Offensive Holding 10 yards (accepted) (no play),2.480,1.130
3,6:21,2,30,LVR 38,24,7,Andy Dalton pass complete short middle to Diontae Johnson for 10 yards (tackle by Luke Masterson),1.130,1.820
3,5:40,3,20,LVR 28,24,7,Andy Dalton pass complete short left to Miles Sanders for 11 yards (tackle by Marcus Epps),1.820,2.310
3,4:50,4,9,LVR 17,27,7,Eddy Pineiro 35 yard field goal good,2.310,3.000
3,4:46,,,CAR 35,27,7,Eddy Pineiro kicks off 65 yards touchback.,0.000,0.940
3,4:46,1,10,LVR 30,27,7,Gardner Minshew pass incomplete short right intended for Tre Tucker (defended by Michael Jackson),0.940,0.390
3,4:41,2,10,LVR 30,27,7,Gardner Minshew pass complete short right to Davante Adams for 4 yards (tackle by Shaq Thompson and Troy Hill),0.390,0.230
3,4:04,3,6,LVR 34,27,7,Gardner Minshew pass complete short middle to Alexander Mattison for 4 yards (tackle by Shaq Thompson),0.230,-0.850
3,3:30,4,2,LVR 38,27,7,AJ Cole punts 46 yards fair catch by Raheem Blackshear at CAR-16,-0.850,0.140
3,3:25,1,10,CAR 16,27,7,Andy Dalton pass complete short middle to Diontae Johnson for 11 yards (tackle by Marcus Epps),-0.140,0.740
3,2:46,1,10,CAR 27,27,7,Chuba Hubbard up the middle for 2 yards (tackle by Marcus Epps),0.740,0.470
3,2:02,2,8,CAR 29,27,7,Andy Dalton pass complete short right to Chuba Hubbard for 20 yards (tackle by Jack Jones),0.470,2.190
3,1:25,1,10,CAR 49,27,7,Andy Dalton pass complete short left to Diontae Johnson for 5 yards (tackle by Marcus Epps),2.190,2.320
3,0:59,2,5,LVR 46,27,7,Chuba Hubbard left guard for 6 yards (tackle by Robert Spillane and Jakorian Bennett),2.320,2.920
3,0:21,1,10,LVR 40,27,7,Chuba Hubbard right guard for 5 yards (tackle by Nate Hobbs),2.920,3.050
4,15:00,2,5,LVR 35,27,7,Chuba Hubbard right end for 14 yards (tackle by Robert Spillane),3.050,4.170
4,14:31,1,10,LVR 21,27,7,Chuba Hubbard left tackle for 5 yards (tackle by Tre'von Moehrig and Isaiah Pola-Mao),4.170,4.370
4,13:50,2,5,LVR 16,27,7,Andy Dalton pass incomplete deep left intended for Diontae Johnson,4.370,3.630
4,13:46,3,5,LVR 16,27,7,Andy Dalton pass incomplete deep left intended for Xavier Legette. Penalty on Jakorian Bennett: Defensive Pass Interference 15 yards (accepted) (no play),3.630,6.970
4,13:40,1,1,LVR 1,27,7,Andy Dalton pass incomplete short middle intended for Diontae Johnson,6.970,5.910
4,13:37,2,1,LVR 1,33,7,Miles Sanders right guard for 1 yard touchdown,5.910,7.000
4,13:33,,,LVR 2,33,7,Two Point Attempt: Andy Dalton pass incomplete intended for intended for Xavier Legette,1.000,-1.000
4,13:33,,,CAR 35,33,7,Eddy Pineiro kicks off 65 yards touchback.,0.000,0.940
4,13:33,1,10,LVR 30,33,7,Gardner Minshew pass complete short left to Tre Tucker for 11 yards (tackle by Nick Scott),0.940,1.660
4,13:06,1,10,LVR 41,33,7,Gardner Minshew pass complete short left to Jakobi Meyers for 5 yards (tackle by Shaq Thompson),1.660,1.800
4,12:41,2,5,LVR 46,33,7,Gardner Minshew pass complete short left to Michael Mayer for 7 yards (tackle by Nick Scott),1.800,2.460
4,12:09,1,10,CAR 47,33,7,Gardner Minshew pass incomplete short left intended for Davante Adams (defended by Jayden Peevy),2.460,1.910
4,12:04,2,10,CAR 47,33,7,Gardner Minshew pass complete short left to Alexander Mattison for 22 yards (tackle by Josey Jewell and Xavier Woods),1.910,3.910
4,11:27,1,10,CAR 25,33,7,Gardner Minshew pass complete short middle to Brock Bowers for 12 yards (tackle by Nick Scott),3.910,4.710
4,11:03,1,10,CAR 13,33,13,Gardner Minshew pass complete short left to Jakobi Meyers for 13 yards touchdown,4.710,7.000
4,10:56,,,CAR 2,33,15,Two Point Attempt: Gardner Minshew pass complete to to Jakobi Meyers for no gain,1.000,1.000
4,10:56,,,LVR 35,33,15,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,10:56,1,10,CAR 30,33,15,Miles Sanders up the middle for 2 yards (tackle by Nesta Jade Silvera and Christian Wilkins),0.940,0.660
4,10:12,2,8,CAR 32,33,15,Miles Sanders right guard for 6 yards (tackle by Nesta Jade Silvera and Charles Snowden),0.660,0.760
4,9:28,3,2,CAR 38,33,15,Penalty on Chandler Zavala: False Start 5 yards (accepted) (no play),0.760,0.100
4,9:28,3,7,CAR 33,33,15,Andy Dalton pass complete short left to Jonathan Mingo for -3 yards (tackle by Nate Hobbs),0.100,-1.370
4,9:11,,,,,,Timeout #1 by Las Vegas Raiders,,
4,9:11,4,10,CAR 30,33,15,Johnny Hekker punts 51 yards returned by Tre Tucker for no gain (tackle by Jon Rhattigan and Nick Scott). Penalty on Isaiah Pola-Mao: Defensive Holding 9 yards (accepted),-1.370,0.380
4,9:11,1,10,LVR 10,33,15,Gardner Minshew pass complete short right to Davante Adams for 15 yards (tackle by Michael Jackson),-0.380,0.610
4,8:46,1,10,LVR 25,33,15,Gardner Minshew pass short right intended for Davante Adams is intercepted by Michael Jackson at LV-37 and returned for 1 yard (tackle by Davante Adams),0.610,-3.180
4,8:34,1,10,LVR 36,33,15,Chuba Hubbard left end for 6 yards (tackle by Robert Spillane and John Jenkins),3.180,3.450
