Quarter,Time,Down,ToGo,Location,NYG,CLE,Detail,EPB,EPA
2,0:26,1,10,CLE 18,14,7,Daniel Jones pass complete short left to Tyrone Tracy for 5 yards (tackle by Jeremiah Owusu-Koramoah),4.370,4.610
2,0:21,,,,,,Timeout #1 by Cleveland Browns,,
2,0:21,2,5,CLE 13,14,7,Daniel Jones up the middle for 8 yards (tackle by Ronnie Hickman),4.610,6.060
2,0:15,,,,,,Timeout #3 by New York Giants,,
2,0:15,1,5,CLE 5,14,7,Penalty on Jermaine Eluemunor: False Start 5 yards (accepted) (no play),6.060,4.910
2,0:15,1,10,CLE 10,14,7,Penalty on Myles Garrett: Defensive Offside 5 yards (accepted) (no play),4.910,6.060
2,0:15,1,5,CLE 5,20,7,Daniel Jones pass complete short middle to Malik Nabers for 5 yards touchdown,6.060,7.000
2,0:11,,,CLE 15,21,7,Greg Joseph kicks extra point good,0.000,0.000
2,0:11,,,NYG 35,21,7,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
2,0:11,1,10,CLE 30,21,7,Deshaun Watson kneels for -1 yards,0.940,0.260
3,15:00,,,NYG 35,21,7,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CLE 30,21,7,Deshaun Watson pass incomplete deep right intended for Jerry Jeudy,0.940,0.390
3,14:56,2,10,CLE 30,21,7,Deshaun Watson sacked by and Bobby Okereke for -2 yards and Rakeem Nunez-Roches for -2 yards,0.390,-0.560
3,14:18,3,12,CLE 28,21,7,Deshaun Watson pass incomplete short right intended for Jerry Jeudy (defended by Brian Burns),-0.560,-1.500
3,14:11,4,12,CLE 28,21,7,Corey Bojorquez punts 57 yards returned by Ihmir Smith-Marsette for 3 yards (tackle by Tony Brown),-1.500,-0.040
3,14:01,1,10,NYG 18,21,7,Daniel Jones pass complete deep right to Daniel Bellinger for 17 yards (tackle by Ronnie Hickman),0.040,1.270
3,13:43,1,10,NYG 35,21,7,Daniel Jones pass complete short right to Malik Nabers for 4 yards (tackle by Jordan Hicks),1.270,1.260
3,13:03,2,6,NYG 39,21,7,Devin Singletary left guard for 2 yards. Devin Singletary fumbles (forced by Shelby Harris) recovered by Ronnie Hickman at NYG-45,1.260,-2.590
3,12:54,1,10,NYG 45,21,7,D'Onta Foreman left guard for 2 yards (tackle by Kayvon Thibodeaux and Rakeem Nunez-Roches),2.590,2.310
3,12:17,2,8,NYG 43,21,7,Deshaun Watson pass incomplete short left,2.310,1.620
3,12:10,3,8,NYG 43,21,7,Deshaun Watson scrambles up the middle for 13 yards (tackle by Elijah Chatman),1.620,3.580
3,11:41,1,10,NYG 30,21,7,Deshaun Watson pass incomplete deep right intended for Elijah Moore,3.580,3.030
3,11:37,2,10,NYG 30,21,7,Deshaun Watson pass incomplete short middle intended for Amari Cooper,3.030,2.340
3,11:33,3,10,NYG 30,21,7,Deshaun Watson sacked by Jason Pinnock for -5 yards,2.340,0.970
3,10:49,4,15,NYG 35,21,7,Dustin Hopkins 53 yard field goal no good,0.970,-1.800
3,10:45,1,10,NYG 43,21,7,Daniel Jones pass complete short right to Theo Johnson for 13 yards (tackle by Jeremiah Owusu-Koramoah),1.800,2.650
