Quarter,Time,Down,ToGo,Location,HOU,MIN,Detail,EPB,EPA
4,14:10,3,7,HOU 33,7,24,C.J. Stroud pass deep left intended for Nico Collins is intercepted by Camryn Bynum at MIN-44 and returned for 3 yards (tackle by Tank Dell),0.100,-2.060
4,14:01,1,10,MIN 47,7,24,Aaron Jones left end for 4 yards (tackle by Jalen Pitre),2.060,2.060
4,13:24,2,6,HOU 49,7,24,Aaron Jones left guard for 5 yards (tackle by Jimmie Ward),2.060,2.020
4,12:33,,,,,,Timeout #1 by Minnesota Vikings,,
4,12:33,3,1,HOU 44,7,24,Aaron Jones left end for 4 yards (tackle by Azeez Al-Shaair),2.020,2.920
4,12:00,1,10,HOU 40,7,24,Aaron Jones up the middle for 39 yards (tackle by Calen Bullock),2.920,6.970
4,11:12,1,1,HOU 1,7,24,Aaron Jones up the middle for -1 yards (tackle by Azeez Al-Shaair),6.970,5.720
4,10:22,2,2,HOU 2,7,24,Sam Darnold pass incomplete short middle,5.720,4.950
4,10:16,3,2,HOU 2,7,30,Sam Darnold pass complete short middle to Johnny Mundt for 2 yards touchdown,4.950,7.000
4,10:14,,,HOU 15,7,31,Will Reichard kicks extra point good,0.000,0.000
4,10:14,,,MIN 35,7,31,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,10:14,1,10,HOU 30,7,31,C.J. Stroud pass complete short left to Nico Collins for 18 yards (tackle by Harrison Smith),0.940,2.130
4,9:56,1,10,HOU 48,7,31,C.J. Stroud pass complete short left to J.J. Taylor for -2 yards (tackle by Stephon Gilmore),2.130,1.310
4,9:31,2,12,HOU 46,7,31,C.J. Stroud sacked by Jonathan Greenard for -14 yards,1.310,-1.220
4,8:48,3,26,HOU 32,7,31,Penalty on Laremy Tunsil: False Start 5 yards (accepted) (no play),-1.220,-1.880
4,8:42,3,31,HOU 27,7,31,C.J. Stroud pass complete short right to Robert Woods for 13 yards (tackle by Blake Cashman),-1.880,-0.720
4,8:00,4,18,HOU 40,7,31,C.J. Stroud pass complete short right to Dare Ogunbowale for 15 yards (tackle by Harrison Smith and Blake Cashman),-0.720,-1.930
4,7:49,1,10,MIN 45,7,31,Aaron Jones up the middle for 6 yards (tackle by Henry To'oTo'o),1.930,2.190
4,7:08,2,4,HOU 49,7,31,Aaron Jones left guard for 4 yards (tackle by Folorunso Fatukasi),2.190,2.590
4,6:17,,,,,,Timeout #2 by Minnesota Vikings,,
4,6:17,1,10,HOU 45,7,31,Ty Chandler right end for 2 yards (tackle by Azeez Al-Shaair),2.590,2.310
4,5:37,2,8,HOU 43,7,31,Ty Chandler up the middle for 3 yards (tackle by Derek Barnett),2.310,2.080
4,4:55,3,4,HOU 40,7,31,Sam Darnold pass incomplete short left intended for Justin Jefferson,2.080,0.590
4,4:48,4,4,HOU 40,7,34,Will Reichard 58 yard field goal good,0.590,3.000
4,4:43,,,MIN 35,7,34,Will Reichard kicks off 67 yards returned by Steven Sims for 27 yards (tackle by Bo Richter),0.000,0.610
