Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
2,0:04,1,10,TEN 48,7,13,Tyjae Spears up the middle for 19 yards (tackle by Tuli Tuipulotu),2.130,3.380
3,15:00,,,LAC 35,7,13,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,TEN 30,7,13,Will Levis pass complete short left to Calvin Ridley for 15 yards (tackle by Cam Hart),0.940,1.930
3,14:14,1,10,TEN 45,7,13,Tony Pollard left end for 5 yards (tackle by Cam Hart and Daiyan Henley),1.930,2.060
3,13:34,2,5,TEN 50,7,13,Tony Pollard left end for 3 yards (tackle by Daiyan Henley),2.060,1.750
3,12:47,3,2,LAC 47,7,13,Will Levis left end for 5 yards (tackle by Daiyan Henley),1.750,2.790
3,12:09,1,10,LAC 42,7,13,Tyjae Spears left end for no gain (tackle by Teair Tart). Penalty on Tuli Tuipulotu: Defensive Offside 5 yards (accepted) (no play),2.790,3.520
3,11:42,1,5,LAC 37,7,13,Will Levis sacked by Tuli Tuipulotu for -2 yards,3.520,2.650
3,10:53,2,7,LAC 39,7,13,Penalty on Will Levis: Delay of Game 5 yards (accepted) (no play),2.650,1.970
3,10:35,2,12,LAC 44,7,13,Will Levis pass complete short left to Tony Pollard for 15 yards (tackle by Elijah Molden),1.970,3.640
3,9:54,1,10,LAC 29,7,13,Will Levis pass complete short right to Chigoziem Okonkwo for 14 yards (tackle by Denzel Perryman),3.640,4.580
3,9:22,1,10,LAC 15,7,13,Tony Pollard up the middle for no gain (tackle by Elijah Molden),4.580,3.950
3,8:45,2,10,LAC 15,7,13,Will Levis scrambles up the middle for 7 yards (tackle by Bud Dupree),3.950,4.450
3,7:59,3,3,LAC 8,7,13,Will Levis pass incomplete short left intended for Josh Whyle,4.450,2.980
3,7:54,4,3,LAC 8,10,13,Nick Folk 27 yard field goal good,2.980,3.000
3,7:51,,,TEN 35,10,13,Nick Folk kicks off 64 yards returned by Derius Davis for 56 yards (tackle by Nick Folk),0.000,2.720
3,7:42,1,10,TEN 43,10,13,Justin Herbert pass complete short right to Ladd McConkey for 15 yards (tackle by Roger McCreary),2.720,3.710
3,7:00,1,10,TEN 28,10,13,Gus Edwards left end for 9 yards (tackle by Mike Brown),3.710,4.420
3,6:20,2,1,TEN 19,10,13,Gus Edwards right tackle for no gain (tackle by Jeffery Simmons and Sebastian Joseph-Day),4.420,3.720
3,5:40,3,1,TEN 19,10,13,Justin Herbert up the middle for 1 yard (tackle by Jack Gibbens),3.720,4.370
3,4:57,1,10,TEN 18,10,13,Justin Herbert pass complete short right to Will Dissly for 4 yards (tackle by Kenneth Murray),4.370,4.430
3,4:18,2,6,TEN 14,10,13,Justin Herbert pass complete short right to J.K. Dobbins for -2 yards (tackle by Jarvis Brownlee and Jeffery Simmons),4.430,3.300
3,3:30,3,8,TEN 16,10,19,Justin Herbert pass complete deep right to Quentin Johnston for 16 yards touchdown,3.300,7.000
3,3:24,,,TEN 15,10,20,Cameron Dicker kicks extra point good,0.000,0.000
3,3:24,,,LAC 35,10,20,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,3:24,1,10,TEN 30,10,20,Tony Pollard right tackle for 3 yards (tackle by Caleb Murphy),0.940,0.800
3,2:49,2,7,TEN 33,10,20,Will Levis pass complete short right to Nick Westbrook-Ikhine for 11 yards (tackle by Elijah Molden),0.800,1.860
3,2:12,1,10,TEN 44,10,20,Will Levis sacked by Tuli Tuipulotu for -5 yards,1.860,0.640
3,1:26,2,15,TEN 39,10,20,Will Levis pass complete short left to Tony Pollard for 1 yard (tackle by Daiyan Henley and Bud Dupree),0.640,0.100
3,0:45,3,14,TEN 40,10,20,Will Levis sacked by Joey Bosa for -2 yards,0.100,-0.850
4,15:00,4,16,TEN 38,10,20,Ryan Stonehouse punts 58 yards returned by Derius Davis for 6 yards (tackle by Luke Gifford). Penalty on AJ Finley: Offensive Illegal Block Above the Waist 5 yards (accepted),-0.850,0.380
4,14:49,1,10,LAC 5,10,20,J.K. Dobbins up the middle for 3 yards (tackle by Harold Landry and Jarvis Brownlee),-0.380,-0.560
4,14:09,2,7,LAC 8,10,20,Justin Herbert pass complete short left to Ladd McConkey for 37 yards (tackle by Mike Brown),-0.560,1.930
4,13:27,1,10,LAC 45,10,20,J.K. Dobbins up the middle for 3 yards (tackle by Jeffery Simmons and Harold Landry),1.930,1.790
4,12:44,2,7,LAC 48,10,20,Justin Herbert scrambles right end for 8 yards (tackle by Jack Gibbens),1.790,2.650
4,11:54,1,10,TEN 44,10,20,Gus Edwards left tackle for 10 yards (tackle by T'Vondre Sweat and Jack Gibbens),2.650,3.310
4,11:17,1,10,TEN 34,10,20,Gus Edwards right end for 3 yards (tackle by Kenneth Murray and Darrell Baker),3.310,3.180
4,10:35,2,7,TEN 31,10,20,Justin Herbert scrambles right end for 8 yards (tackle by Kenneth Murray),3.180,4.040
4,9:50,1,10,TEN 23,10,20,J.K. Dobbins left end for 12 yards (tackle by Mike Brown),4.040,4.840
4,9:05,1,10,TEN 11,10,20,Jalen Reagor right end for 1 yard (tackle by Jack Gibbens),4.840,4.320
4,8:26,2,9,TEN 10,10,20,Justin Herbert pass incomplete short right intended for J.K. Dobbins. Penalty on Kenneth Murray: Defensive Pass Interference 8 yards (accepted) (no play),4.320,6.740
4,8:22,1,2,TEN 2,10,20,J.K. Dobbins up the middle for 1 yard (tackle by T'Vondre Sweat and Jack Gibbens),6.740,5.910
4,7:42,2,1,TEN 1,10,26,Hassan Haskins up the middle for 1 yard touchdown,5.910,7.000
4,7:39,,,TEN 15,10,27,Cameron Dicker kicks extra point good,0.000,0.000
4,7:39,,,LAC 35,10,27,Cameron Dicker kicks off 66 yards returned by Julius Chestnut for 32 yards (tackle by Dicaprio Bootle),0.000,1.000
4,7:33,1,10,TEN 31,10,27,Tony Pollard right tackle for 4 yards (tackle by Daiyan Henley),1.000,1.000
4,7:10,2,6,TEN 35,10,27,Will Levis scrambles up the middle for 8 yards (tackle by Elijah Molden),1.000,1.800
4,6:43,1,10,TEN 43,10,27,Will Levis sacked by Bud Dupree for -1 yards,1.800,1.120
4,6:01,2,11,TEN 42,10,27,Penalty on JC Latham: False Start 5 yards (accepted) (no play),1.120,0.440
4,6:01,2,16,TEN 37,10,27,Will Levis pass complete short left to Tyjae Spears for -7 yards (tackle by Bud Dupree and Tuli Tuipulotu),0.440,-1.150
4,5:23,3,23,TEN 30,10,27,Will Levis sacked by Bud Dupree for no gain. Will Levis fumbles (forced by Bud Dupree) recovered by JC Latham at TEN-30 and returned for 4 yards (tackle by Daiyan Henley),-1.150,-1.110
4,4:38,4,19,TEN 34,10,27,Ryan Stonehouse punts 48 yards out of bounds,-1.110,-0.040
4,4:30,1,10,LAC 18,10,27,J.K. Dobbins up the middle for -1 yards (tackle by Jaylen Harrell),0.040,-0.650
4,3:46,2,11,LAC 17,10,27,J.K. Dobbins left tackle for no gain (tackle by Sebastian Joseph-Day and Mike Brown),-0.650,-1.340
4,3:37,,,,,,Timeout #1 by Tennessee Titans,,
4,3:37,3,11,LAC 17,10,27,J.K. Dobbins up the middle for 4 yards (tackle by Harold Landry),-1.340,-1.960
4,3:30,,,,,,Timeout #2 by Tennessee Titans,,
4,3:30,4,7,LAC 21,10,27,JK Scott punts 40 yards fair catch by Jha'Quan Jackson at TEN-39,-1.960,-1.530
4,3:24,1,10,TEN 39,10,27,Will Levis pass complete short middle to Tyjae Spears for 6 yards (tackle by Alohi Gilman),1.530,1.800
4,2:56,2,4,TEN 45,10,27,Will Levis pass complete short left to Tyjae Spears for 5 yards (tackle by Tarheeb Still and Daiyan Henley),1.800,2.260
4,2:49,1,10,TEN 50,10,27,Tyjae Spears right end for 4 yards (tackle by Morgan Fox),2.260,2.250
4,2:25,2,6,LAC 46,10,27,Will Levis pass incomplete deep right intended for Calvin Ridley,2.250,1.550
4,2:20,3,6,LAC 46,10,27,Will Levis pass complete short left to Bryce Oliver for 19 yards (tackle by Cam Hart),1.550,3.780
4,2:01,1,10,LAC 27,10,27,Will Levis pass complete short right to Bryce Oliver for 4 yards (tackle by Cam Hart),3.780,3.770
4,1:58,2,6,LAC 23,10,27,Tyjae Spears right end for -1 yards (tackle by Morgan Fox and Elijah Molden),3.770,2.940
4,1:35,3,7,LAC 24,10,27,Will Levis scrambles right end for 9 yards (tackle by Tarheeb Still),2.940,4.580
4,0:54,1,10,LAC 15,16,27,Will Levis pass complete short left to Calvin Ridley for 15 yards touchdown,4.580,7.000
4,0:49,,,LAC 15,17,27,Nick Folk kicks extra point good,0.000,0.000
4,0:49,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:49,,,TEN 35,17,27,Nick Folk kicks onside 11 yards returned by Daiyan Henley for no gain,0.000,2.520
4,0:48,1,10,TEN 46,17,27,Justin Herbert kneels for -1 yards,2.520,1.840
4,0:30,2,11,TEN 47,17,27,Justin Herbert kneels for -1 yards,1.840,1.030
