Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
4,11:34,2,6,CHI 31,13,3,Antonio Gibson right tackle for 7 yards (tackle by Gervon Dexter),3.240,3.970
4,10:48,1,10,CHI 24,13,3,Drake Maye pass complete short left to Demario Douglas for no gain (tackle by Elijah Hicks and Tremaine Edmunds). Penalty on Kayshon Boutte: Offensive Holding 10 yards (accepted) (no play),3.970,3.310
4,10:24,1,20,CHI 34,13,3,Antonio Gibson left guard for 10 yards (tackle by Jaylon Johnson and Elijah Hicks),3.310,3.430
4,9:39,2,10,CHI 24,13,3,Drake Maye pass complete short middle to Austin Hooper for 12 yards (tackle by Terell Smith),3.430,4.780
4,8:59,1,10,CHI 12,13,3,Antonio Gibson right end for 4 yards (tackle by Terell Smith),4.780,4.830
4,8:18,2,6,CHI 8,13,3,Antonio Gibson right tackle for 1 yard (tackle by Dominique Robinson and Jaylon Johnson),4.830,4.160
4,7:38,3,5,CHI 7,13,3,Drake Maye pass incomplete short middle intended for Hunter Henry,4.160,2.980
4,7:34,4,5,CHI 7,16,3,Joey Slye 25 yard field goal good,2.980,3.000
4,7:30,,,NWE 35,16,3,Joey Slye kicks off 66 yards returned by DeAndre Carter for 35 yards (tackle by Jahlani Tavai),0.000,1.200
4,7:25,1,10,CHI 34,16,3,Caleb Williams sacked by Anfernee Jennings for -6 yards,1.200,-0.150
4,6:51,2,16,CHI 28,16,3,Caleb Williams pass complete short right to D.J. Moore for 8 yards (tackle by Jonathan Jones),-0.150,0.230
4,6:22,3,8,CHI 36,16,3,Caleb Williams pass complete short middle to D'Andre Swift for 6 yards (tackle by Jahlani Tavai and Keion White),0.230,-0.590
4,6:01,4,2,CHI 42,16,3,Caleb Williams pass complete short middle to Rome Odunze for 4 yards (tackle by Jahlani Tavai),-0.590,1.990
4,5:36,1,10,CHI 46,16,3,Penalty on Matt Pryor: False Start 5 yards (accepted) (no play),1.990,1.660
4,5:36,1,15,CHI 41,16,3,Caleb Williams pass incomplete short middle,1.660,0.780
4,5:33,2,15,CHI 41,16,3,Caleb Williams pass complete short left to Keenan Allen for 10 yards (tackle by Marcus Jones),0.780,1.420
4,5:06,3,5,NWE 49,16,3,Caleb Williams pass incomplete short right,1.420,0.000
4,5:00,4,5,NWE 49,16,3,Penalty on Keenan Allen: False Start 5 yards (accepted) (no play),0.000,-0.320
4,5:00,4,10,CHI 46,16,3,Caleb Williams pass incomplete short right intended for Keenan Allen (defended by Marcus Jones),-0.320,-2.520
4,4:54,1,10,CHI 46,16,3,Rhamondre Stevenson right guard for 6 yards (tackle by T.J. Edwards),2.520,2.790
4,4:49,,,,,,Timeout #1 by Chicago Bears,,
4,4:49,2,4,CHI 40,16,3,Rhamondre Stevenson left end for 3 yards (tackle by Tyrique Stevenson),2.790,2.480
4,4:43,,,,,,Timeout #2 by Chicago Bears,,
4,4:43,3,1,CHI 37,16,3,Drake Maye pass complete short left to Hunter Henry for 14 yards (tackle by Elijah Hicks),2.480,4.040
4,4:34,,,,,,Timeout #3 by Chicago Bears,,
4,4:34,1,10,CHI 23,16,3,Rhamondre Stevenson right tackle for 5 yards (tackle by T.J. Edwards and Kevin Byard),4.040,4.210
4,3:46,2,5,CHI 18,16,3,Rhamondre Stevenson right tackle for 3 yards (tackle by Gervon Dexter and Jack Sanborn),4.210,4.050
4,3:05,3,2,CHI 15,16,3,Rhamondre Stevenson left end for no gain (tackle by Jacob Martin),4.050,2.570
4,2:21,,,,,,Timeout #2 by New England Patriots,,
4,2:21,4,2,CHI 15,19,3,Joey Slye 33 yard field goal good,2.570,3.000
4,2:17,,,NWE 35,19,3,Joey Slye kicks off 65 yards touchback.,0.000,0.940
4,2:17,1,10,CHI 30,19,3,Caleb Williams pass incomplete short left intended for D.J. Moore (defended by Deatrich Wise),0.940,0.390
4,2:11,2,10,CHI 30,19,3,Caleb Williams pass complete short left to DeAndre Carter for 5 yards,0.390,0.370
4,2:07,3,5,CHI 35,19,3,Caleb Williams pass incomplete short left intended for D.J. Moore. Penalty on Jahlani Tavai: Roughing the Passer 15 yards (accepted) (no play),0.370,2.260
4,1:59,1,10,CHI 50,19,3,Caleb Williams sacked by Jahlani Tavai for -7 yards,2.260,0.770
4,1:27,2,17,CHI 43,19,3,Caleb Williams sacked by Keion White for -8 yards,0.770,-0.960
4,0:58,3,25,CHI 35,19,3,Caleb Williams pass complete short middle to Roschon Johnson for 5 yards (tackle by Isaiah Bolden),-0.960,-0.720
4,0:40,,,,,,Timeout #3 by New England Patriots,,
4,0:40,4,20,CHI 40,19,3,Caleb Williams pass complete short right to Rome Odunze for 8 yards (tackle by Marco Wilson),-0.720,-2.390
4,0:35,1,10,CHI 48,19,3,Drake Maye kneels for -1 yards,2.390,1.710
