Quarter,Time,Down,ToGo,Location,SFO,TAM,Detail,EPB,EPA
2,15:00,1,10,SFO 30,7,0,Brock Purdy pass complete short middle to Christian McCaffrey for 8 yards (tackle by Lavonte David),0.940,1.470
2,14:18,2,2,SFO 38,7,0,Brock Purdy pass incomplete deep right intended for Jauan Jennings. Penalty on Zyon McCollum: Defensive Pass Interference 15 yards (accepted) (no play),1.470,2.460
2,14:14,1,10,TAM 47,7,0,Deebo Samuel left end for 2 yards (tackle by Lavonte David),2.460,2.180
2,13:30,2,8,TAM 45,7,0,Christian McCaffrey left end for -1 yards (tackle by Calijah Kancey and Lavonte David),2.180,1.350
2,12:43,3,9,TAM 46,7,0,Brock Purdy pass complete short right to Jauan Jennings for 11 yards (tackle by Zyon McCollum),1.350,3.250
2,12:00,1,10,TAM 35,7,0,Christian McCaffrey right guard for 1 yard (tackle by Lavonte David and K.J. Britt),3.250,2.840
2,11:16,2,9,TAM 34,7,0,Brock Purdy pass complete short middle to Deebo Samuel for 5 yards (tackle by Antoine Winfield),2.840,2.810
2,10:29,3,4,TAM 29,7,0,Brock Purdy pass complete deep right to Jauan Jennings for 18 yards (tackle by Jordan Whitehead),2.810,4.840
2,9:47,1,10,TAM 11,7,0,Christian McCaffrey right tackle for 1 yard (tackle by Jordan Whitehead),4.840,4.320
2,9:05,2,9,TAM 10,7,0,Brock Purdy pass incomplete short left intended for Ricky Pearsall,4.320,3.300
2,9:00,3,9,TAM 10,7,0,Brock Purdy pass incomplete short left intended for George Kittle,3.300,2.760
2,8:55,4,9,TAM 10,10,0,Jake Moody 28 yard field goal good,2.760,3.000
2,8:53,,,SFO 35,10,0,Jake Moody kicks off 65 yards touchback.,0.000,0.940
2,8:53,1,10,TAM 30,10,0,Baker Mayfield pass complete short left to Ryan Miller for 11 yards (tackle by Fred Warner and Isaac Yiadom),0.940,1.660
2,8:16,1,10,TAM 41,10,0,Bucky Irving left guard for 2 yards (tackle by Malik Mustapha),1.660,1.390
2,7:39,2,8,TAM 43,10,0,Baker Mayfield pass complete short left to Bucky Irving for 5 yards (tackle by Deommodore Lenoir and De'Vondre Campbell),1.390,1.360
