Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
3,0:58,3,18,JAX 22,6,7,Mac Jones pass complete short left to Evan Engram for 11 yards (tackle by Harrison Smith and Shaquill Griffin),-1.350,-1.180
3,0:12,4,7,JAX 33,6,7,Logan Cooke punts 60 yards returned by Brandon Powell for 9 yards (tackle by Andrew Wingard),-1.180,0.140
4,15:00,1,10,MIN 16,6,7,Sam Darnold pass complete short right to Jordan Addison for 4 yards (tackle by Ronald Darby),-0.140,0.010
4,14:34,2,6,MIN 20,6,7,Cam Akers right end for 7 yards (tackle by Arik Armstead),0.010,0.740
4,13:53,1,10,MIN 27,6,7,Cam Akers left end for no gain (tackle by Devin Lloyd),0.740,0.200
4,13:10,2,10,MIN 27,6,7,Sam Darnold pass complete short middle to T.J. Hockenson for 26 yards (tackle by Foyesade Oluokun),0.200,2.460
4,12:29,1,10,JAX 47,6,7,Ty Chandler up the middle for 8 yards (tackle by Ventrell Miller),2.460,2.990
4,12:07,2,2,JAX 39,6,7,Ty Chandler up the middle for 4 yards (tackle by Devin Lloyd and DaVon Hamilton),2.990,3.250
4,11:29,1,10,JAX 35,6,7,Ty Chandler up the middle for 1 yard (tackle by DaVon Hamilton and Yasir Abdullah),3.250,2.840
4,11:00,2,9,JAX 34,6,7,Sam Darnold scrambles left end for 10 yards (tackle by Arik Armstead),2.840,3.970
4,10:20,1,10,JAX 24,6,7,Sam Darnold pass incomplete short right intended for Jordan Addison,3.970,3.430
4,10:12,2,10,JAX 24,6,7,Sam Darnold pass complete short left to T.J. Hockenson for 4 yards (tackle by Foyesade Oluokun),3.430,3.270
4,9:31,3,6,JAX 20,6,7,Sam Darnold pass complete short left to T.J. Hockenson for 5 yards (tackle by Foyesade Oluokun and Tyson Campbell),3.270,2.590
4,8:57,4,1,JAX 15,6,7,Sam Darnold up the middle for 1 yard (tackle by Travon Walker and Foyesade Oluokun),2.590,4.650
4,8:29,1,10,JAX 14,6,7,Jalen Nailor right end for -7 yards (tackle by Darnell Savage),4.650,3.150
4,7:58,2,17,JAX 21,6,7,Sam Darnold pass incomplete short middle intended for Josh Oliver,3.150,2.480
4,7:52,3,17,JAX 21,6,7,Ty Chandler up the middle for 5 yards (tackle by Yasir Abdullah),2.480,2.380
4,7:17,4,12,JAX 16,9,7,John Parker Romo 34 yard field goal good,2.380,3.000
4,7:14,,,MIN 35,9,7,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
4,7:14,1,10,JAX 30,9,7,Travis Etienne up the middle for -3 yards (tackle by Jonathan Greenard),0.940,-0.010
4,6:39,2,13,JAX 27,9,7,Mac Jones aborted snap recovered by Harrison Phillips at JAC-26,-0.010,-3.910
4,6:35,1,10,JAX 25,9,7,Cam Akers up the middle for 11 yards (tackle by Ronald Darby and Foyesade Oluokun),3.910,4.650
4,5:52,1,10,JAX 14,9,7,Cam Akers left end for 2 yards (tackle by Ventrell Miller and Andre Cisco),4.650,4.330
4,5:13,2,8,JAX 12,9,7,Cam Akers up the middle for 1 yard (tackle by DaVon Hamilton),4.330,3.620
