Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
2,3:51,3,2,PHI 11,7,3,Cooper Rush pass complete short middle to CeeDee Lamb for 5 yards (tackle by Quinyon Mitchell),4.430,5.830
2,3:10,1,6,PHI 6,7,3,Ezekiel Elliott up the middle for 3 yards. Ezekiel Elliott fumbles (tackle by C.J. Gardner-Johnson recovered by Cooper DeJean in end zone. Penalty on Jake Ferguson: Offensive Holding 10 yards (declined),5.830,-0.280
2,3:04,1,10,PHI 20,7,3,Jalen Hurts pass incomplete deep right intended for DeVonta Smith. Penalty on Caelen Carson: Defensive Holding 5 yards (accepted) (no play),0.280,0.610
2,2:57,1,10,PHI 25,7,3,Saquon Barkley up the middle for 1 yard (tackle by Mazi Smith),0.610,0.200
2,2:14,2,9,PHI 26,7,3,Jalen Hurts sacked by Micah Parsons for -20 yards. Jalen Hurts fumbles (forced by Micah Parsons) recovered by Marist Liufau at PHI-6 (tackle by Saquon Barkley),0.200,-5.830
2,2:08,1,6,PHI 6,7,3,Ezekiel Elliott up the middle for 3 yards (tackle by Reed Blankenship and C.J. Gardner-Johnson),5.830,5.530
2,2:00,2,3,PHI 3,7,3,Cooper Rush pass incomplete short middle intended for CeeDee Lamb,5.530,4.720
2,1:56,3,3,PHI 3,7,3,Rico Dowdle right guard for -2 yards (tackle by Jalen Carter),4.720,3.010
2,1:51,,,,,,Timeout #2 by Philadelphia Eagles,,
2,1:51,4,5,PHI 5,7,6,Brandon Aubrey 23 yard field goal good,3.010,3.000
2,1:48,,,DAL 35,7,6,Brandon Aubrey kicks off 62 yards returned by Kenneth Gainwell for 23 yards (tackle by Ryan Flournoy). Penalty on Jeremiah Trotter: Illegal Block Above the Waist 10 yards (accepted),0.000,-0.140
2,1:43,1,10,PHI 16,7,6,Jalen Hurts pass complete short right to A.J. Brown for 14 yards (tackle by Caelen Carson),-0.140,0.940
2,1:38,1,10,PHI 30,7,6,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards,0.940,1.070
2,1:34,2,5,PHI 35,7,6,Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by Caelen Carson),1.070,0.370
2,1:28,3,5,PHI 35,7,6,Jalen Hurts pass complete short middle to A.J. Brown for 18 yards (tackle by Marist Liufau),0.370,2.460
2,1:04,,,,,,Timeout #1 by Dallas Cowboys,,
2,1:04,1,10,DAL 47,7,6,Jalen Hurts scrambles up the middle for 24 yards (tackle by Malik Hooker),2.460,4.040
2,0:37,1,10,DAL 23,7,6,Jalen Hurts pass complete short right to Kenneth Gainwell for 9 yards (tackle by DeMarvion Overshown),4.040,4.950
2,0:28,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:28,2,1,DAL 14,13,6,Jalen Hurts pass complete short right to Dallas Goedert for 14 yards touchdown,4.950,7.000
2,0:23,,,DAL 15,14,6,Jake Elliott kicks extra point good,0.000,0.000
2,0:23,,,PHI 35,14,6,Braden Mann kicks off 65 yards touchback.,0.000,0.940
