Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA
2,3:02,2,22,HOU 21,7,16,Joe Mixon up the middle for 1 yard (tackle by Alex Anzalone),-1.030,-1.550
2,2:18,3,21,HOU 22,7,16,C.J. Stroud pass complete short left to Xavier Hutchinson for -4 yards (tackle by Amik Robertson),-1.550,-2.240
2,2:00,4,25,HOU 18,7,16,Tommy Townsend punts 62 yards returned by Kalif Raymond for -1 yards (tackle by Ka'dar Hollman),-2.240,-0.150
2,1:51,1,10,DET 19,7,16,Jahmyr Gibbs left guard for 1 yard (tackle by Jimmie Ward),0.150,-0.200
2,1:12,2,9,DET 20,7,16,Jahmyr Gibbs left guard for 1 yard (tackle by Azeez Al-Shaair),-0.200,-0.810
2,1:09,,,,,,Timeout #2 by Houston Texans,,
2,1:09,3,8,DET 21,7,16,Jared Goff pass incomplete short middle intended for Sam LaPorta,-0.810,-1.960
2,1:06,4,8,DET 21,7,16,Jack Fox punts 60 yards returned by Steven Sims for 15 yards (tackle by Zeke Turner),-1.960,-1.200
2,0:54,1,10,HOU 34,7,16,C.J. Stroud pass complete short right to John Metchie for 9 yards (tackle by Jack Campbell),1.200,1.870
2,0:40,2,1,HOU 43,7,16,C.J. Stroud pass complete deep middle to John Metchie for 25 yards (tackle by Terrion Arnold),1.870,3.450
2,0:29,,,,,,Timeout #3 by Houston Texans,,
2,0:29,1,10,DET 32,7,16,C.J. Stroud pass complete deep right to Dalton Schultz for 17 yards (tackle by Jack Campbell),3.450,4.580
2,0:25,1,10,DET 15,7,16,C.J. Stroud pass incomplete short right,4.580,3.950
2,0:20,2,10,DET 15,7,16,C.J. Stroud pass incomplete short right intended for Tank Dell,3.950,3.100
2,0:16,3,10,DET 15,7,22,C.J. Stroud pass complete short middle to John Metchie for 15 yards touchdown,3.100,7.000
2,0:12,,,DET 15,7,23,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,0:12,,,HOU 35,7,23,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
2,0:12,1,10,DET 30,7,23,Jared Goff pass complete short middle to Amon-Ra St. Brown for 15 yards (tackle by Jimmie Ward),0.940,1.930
2,0:06,,,,,,Timeout #1 by Detroit Lions,,
2,0:06,1,10,DET 45,7,23,Jared Goff pass incomplete short middle,1.930,1.380
2,0:02,2,10,DET 45,7,23,Jared Goff pass deep left is intercepted by Kamari Lassiter at HOU-2 and returned for no gain (tackle by Amon-Ra St. Brown),1.380,0.000
3,15:00,,,DET 35,7,23,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,HOU 30,7,23,C.J. Stroud pass short left intended for Tank Dell is intercepted by Carlton Davis at HOU-31 and returned for no gain (tackle by Tank Dell),0.940,-3.510
3,14:56,1,10,HOU 31,7,23,David Montgomery right end for 12 yards (tackle by Eric Murray),3.510,4.310
3,14:23,1,10,HOU 19,7,23,David Montgomery right tackle for -1 yards (tackle by Azeez Al-Shaair and Folorunso Fatukasi),4.310,3.630
3,13:45,2,11,HOU 20,7,23,Jared Goff pass deep right intended for Sam LaPorta is intercepted by Kamari Lassiter at HOU-1 and returned for no gain (tackle by Sam LaPorta),3.630,0.380
3,13:38,1,10,HOU 1,7,23,Joe Mixon right guard for 1 yard (tackle by D.J. Reader),-0.380,-0.710
3,13:04,2,9,HOU 2,7,23,C.J. Stroud pass incomplete short middle intended for Robert Woods,-0.710,-1.300
3,12:59,3,9,HOU 2,7,23,C.J. Stroud pass incomplete short middle intended for Dalton Schultz,-1.300,-2.490
3,12:55,4,9,HOU 2,7,23,Tommy Townsend punts 56 yards returned by Kalif Raymond for 14 yards (tackle by Neville Hewitt),-2.490,-2.650
3,12:44,1,10,HOU 44,7,23,David Montgomery left end for 4 yards (tackle by Danielle Hunter),2.650,2.650
3,12:17,2,6,HOU 40,7,23,Jared Goff pass complete deep left to Sam LaPorta for 37 yards (tackle by Eric Murray),2.650,6.510
3,11:36,1,3,HOU 3,13,23,David Montgomery left guard for 3 yards touchdown,6.510,7.000
3,11:34,,,HOU 2,13,23,Two Point Attempt: David Montgomery rushes conversion fails.,1.000,-1.000
3,11:34,,,DET 35,13,23,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,11:34,1,10,HOU 30,13,23,Joe Mixon right guard for 1 yard (tackle by Alim McNeill),0.940,0.530
3,10:55,2,9,HOU 31,13,23,Joe Mixon right end for 1 yard (tackle by Ben Niemann),0.530,-0.030
3,10:13,3,8,HOU 32,13,23,C.J. Stroud pass complete short middle to Dalton Schultz for 32 yards (tackle by Alex Anzalone),-0.030,3.180
3,9:44,1,10,DET 36,13,23,Joe Mixon left tackle for 6 yards (tackle by Terrion Arnold and Kerby Joseph),3.180,3.450
3,9:05,2,4,DET 30,13,23,C.J. Stroud pass deep right intended for Tank Dell is intercepted by Carlton Davis in end zone and returned for no gain,3.450,-0.280
3,8:55,1,10,DET 20,13,23,Jahmyr Gibbs right end for 12 yards (tackle by Henry To'oTo'o),0.280,1.070
3,8:26,1,10,DET 32,13,23,Jared Goff pass deep left intended for Jameson Williams is intercepted by Calen Bullock at HOU-22 and returned for no gain (tackle by Jameson Williams),1.070,-0.410
3,8:18,1,10,HOU 22,13,23,Joe Mixon left end for 5 yards (tackle by Trevor Nowaske),0.410,0.540
3,7:39,2,5,HOU 27,13,23,Joe Mixon left tackle for 4 yards (tackle by Jack Campbell and Brian Branch),0.540,0.370
3,6:59,3,1,HOU 31,13,23,Joe Mixon left tackle for 2 yards (tackle by Brian Branch and Mekhi Wingo),0.370,1.140
3,6:16,1,10,HOU 33,13,23,Joe Mixon left tackle for no gain (tackle by Carlton Davis). Penalty on Juice Scruggs: Offensive Holding 10 yards (accepted) (no play),1.140,0.480
3,5:52,1,20,HOU 23,13,23,C.J. Stroud sacked by Alim McNeill for -10 yards,0.480,-2.220
3,5:21,2,30,HOU 13,13,23,Joe Mixon up the middle for 4 yards (tackle by Jack Campbell and Mekhi Wingo),-2.220,-2.620
3,4:44,3,26,HOU 17,13,23,Dare Ogunbowale left guard for 11 yards (tackle by Brian Branch),-2.620,-1.500
3,4:04,4,15,HOU 28,13,23,Tommy Townsend punts 54 yards returned by Kalif Raymond for 2 yards (tackle by Del'Shawn Phillips). Penalty on Ben Niemann: Offensive Illegal Block Above the Waist 10 yards (accepted),-1.500,0.380
3,3:51,1,10,DET 10,13,23,Jahmyr Gibbs left tackle for 1 yard (tackle by Devin White),-0.380,-0.710
3,3:17,2,9,DET 11,13,23,Jared Goff pass incomplete short left,-0.710,-1.300
3,3:13,3,9,DET 11,13,23,Jared Goff pass complete short right to Jahmyr Gibbs for 33 yards (tackle by Jerry Hughes),-1.300,1.860
3,2:27,1,10,DET 44,13,23,Jahmyr Gibbs left end for no gain (tackle by Danielle Hunter),1.860,1.320
3,1:50,2,10,DET 44,13,23,Jahmyr Gibbs left tackle for 3 yards (tackle by Kurt Hinish and Denico Autry),1.320,1.030
3,1:06,3,7,DET 47,13,23,David Montgomery left tackle for 2 yards. David Montgomery fumbles (tackle by Jerry Hughes) recovered by David Montgomery at DET-49,1.030,-0.130
3,0:31,4,5,DET 49,13,23,Jack Fox punts 42 yards fair catch by Steven Sims at HOU-9,-0.130,0.380
3,0:24,1,10,HOU 9,13,23,C.J. Stroud pass incomplete deep right intended for Cade Stover (defended by Jack Campbell),-0.380,-0.780
3,0:20,2,10,HOU 9,13,23,C.J. Stroud pass complete short left to Robert Woods for 1 yard (tackle by Brian Branch and Amik Robertson),-0.780,-1.300
4,15:00,3,9,HOU 10,13,23,C.J. Stroud pass incomplete short left intended for Xavier Hutchinson (defended by Brian Branch),-1.300,-2.490
4,14:57,4,9,HOU 10,13,23,Tommy Townsend punts 54 yards fair catch by Kalif Raymond at DET-36,-2.490,-1.330
4,14:49,1,10,DET 36,13,23,Jared Goff pass incomplete short middle intended for David Montgomery (defended by Tommy Togiai),1.330,0.790
4,14:45,2,10,DET 36,13,23,Jared Goff pass complete short middle to Amon-Ra St. Brown for 9 yards (tackle by Calen Bullock and Henry To'oTo'o),0.790,1.290
4,14:10,3,1,DET 45,13,23,David Montgomery up the middle for 1 yard (tackle by Dylan Horton and Henry To'oTo'o),1.290,1.990
4,13:23,1,10,DET 46,13,23,David Montgomery right guard for 4 yards (tackle by Derek Stingley and Azeez Al-Shaair),1.990,1.990
4,12:53,2,6,DET 50,13,23,Jared Goff pass complete deep left to Jameson Williams for 17 yards (tackle by Henry To'oTo'o and Eric Murray),1.990,3.380
4,12:23,1,10,HOU 33,13,23,Jared Goff pass complete short left to David Montgomery for 24 yards (tackle by Ka'dar Hollman),3.380,5.140
4,11:43,1,9,HOU 9,19,23,Jared Goff pass complete short right to Amon-Ra St. Brown for 9 yards touchdown,5.140,7.000
4,11:38,,,HOU 15,20,23,Jake Bates kicks extra point good,0.000,0.000
4,11:38,,,DET 35,20,23,Jake Bates kicks off 65 yards touchback.,0.000,0.940
4,11:38,1,10,HOU 30,20,23,C.J. Stroud pass complete short middle to Dalton Schultz for 17 yards (tackle by Alex Anzalone and Alim McNeill),0.940,2.060
4,10:53,1,10,HOU 47,20,23,Joe Mixon left tackle for no gain (tackle by Alim McNeill),2.060,1.520
4,10:07,2,10,HOU 47,20,23,Penalty on Cade Stover: False Start 5 yards (accepted) (no play),1.520,0.840
4,10:07,2,15,HOU 42,20,23,C.J. Stroud scrambles up the middle for 5 yards (tackle by Alex Anzalone),0.840,0.830
4,9:21,3,10,HOU 47,20,23,C.J. Stroud sacked by Josh Paschal for -13 yards. C.J. Stroud fumbles recovered by Tytus Howard at HOU-34,0.830,-1.110
4,8:35,4,23,HOU 34,20,23,Tommy Townsend punts 49 yards downed by Jake Hansen,-1.110,0.060
4,8:21,1,10,DET 17,20,23,Jahmyr Gibbs right tackle for 15 yards (tackle by Ka'dar Hollman),-0.060,1.070
4,7:46,1,10,DET 32,20,23,Jared Goff pass complete short left to Amon-Ra St. Brown for 9 yards (tackle by Ka'dar Hollman),1.070,1.740
4,7:16,2,1,DET 41,20,23,Jahmyr Gibbs right end for 20 yards (tackle by Calen Bullock),1.740,2.980
