Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
3,1:01,3,7,BAL 30,21,24,Joe Burrow pass complete short left to Mike Gesicki for 12 yards (tackle by Brandon Stephens),2.540,4.370
3,0:19,1,10,BAL 18,21,24,Zack Moss left tackle for 8 yards (tackle by Marcus Williams). Penalty on Odafe Oweh: Illegal Use of Hands / Defense 5 yards (accepted),4.370,6.060
4,15:00,1,5,BAL 5,21,24,Zack Moss right guard for 1 yard (tackle by Roquan Smith and Michael Pierce),6.060,5.340
4,14:23,2,4,BAL 4,21,30,Joe Burrow pass complete short left to Chase Brown for 4 yards touchdown,5.340,7.000
4,14:19,,,BAL 15,21,31,Evan McPherson kicks extra point good,0.000,0.000
4,14:19,,,CIN 35,21,31,Evan McPherson kicks off 57 yards. Chris Collier fumbles out of bounds,0.000,-0.380
4,14:18,1,10,BAL 8,21,31,Lamar Jackson pass complete deep right to Mark Andrews for 27 yards (tackle by Jordan Battle),-0.380,1.270
4,13:53,1,10,BAL 35,21,31,Lamar Jackson right end for 18 yards (tackle by Germaine Pratt),1.270,2.460
4,13:25,1,10,CIN 47,21,31,Lamar Jackson pass incomplete short right intended for Justice Hill. Penalty on Daniel Faalele: Offensive Holding 10 yards (accepted) (no play),2.460,1.800
4,13:18,1,20,BAL 43,21,31,Lamar Jackson scrambles left end for 13 yards (tackle by Kris Jenkins and Jalen Davis),1.800,2.320
4,12:37,2,7,CIN 44,21,31,Lamar Jackson pass complete short middle to Zay Flowers for 13 yards (tackle by DJ Turner),2.320,3.510
4,12:08,1,10,CIN 31,21,31,Justice Hill left guard for 7 yards (tackle by Logan Wilson),3.510,3.910
4,11:37,2,3,CIN 24,21,31,Lamar Jackson right end for 2 yards (tackle by DJ Turner),3.910,3.470
4,11:12,3,1,CIN 22,21,31,Justice Hill up the middle for 3 yards (tackle by Myles Murphy),3.470,4.310
4,10:34,1,10,CIN 19,21,31,Lamar Jackson pass complete short right to Derrick Henry for 4 yards (tackle by Myles Murphy),4.310,4.350
4,9:58,2,6,CIN 15,21,31,Lamar Jackson pass complete short left to Mark Andrews for 13 yards (tackle by Cam Taylor-Britt and Germaine Pratt),4.350,6.740
4,9:11,1,2,CIN 2,27,31,Lamar Jackson pass complete short left to Charlie Kolar for 2 yards touchdown,6.740,7.000
4,9:05,,,CIN 15,28,31,Justin Tucker kicks extra point good,0.000,0.000
4,9:05,,,BAL 35,28,31,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
4,9:05,1,10,CIN 30,28,37,Joe Burrow pass complete short right to Ja'Marr Chase for 70 yards touchdown,0.940,7.000
4,8:54,,,BAL 15,28,38,Evan McPherson kicks extra point good,0.000,0.000
4,8:54,,,CIN 35,28,38,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
4,8:54,1,10,BAL 30,28,38,Lamar Jackson pass incomplete deep left intended for Rashod Bateman,0.940,0.390
4,8:48,2,10,BAL 30,28,38,Lamar Jackson pass complete short middle to Mark Andrews for 11 yards (tackle by Logan Wilson and Josh Newton),0.390,1.660
