Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA
3,0:04,2,10,JAX 13,10,20,Penalty on Ashton Dulin: False Start 5 yards (accepted) (no play),4.050,3.400
3,0:04,2,15,JAX 18,10,20,Joe Flacco pass incomplete short middle intended for Michael Pittman,3.400,2.790
4,15:00,3,15,JAX 18,16,20,Joe Flacco pass complete deep left to Mo Alie-Cox for 18 yards touchdown,2.790,7.000
4,14:54,,,JAX 15,17,20,Matt Gay kicks extra point good,0.000,0.000
4,14:54,,,IND 35,17,20,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,14:54,1,10,JAX 30,17,20,Trevor Lawrence pass complete deep left to Brian Thomas for no gain (tackle by Nick Cross and Jaylon Carlies). Penalty on D'Ernest Johnson: Face Mask (15 Yards) 15 yards (accepted) (no play),0.940,-0.500
4,14:20,1,25,JAX 15,17,20,Trevor Lawrence pass complete short right to Travis Etienne for 1 yard (tackle by Zaire Franklin),-0.500,-1.650
4,13:46,2,24,JAX 16,17,20,Trevor Lawrence pass complete deep left to Christian Kirk for 61 yards (tackle by Nick Cross and Jaylon Jones),-1.650,4.040
4,12:55,1,10,IND 23,17,20,Tank Bigsby up the middle for 4 yards (tackle by Dallis Flowers),4.040,4.050
4,12:20,2,6,IND 19,17,20,Trevor Lawrence pass complete short middle to Gabriel Davis for 10 yards (tackle by Nick Cross and Zaire Franklin),4.050,5.140
4,11:38,1,9,IND 9,17,20,Trevor Lawrence pass complete short right to Josiah Deguara for 2 yards (tackle by Jaylon Carlies),5.140,4.760
4,11:03,2,7,IND 7,17,20,Tank Bigsby up the middle for 3 yards (tackle by Adam Gotsis),4.760,4.490
4,10:05,3,4,IND 4,17,26,Trevor Lawrence pass complete short right to Brenton Strange for 4 yards touchdown,4.490,7.000
4,9:59,,,IND 15,17,27,Cam Little kicks extra point good,0.000,0.000
4,9:59,,,JAX 35,17,27,Cam Little kicks off 65 yards touchback.,0.000,0.940
4,9:59,1,10,IND 30,17,27,Joe Flacco pass complete short middle to Michael Pittman for 27 yards (tackle by Andre Cisco),0.940,2.720
4,9:39,1,10,JAX 43,17,27,Joe Flacco sacked by Travon Walker for -3 yards,2.720,1.770
