Quarter,Time,Down,ToGo,Location,MIA,NWE,Detail,EPB,EPA
4,9:30,3,5,MIA 38,9,10,Tyler Huntley pass complete short middle to Jonnu Smith for 8 yards (tackle by Christian Elliss),0.560,1.990
4,8:52,1,10,MIA 46,9,10,Raheem Mostert right tackle for 3 yards (tackle by Anfernee Jennings and Marte Mapu),1.990,1.860
4,8:20,2,7,MIA 49,9,10,Jaylen Wright up the middle for 4 yards (tackle by Raekwon McMillan). Penalty on Julian Hill: Offensive Holding 10 yards (accepted),1.860,1.050
4,7:53,2,13,MIA 43,9,10,Tyler Huntley pass incomplete short left intended for Jonnu Smith,1.050,0.370
4,7:50,3,13,MIA 43,9,10,Tyler Huntley pass incomplete short middle intended for Raheem Mostert. Penalty on Christian Elliss: Defensive Pass Interference 5 yards (accepted) (no play),0.370,2.130
4,7:48,1,10,MIA 48,9,10,Jaylen Wright right end for 3 yards (tackle by Anfernee Jennings and Raekwon McMillan),2.130,1.990
4,7:29,2,7,NWE 49,9,10,Jaylen Wright left end for 16 yards (tackle by Christian Gonzalez),1.990,3.380
4,6:53,1,10,NWE 33,9,10,Raheem Mostert up the middle for 2 yards (tackle by Davon Godchaux and Raekwon McMillan),3.380,3.110
4,6:20,2,8,NWE 31,9,10,Raheem Mostert up the middle for 18 yards (tackle by Dell Pettus and Jaylinn Hawkins),3.110,4.710
4,5:40,1,10,NWE 13,9,10,Raheem Mostert up the middle for 2 yards (tackle by Daniel Ekuale and Marte Mapu),4.710,4.390
4,5:01,2,8,NWE 11,9,10,Jaylen Wright right tackle for 8 yards (tackle by Jonathan Jones),4.390,6.510
4,4:27,1,3,NWE 3,15,10,Alec Ingold up the middle for 3 yards touchdown,6.510,7.000
4,4:24,,,NWE 2,15,10,Two Point Attempt: Tyler Huntley pass incomplete intended for intended for Julian Hill,1.000,-1.000
4,4:24,,,MIA 35,15,10,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
4,4:24,1,10,NWE 30,15,10,Jacoby Brissett pass complete short right to Demario Douglas for -1 yards (tackle by Elijah Campbell),0.940,0.260
4,3:46,2,11,NWE 29,15,10,Jacoby Brissett pass complete short middle to Ja'Lynn Polk for 13 yards (tackle by Kader Kohou),0.260,1.730
4,3:16,1,10,NWE 42,15,10,Jacoby Brissett pass incomplete short middle intended for Ja'Lynn Polk. Penalty on Kader Kohou: Defensive Holding 4 yards (accepted) (no play),1.730,1.990
4,3:12,1,10,NWE 46,15,10,Rhamondre Stevenson up the middle for 11 yards (tackle by Kader Kohou and Marcus Maye),1.990,2.720
4,2:41,1,10,MIA 43,15,10,Antonio Gibson up the middle for 10 yards (tackle by Marcus Maye),2.720,3.380
4,2:14,1,10,MIA 33,15,10,Antonio Gibson right end for no gain (tackle by Jordyn Brooks). Penalty on Vederian Lowe: Offensive Holding 11 yards (accepted) (no play),3.380,2.650
4,2:10,1,21,MIA 44,15,10,Jacoby Brissett pass incomplete short right intended for Hunter Henry (defended by Jalen Ramsey). Penalty on Hunter Henry: Illegal Formation 5 yards (declined),2.650,1.350
4,2:04,2,21,MIA 44,15,10,Jacoby Brissett pass complete short middle to Demario Douglas for 13 yards (tackle by Anthony Walker),1.350,2.410
4,1:58,3,8,MIA 31,15,10,Jacoby Brissett pass complete short middle to Demario Douglas for 19 yards (tackle by Jalen Ramsey),2.410,4.780
4,1:13,1,10,MIA 12,15,10,Jacoby Brissett pass incomplete short middle intended for Austin Hooper,4.780,4.100
4,1:08,2,10,MIA 12,15,10,Jacoby Brissett pass complete short middle to Ja'Lynn Polk for no gain touchdown Replay Assistant challenged the pass completion ruling and the original play was overturned. Jacoby Brissett pass incomplete short middle intended for Ja'Lynn Polk,4.100,3.120
4,1:03,3,10,MIA 12,15,10,Jacoby Brissett pass incomplete short right,3.120,2.630
4,1:00,,,,,,Timeout #1 by Miami Dolphins,,
4,1:00,4,10,MIA 12,15,10,Penalty on Hunter Henry: False Start 5 yards (accepted) (no play),2.630,2.310
4,1:00,4,15,MIA 17,15,10,Jacoby Brissett pass incomplete deep middle intended for Hunter Henry,2.310,0.060
4,0:55,1,10,MIA 17,15,10,Raheem Mostert right guard for 5 yards (tackle by Jaylinn Hawkins and Anfernee Jennings),-0.060,0.210
4,0:50,,,,,,Timeout #1 by New England Patriots,,
4,0:50,2,5,MIA 22,15,10,Raheem Mostert left end for 1 yard (tackle by Keion White),0.210,-0.490
4,0:46,,,,,,Timeout #2 by New England Patriots,,
4,0:46,3,4,MIA 23,15,10,Raheem Mostert right guard for 3 yards (tackle by Jahlani Tavai),-0.490,-1.630
4,0:41,,,,,,Timeout #3 by New England Patriots,,
4,0:41,4,1,MIA 26,15,10,Jake Bailey punts 46 yards returned by Marcus Jones for 15 yards (tackle by Tanner Conner),-1.630,-1.800
4,0:29,1,10,NWE 43,15,10,Jacoby Brissett pass complete deep right to Kayshon Boutte for 21 yards (tackle by Elijah Campbell),1.800,3.180
4,0:14,1,10,MIA 36,15,10,Jacoby Brissett spiked the ball,3.180,2.640
4,0:12,2,10,MIA 36,15,10,Jacoby Brissett pass complete deep right to Hunter Henry for 25 yards (tackle by Jordyn Brooks),2.640,1.530
