Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
3,15:00,,,ATL 35,24,17,Younghoe Koo kicks off 67 yards returned by Bucky Irving for 39 yards (tackle by Younghoe Koo and KhaDarel Hodge),0.000,1.400
3,14:53,1,10,TAM 37,24,17,Rachaad White left tackle for 2 yards (tackle by Grady Jarrett),1.400,1.130
3,13:54,2,8,TAM 39,24,17,Baker Mayfield pass complete short middle to Chris Godwin for no gain (tackle by Antonio Hamilton). Penalty on Justin Skule: Offensive Holding 10 yards (accepted) (no play),1.130,-0.220
3,13:34,2,18,TAM 29,24,17,Baker Mayfield pass complete short left to Rachaad White for -2 yards (tackle by David Onyemata),-0.220,-1.150
3,12:53,3,20,TAM 27,24,17,Baker Mayfield scrambles right end for 8 yards (tackle by Antonio Hamilton),-1.150,-1.040
3,12:17,4,12,TAM 35,24,17,Trenton Gill punts 45 yards fair catch by Avery Williams at ATL-20,-1.040,-0.280
3,12:10,1,10,ATL 20,24,17,Kirk Cousins pass incomplete deep left intended for Darnell Mooney (defended by Jamel Dean),0.280,-0.270
3,12:04,2,10,ATL 20,24,17,Kirk Cousins pass complete deep right to Drake London for 31 yards (tackle by Jordan Whitehead),-0.270,2.320
3,11:26,1,10,TAM 49,24,17,Tyler Allgeier left end for 5 yards (tackle by Vita Vea and K.J. Britt),2.320,2.460
3,10:59,2,5,TAM 44,24,17,Penalty on Matthew Bergeron: False Start 5 yards (accepted) (no play),2.460,1.780
3,10:36,2,10,TAM 49,24,17,Kirk Cousins pass incomplete short right intended for Darnell Mooney (defended by Zyon McCollum),1.780,1.090
3,10:30,3,10,TAM 49,24,17,Kirk Cousins pass complete short right to Kyle Pitts for 7 yards (tackle by Tykee Smith),1.090,0.460
3,10:08,4,3,TAM 42,24,17,Kirk Cousins pass complete short left to Darnell Mooney for 14 yards (tackle by Jamel Dean),0.460,3.710
3,9:25,1,10,TAM 28,24,17,Kirk Cousins pass complete short right to Darnell Mooney for 2 yards (tackle by Jordan Whitehead),3.710,3.440
3,8:46,2,8,TAM 26,24,17,Kirk Cousins pass complete short right to Kyle Pitts for 8 yards (tackle by Chris Braswell),3.440,4.370
3,8:14,1,10,TAM 18,24,17,Kirk Cousins pass complete short left to Ray-Ray McCloud for no gain (tackle by Christian Izien). Penalty on Jake Matthews: Ineligible Downfield Pass 5 yards (declined) . Penalty on KhaDarel Hodge: Offensive Pass Interference 10 yards (accepted) (no play),4.370,3.710
3,7:50,1,20,TAM 28,24,17,Bijan Robinson right guard for 6 yards (tackle by Jordan Whitehead),3.710,3.290
3,7:15,2,14,TAM 22,24,17,Kirk Cousins sacked by Anthony Nelson for -8 yards,3.290,1.550
3,6:33,3,22,TAM 30,24,17,Kirk Cousins pass incomplete deep right intended for Darnell Mooney,1.550,1.410
3,6:26,4,22,TAM 30,24,20,Younghoe Koo 48 yard field goal good,1.410,3.000
3,6:21,,,ATL 35,24,20,Younghoe Koo kicks off 65 yards touchback.,0.000,0.940
3,6:21,1,10,TAM 30,24,20,Baker Mayfield pass complete short left to Chris Godwin for 20 yards. Chris Godwin fumbles (forced by Jessie Bates) recovered by Mike Evans at ATL-49,0.940,2.320
3,5:35,1,10,ATL 49,24,20,Baker Mayfield pass complete short right to Chris Godwin for 10 yards (tackle by Mike Hughes),2.320,2.980
3,5:04,1,10,ATL 39,24,20,Bucky Irving left guard for no gain (tackle by Antonio Hamilton),2.980,2.440
3,4:30,2,10,ATL 39,24,20,Baker Mayfield scrambles left end for 9 yards (tackle by Kaden Elliss),2.440,2.940
3,3:57,3,1,ATL 30,24,20,Chris Godwin left end for 2 yards (tackle by AJ Terrell). Penalty on JD Bertrand: Unnecessary Roughness / Defense 14 yards (accepted),2.940,4.650
3,3:30,1,10,ATL 14,24,20,Bucky Irving left tackle for no gain (tackle by Grady Jarrett),4.650,4.000
3,2:49,2,10,ATL 14,24,20,Baker Mayfield pass complete short middle to Cade Otton for 7 yards (tackle by JD Bertrand),4.000,4.500
3,2:07,3,3,ATL 7,24,20,Baker Mayfield sacked by David Onyemata for -7 yards,4.500,2.510
3,1:20,4,10,ATL 14,27,20,Chase McLaughlin 32 yard field goal good,2.510,3.000
3,1:17,,,TAM 35,27,20,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
3,1:17,1,10,ATL 30,27,20,Kirk Cousins pass complete short left to Darnell Mooney for 2 yards (tackle by Jamel Dean),0.940,0.660
3,0:47,2,8,ATL 32,27,20,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Tykee Smith),0.660,-0.030
3,0:40,3,8,ATL 32,27,20,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 22 yards (tackle by Christian Izien),-0.030,2.520
3,0:02,1,10,TAM 46,27,20,Bijan Robinson left end for 28 yards (tackle by Jamel Dean),2.520,4.370
4,15:00,1,10,TAM 18,27,20,Bijan Robinson left end for 6 yards (tackle by Lavonte David and Tykee Smith),4.370,4.810
4,14:22,2,4,TAM 12,27,20,Bijan Robinson left end for 2 yards (tackle by K.J. Britt),4.810,4.510
4,13:49,3,2,TAM 10,27,20,Tyler Allgeier right tackle for -2 yards (tackle by Christian Izien and Zyon McCollum),4.510,2.710
4,13:25,4,4,TAM 12,27,26,Kirk Cousins pass complete short left to Darnell Mooney for 12 yards touchdown,2.710,7.000
4,13:18,,,TAM 15,27,27,Younghoe Koo kicks extra point good,0.000,0.000
4,13:18,,,ATL 35,27,27,Younghoe Koo kicks off 65 yards touchback.,0.000,0.940
4,13:18,1,10,TAM 30,27,27,Baker Mayfield pass complete short middle to Mike Evans for 13 yards (tackle by Jessie Bates),0.940,1.800
4,12:38,1,10,TAM 43,27,27,Baker Mayfield scrambles right end for 18 yards (tackle by Mike Hughes),1.800,2.980
4,11:57,1,10,ATL 39,27,27,Rachaad White right tackle for 1 yard (tackle by JD Bertrand and Kaden Elliss),2.980,2.580
4,11:17,2,9,ATL 38,27,27,Baker Mayfield pass incomplete short right intended for Cade Otton,2.580,1.880
4,11:13,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,11:13,3,9,ATL 38,27,27,Baker Mayfield scrambles left tackle for 3 yards (tackle by Lorenzo Carter),1.880,0.970
4,10:28,4,6,ATL 35,30,27,Chase McLaughlin 53 yard field goal good,0.970,3.000
4,10:23,,,TAM 35,30,27,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
4,10:23,1,10,ATL 30,30,27,Kirk Cousins pass complete short left to Bijan Robinson for 5 yards (tackle by Christian Izien and K.J. Britt),0.940,1.070
4,9:48,2,5,ATL 35,30,27,Bijan Robinson left end for 1 yard (tackle by YaYa Diaby and Christian Izien),1.070,0.500
4,9:24,3,4,ATL 36,30,27,Kirk Cousins pass incomplete short right intended for Darnell Mooney. Penalty on Lavonte David: Defensive Pass Interference 7 yards (accepted) (no play),0.500,1.800
4,9:19,1,10,ATL 43,30,27,Tyler Allgeier right tackle for 2 yards (tackle by Lavonte David),1.800,1.520
