Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA
2,0:24,3,3,ARI 21,10,20,Brock Purdy pass complete short middle to George Kittle for 14 yards (tackle by Kei'Trel Clark and Krys Barnes),3.400,5.600
2,0:16,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:16,1,7,ARI 7,10,20,Brock Purdy pass incomplete short left,5.600,4.760
2,0:10,2,7,ARI 7,10,20,Brock Purdy pass incomplete short right intended for Jauan Jennings (defended by Sean Murphy-Bunting),4.760,3.810
2,0:06,3,7,ARI 7,10,20,Brock Purdy pass incomplete short left intended for Jauan Jennings,3.810,2.970
2,0:01,4,7,ARI 7,10,23,Mitch Wishnowsky 26 yard field goal good,2.970,3.000
3,15:00,,,SFO 35,10,23,Mitch Wishnowsky kicks off 66 yards returned by Greg Dortch for 27 yards (tackle by Patrick Taylor),0.000,0.670
3,14:55,1,10,ARI 26,10,23,Kyler Murray sacked by Leonard Floyd for -6 yards,0.670,-0.680
3,14:19,2,16,ARI 20,10,23,Kyler Murray pass incomplete short left intended for Marvin Harrison (defended by Deommodore Lenoir),-0.680,-1.350
3,14:14,3,16,ARI 20,10,23,Kyler Murray pass complete short right to Trey McBride for 7 yards (tackle by Fred Warner and Deommodore Lenoir),-1.350,-1.570
3,13:37,4,9,ARI 27,10,23,Blake Gillikin punts 60 yards fair catch by Trent Taylor at SF-13,-1.570,0.320
3,13:29,1,10,SFO 13,10,23,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,-0.320,-0.770
3,13:23,2,10,SFO 13,10,23,Jordan Mason up the middle for -1 yards (tackle by Zaven Collins),-0.770,-1.540
3,12:44,3,11,SFO 12,10,23,Brock Purdy pass complete short right to Brandon Aiyuk for 12 yards (tackle by Zaven Collins),-1.540,0.540
3,12:02,1,10,SFO 24,10,23,Brock Purdy pass short right (defended by Roy Lopez) intended for George Kittle is intercepted by Mack Wilson at SF-25 and returned for no gain (tackle by George Kittle),0.540,-3.910
3,11:52,1,10,SFO 25,10,23,James Conner up the middle for 5 yards (tackle by Malik Mustapha and De'Vondre Campbell),3.910,4.040
3,11:10,2,5,SFO 20,10,23,Penalty on Michael Wilson: False Start 5 yards (accepted) (no play),4.040,3.360
3,10:50,2,10,SFO 25,10,23,Kyler Murray pass complete short middle to Trey McBride for 1 yard (tackle by Nick Bosa),3.360,2.810
3,10:09,3,9,SFO 24,10,23,Kyler Murray pass incomplete deep left intended for Trey McBride,2.810,1.870
3,10:03,4,9,SFO 24,13,23,Chad Ryland 42 yard field goal good,1.870,3.000
3,9:59,,,ARI 35,13,23,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,9:59,1,10,SFO 30,13,23,Jordan Mason left tackle for 7 yards (tackle by Naquan Jones),0.940,1.340
3,9:24,2,3,SFO 37,13,23,Jordan Mason up the middle for 13 yards (tackle by Jalen Thompson and Dadrion Taylor-Demerson),1.340,2.260
3,8:42,1,10,SFO 50,13,23,Brock Purdy pass complete short middle to George Kittle for 11 yards (tackle by Budda Baker),2.260,2.980
3,8:00,1,10,ARI 39,13,23,Isaac Guerendo left end for 4 yards (tackle by Starling Thomas),2.980,2.980
3,7:16,2,6,ARI 35,13,23,Brock Purdy scrambles right end for 11 yards (tackle by Zaven Collins),2.980,3.970
3,6:32,1,10,ARI 24,13,23,Isaac Guerendo left end for 5 yards (tackle by Mack Wilson),3.970,4.120
3,5:47,2,5,ARI 19,13,23,Isaac Guerendo up the middle for 5 yards (tackle by Roy Lopez and Budda Baker),4.120,4.650
3,5:07,1,10,ARI 14,13,23,Jordan Mason left guard for 1 yard (tackle by Khyiris Tonga),4.650,4.160
3,4:19,2,9,ARI 13,13,23,Penalty on Jauan Jennings: False Start 5 yards (accepted) (no play),4.160,3.480
3,3:55,2,14,ARI 18,13,23,Brock Purdy sacked by Naquan Jones for -9 yards,3.480,1.690
3,3:04,3,23,ARI 27,13,23,Brock Purdy pass incomplete short right intended for Brandon Aiyuk (defended by Dennis Gardeck),1.690,1.670
3,2:57,4,23,ARI 27,13,23,Brock Purdy pass incomplete short middle intended for George Kittle (defended by Dadrion Taylor-Demerson),1.670,-0.740
3,2:52,1,10,ARI 27,13,23,James Conner right guard for 3 yards (tackle by Fred Warner and Sam Okuayinonu),0.740,0.600
3,2:14,2,7,ARI 30,13,23,James Conner right guard for 8 yards (tackle by Malik Mustapha),0.600,1.470
3,1:36,1,10,ARI 38,13,23,Kyler Murray pass complete short right to Greg Dortch for 7 yards (tackle by Fred Warner and De'Vondre Campbell),1.470,1.870
3,1:12,2,3,ARI 45,13,23,James Conner up the middle for 10 yards (tackle by Jordan Elliott),1.870,2.590
3,0:34,1,10,SFO 45,13,23,Kyler Murray pass complete short middle to James Conner for -1 yards (tackle by Fred Warner and T.Y. McGill),2.590,1.910
4,15:00,2,11,SFO 46,13,23,Kyler Murray pass complete short right to Tip Reiman for 5 yards (tackle by Fred Warner and De'Vondre Campbell),1.910,1.880
4,14:19,3,6,SFO 41,13,23,Kyler Murray pass complete short right to Michael Wilson for 10 yards (tackle by De'Vondre Campbell),1.880,3.510
4,13:41,1,10,SFO 31,13,23,James Conner left guard for 1 yard (tackle by Leonard Floyd and Deommodore Lenoir),3.510,3.100
4,13:05,2,9,SFO 30,13,23,Kyler Murray pass complete short right to Michael Wilson for 11 yards (tackle by Charvarius Ward and De'Vondre Campbell). Penalty on Nick Bosa: Defensive Offside 5 yards (declined),3.100,4.310
4,12:39,1,10,SFO 19,13,23,Kyler Murray pass complete short left to Michael Wilson for 3 yards (tackle by Ji'Ayir Brown),4.310,4.180
