Quarter,Time,Down,ToGo,Location,NYG,SEA,Detail,EPB,EPA
3,9:05,1,10,NYG 47,17,10,Geno Smith pass complete short middle to Pharaoh Brown for 7 yards (tackle by Micah McFadden and Nick McCloud),2.460,2.860
3,8:30,2,3,NYG 40,17,10,Geno Smith pass complete short left to Tyler Lockett for 8 yards (tackle by Cordale Flott),2.860,3.450
3,7:56,1,10,NYG 32,17,10,Geno Smith sacked by D.J. Davidson for -4 yards,3.450,2.360
3,7:20,2,14,NYG 36,17,10,Kenneth Walker left guard for 7 yards (tackle by Kayvon Thibodeaux),2.360,2.610
3,6:42,3,7,NYG 29,17,10,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Deonte Banks),2.610,1.500
3,6:38,4,7,NYG 29,17,13,Jason Myers 48 yard field goal good,1.500,3.000
3,6:33,,,SEA 35,17,13,Jason Myers kicks off 62 yards returned by Ihmir Smith-Marsette for 24 yards (tackle by Coby Bryant),0.000,0.740
3,6:28,1,10,NYG 27,17,13,Tyrone Tracy up the middle for 25 yards (tackle by Riq Woolen and Julian Love),0.740,2.390
3,6:01,1,10,SEA 48,17,13,Daniel Jones pass complete short left to Darius Slayton for 6 yards (tackle by Tre Brown),2.390,2.660
3,5:22,2,4,SEA 42,17,13,Tyrone Tracy right end for 3 yards (tackle by Tre Brown),2.660,2.340
3,4:40,3,1,SEA 39,17,13,Tyrone Tracy left end for 13 yards (tackle by Johnathan Hankins),2.340,3.840
3,3:53,1,10,SEA 26,17,13,Daniel Jones pass complete short right to Theo Johnson for 5 yards (tackle by Rayshawn Jenkins),3.840,3.970
3,3:06,2,5,SEA 21,17,13,Daniel Jones pass incomplete short middle,3.970,3.270
3,3:02,3,5,SEA 21,17,13,Daniel Jones pass complete short left to Darius Slayton for 9 yards (tackle by Tre Brown and Tyrel Dodson),3.270,4.780
3,2:20,1,10,SEA 12,17,13,Daniel Jones sacked by Tyrel Dodson for -2 yards,4.780,3.790
3,1:33,2,12,SEA 14,17,13,Tyrone Tracy up the middle for 1 yard (tackle by Jarran Reed and Dre'Mont Jones),3.790,3.100
3,0:53,3,11,SEA 13,17,13,Daniel Jones pass incomplete short left intended for Darius Slayton,3.100,2.570
3,0:49,4,11,SEA 13,20,13,Greg Joseph 31 yard field goal good,2.570,3.000
3,0:46,,,NYG 35,20,13,Greg Joseph kicks off 63 yards returned by Dee Williams for 24 yards (tackle by Patrick Johnson),0.000,0.670
3,0:40,1,10,SEA 26,20,13,Kenneth Walker left end for 3 yards (tackle by Azeez Ojulari),0.670,0.540
3,0:03,2,7,SEA 29,20,13,Geno Smith sacked by and Rakeem Nunez-Roches for no gain and Dexter Lawrence for no gain,0.540,-0.160
4,15:00,3,7,SEA 29,20,13,Penalty on Stone Forsythe: False Start 5 yards (accepted) (no play),-0.160,-0.820
4,15:00,3,12,SEA 24,20,13,Geno Smith scrambles up the middle for 11 yards (tackle by Dane Belton and Deonte Banks),-0.820,-1.040
4,14:13,4,1,SEA 35,20,13,Geno Smith sacked by Brian Burns for -8 yards,-1.040,-3.780
4,14:09,1,10,SEA 27,20,13,Tyrone Tracy left guard for 5 yards (tackle by Jerome Baker and Rayshawn Jenkins),3.780,3.910
4,13:28,2,5,SEA 22,20,13,Daniel Jones pass complete short middle to Wan'Dale Robinson for 9 yards (tackle by Tyrel Dodson),3.910,4.710
4,12:49,1,10,SEA 13,20,13,Tyrone Tracy right guard for 7 yards (tackle by Rayshawn Jenkins and Devon Witherspoon),4.710,5.340
4,12:07,2,3,SEA 6,20,13,Daniel Jones pass incomplete short left,5.340,4.560
4,12:01,3,3,SEA 6,20,13,Daniel Jones pass incomplete short left intended for Eric Gray,4.560,3.010
4,11:57,4,3,SEA 6,23,13,Greg Joseph 24 yard field goal good,3.010,3.000
4,11:54,,,NYG 35,23,13,Greg Joseph kicks off 69 yards returned by Laviska Shenault for 32 yards (tackle by Ty Summers and Isaiah Simmons),0.000,0.810
4,11:47,1,10,SEA 28,23,13,Zach Charbonnet left tackle for 2 yards (tackle by Rakeem Nunez-Roches),0.810,0.530
4,11:10,2,8,SEA 30,23,13,Zach Charbonnet right tackle for 9 yards (tackle by Jason Pinnock and Tyler Nubin),0.530,1.530
4,10:27,1,10,SEA 39,23,13,Geno Smith pass complete short middle to Zach Charbonnet for 4 yards (tackle by Bobby Okereke and Micah McFadden),1.530,1.530
4,9:50,2,6,SEA 43,23,13,Geno Smith pass incomplete short right intended for Zach Charbonnet (defended by Brian Burns),1.530,0.830
4,9:47,3,6,SEA 43,23,13,Geno Smith sacked by and Kayvon Thibodeaux for -10 yards and Dexter Lawrence for -10 yards. Penalty on Stone Forsythe: Illegal Formation 5 yards (declined),0.830,-1.180
4,9:39,4,16,SEA 33,23,13,Michael Dickson punts 48 yards fair catch by Ihmir Smith-Marsette at NYG-19,-1.180,-0.150
4,9:33,1,10,NYG 19,23,13,Tyrone Tracy right guard for 5 yards (tackle by Derick Hall),0.150,0.340
4,8:50,2,5,NYG 24,23,13,Daniel Jones pass incomplete short left intended for Wan'Dale Robinson,0.340,-0.420
4,8:48,3,5,NYG 24,23,13,Daniel Jones pass complete short left to Darius Slayton for 6 yards (tackle by Tyrel Dodson and Nehemiah Pritchett),-0.420,0.940
4,8:03,1,10,NYG 30,23,13,Daniel Jones pass complete short right to Wan'Dale Robinson for 2 yards (tackle by Devon Witherspoon),0.940,0.660
4,7:28,2,8,NYG 32,23,13,Tyrone Tracy up the middle for 4 yards (tackle by Julian Love and Jerome Baker),0.660,0.500
4,6:43,3,4,NYG 36,23,13,Daniel Jones sacked by Jerome Baker for no gain,0.500,-0.980
4,6:05,4,4,NYG 36,23,13,Jamie Gillan punts 59 yards downed by Dane Belton,-0.980,0.380
4,5:53,1,10,SEA 5,23,13,Geno Smith pass incomplete short middle intended for Jaxon Smith-Njigba (defended by Rakeem Nunez-Roches),-0.380,-0.780
4,5:51,2,10,SEA 5,23,13,Geno Smith pass complete deep left to D.K. Metcalf for 22 yards (tackle by Tyler Nubin),-0.780,0.740
4,5:29,1,10,SEA 27,23,13,Geno Smith pass complete short middle to Kenneth Walker for 12 yards (tackle by Cordale Flott),0.740,1.530
4,4:50,1,10,SEA 39,23,13,Geno Smith pass complete short right to Tyler Lockett for 6 yards (tackle by Cordale Flott),1.530,1.800
4,4:45,2,4,SEA 45,23,13,Penalty on Charles Cross: False Start 5 yards (accepted) (no play),1.800,1.120
4,4:45,2,9,SEA 40,23,13,Geno Smith pass complete short right to Kenneth Walker for 7 yards (tackle by Bobby Okereke and Tyler Nubin),1.120,1.360
4,4:24,3,2,SEA 47,23,13,Geno Smith pass complete short left to Noah Fant for 6 yards (tackle by Tyler Nubin),1.360,2.460
4,4:04,1,10,NYG 47,23,13,Geno Smith pass complete short middle to D.K. Metcalf for 9 yards (tackle by Andru Phillips and Dane Belton),2.460,3.130
4,3:43,2,1,NYG 38,23,13,Geno Smith pass complete short left to Kenneth Walker for 3 yards (tackle by Andru Phillips and Dane Belton),3.130,3.250
4,3:20,1,10,NYG 35,23,13,Geno Smith pass complete short left to Jaxon Smith-Njigba for 15 yards (tackle by Brian Burns and Deonte Banks),3.250,4.240
4,2:59,1,10,NYG 20,23,13,Geno Smith pass incomplete short middle intended for Kenneth Walker,4.240,3.690
4,2:55,2,10,NYG 20,23,13,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 8 yards (tackle by Dane Belton),3.690,4.340
4,2:33,3,2,NYG 12,23,13,Geno Smith pass complete short right to Kenneth Walker for 7 yards (tackle by Dane Belton),4.340,6.060
4,2:17,1,5,NYG 5,23,13,Geno Smith pass incomplete short right intended for Jaxon Smith-Njigba,6.060,5.150
4,2:13,2,5,NYG 5,23,19,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 5 yards touchdown,5.150,7.000
4,2:09,,,NYG 15,23,20,Jason Myers kicks extra point good,0.000,0.000
4,2:09,,,SEA 35,23,20,Penalty on Darius Muasau: Illegal Use of Hands / Defense 5 yards (accepted) (no play),0.000,0.000
4,2:09,,,SEA 40,23,20,Jason Myers kicks off 57 yards returned by Eric Gray for 19 yards (tackle by Brady Russell),0.000,0.410
4,2:05,1,10,NYG 22,23,20,Tyrone Tracy left guard for 4 yards (tackle by Jerome Baker and Dre'Mont Jones),0.410,0.410
4,2:00,2,6,NYG 26,23,20,Tyrone Tracy left guard for 2 yards (tackle by Tre Brown),0.410,-0.030
4,1:55,,,,,,Timeout #1 by Seattle Seahawks,,
4,1:55,3,4,NYG 28,23,20,Daniel Jones pass incomplete short right intended for Darius Slayton (defended by Nehemiah Pritchett),-0.030,-1.500
4,1:51,4,4,NYG 28,23,20,Jamie Gillan punts 45 yards returned by Dee Williams for 7 yards (tackle by Casey Kreiter),-1.500,-1.200
4,1:40,1,10,SEA 34,23,20,Geno Smith scrambles right guard for 32 yards (tackle by Jason Pinnock),1.200,3.310
4,1:32,,,,,,Timeout #2 by Seattle Seahawks,,
4,1:32,1,10,NYG 34,23,20,Geno Smith pass complete short left to Noah Fant for 6 yards (tackle by Bobby Okereke and Andru Phillips),3.310,3.580
4,1:12,2,4,NYG 28,23,20,Geno Smith pass incomplete deep left intended for Tyler Lockett,3.580,2.870
4,1:08,3,4,NYG 28,23,20,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba,2.870,1.650
4,1:05,4,4,NYG 28,29,20,Jason Myers 47 yard field goal no good blocked by Isaiah Simmons touchdown,1.650,-7.000
4,0:55,,,,,,Timeout #1 by New York Giants,,
4,0:55,,,SEA 2,29,20,Two Point Attempt: Daniel Jones rushes conversion fails.,1.000,-1.000
4,0:55,,,NYG 35,29,20,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
4,0:55,1,10,SEA 30,29,20,Geno Smith sacked by D.J. Davidson for -13 yards,0.940,-1.500
4,0:49,,,,,,Timeout #3 by Seattle Seahawks,,
4,0:49,2,23,SEA 17,29,20,Geno Smith pass complete short left to Noah Fant for 12 yards (tackle by Adoree' Jackson),-1.500,-0.430
4,0:41,3,11,SEA 29,29,20,Geno Smith scrambles up the middle for 8 yards (tackle by Dane Belton),-0.430,-0.910
4,0:17,4,3,SEA 37,29,20,Geno Smith sacked by Dexter Lawrence for -9 yards,-0.910,-3.710
4,0:09,1,10,SEA 28,29,20,Daniel Jones kneels for -1 yards,3.710,3.030
