Quarter,Time,Down,ToGo,Location,NYJ,MIN,Detail,EPB,EPA
2,8:49,4,2,MIN 26,0,10,Braelon Allen up the middle for no gain (tackle by Dallas Turner and Blake Cashman),1.860,-0.670
2,8:46,1,10,MIN 26,0,10,Sam Darnold pass incomplete deep left intended for Jordan Addison,0.670,0.130
2,8:41,2,10,MIN 26,0,10,Sam Darnold pass complete deep right to Justin Jefferson for 27 yards (tackle by Isaiah Oliver),0.130,2.460
2,7:59,1,10,NYJ 47,0,10,Ty Chandler right end for 32 yards (tackle by Chazz Surratt and Tony Adams). Penalty on Justin Jefferson: Illegal Shift 5 yards (accepted) (no play),2.460,2.130
2,7:16,1,15,MIN 48,0,10,Sam Darnold pass complete short right to Myles Gaskin for 11 yards (tackle by Quincy Williams),2.130,2.720
2,6:51,2,4,NYJ 41,0,10,Ty Chandler left guard for 5 yards (tackle by Will McDonald and Tony Adams),2.720,3.180
2,6:12,1,10,NYJ 36,0,10,Ty Chandler right tackle for 5 yards (tackle by D.J. Reed),3.180,3.310
2,5:34,2,5,NYJ 31,0,10,Sam Darnold pass incomplete deep left intended for Justin Jefferson. Penalty on D.J. Reed: Defensive Pass Interference 18 yards (accepted) (no play),3.310,4.710
2,5:28,1,10,NYJ 13,0,10,Myles Gaskin left tackle for no gain (tackle by Isaiah Oliver),4.710,4.050
2,4:53,2,10,NYJ 13,0,10,Sam Darnold pass incomplete short left intended for Justin Jefferson. Penalty on Sauce Gardner: Defensive Pass Interference 11 yards (accepted) (no play),4.050,6.740
2,4:49,1,2,NYJ 2,0,10,Sam Darnold pass incomplete short left intended for Ty Chandler. Penalty on Brian O'Neill: Illegal Formation 5 yards (accepted) (no play),6.740,5.600
2,4:46,1,7,NYJ 7,0,10,Ty Chandler right end for 3 yards (tackle by Solomon Thomas),5.600,5.340
2,4:06,2,4,NYJ 4,0,10,Sam Darnold pass incomplete short right intended for Justin Jefferson. Penalty on Sauce Gardner: Defensive Holding 2 yards (accepted) (no play),5.340,6.740
2,4:01,1,2,NYJ 2,0,16,C.J. Ham left guard for 2 yards touchdown,6.740,7.000
2,3:58,,,NYJ 15,0,17,Will Reichard kicks extra point good,0.000,0.000
2,3:58,,,MIN 35,0,17,Will Reichard kicks off 65 yards touchback.,0.000,0.940
2,3:58,1,10,NYJ 30,0,17,Aaron Rodgers pass complete short right to Tyler Conklin for 13 yards (tackle by Shaquill Griffin),0.940,1.800
