Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
2,0:39,,,DAL 15,35,13,Blake Grupe kicks extra point good,0.000,0.000
2,0:39,,,NOR 35,35,13,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
2,0:39,1,10,DAL 30,35,13,Dak Prescott pass incomplete short middle intended for Jalen Tolbert (defended by Cameron Jordan),0.940,0.390
2,0:35,2,10,DAL 30,35,13,Dak Prescott pass complete short left to Jalen Brooks for no gain (tackle by Kool-Aid McKinstry) Replay Assistant challenged the short of the line to gain ruling and the original play was overturned. Dak Prescott pass complete short left to Jalen Brooks for 10 yards (tackle by Kool-Aid McKinstry),0.390,1.600
2,0:31,,,,,,Timeout #3 by Dallas Cowboys,,
2,0:31,1,10,DAL 40,35,13,Dak Prescott pass complete short right to Jalen Tolbert for 3 yards,1.600,1.460
2,0:24,2,7,DAL 43,35,13,Dak Prescott pass complete short right to Luke Schoonmaker for 8 yards (tackle by Ugo Amadi),1.460,2.320
2,0:21,1,10,NOR 49,35,13,Dak Prescott pass complete short middle to Jalen Tolbert for 19 yards (tackle by Ugo Amadi),2.320,3.580
2,0:07,1,10,NOR 30,35,13,Dak Prescott spiked the ball,3.580,3.030
2,0:05,,,,,,Timeout #3 by New Orleans Saints,,
2,0:05,2,10,NOR 30,35,16,Brandon Aubrey 48 yard field goal good,3.030,3.000
3,15:00,,,NOR 35,35,16,Blake Grupe kicks off 63 yards returned by Juanyeh Thomas for 25 yards (tackle by J.T. Gray),0.000,0.740
3,14:54,1,10,DAL 27,35,16,Ezekiel Elliott up the middle for 3 yards (tackle by Pete Werner),0.740,0.600
3,14:24,2,7,DAL 30,35,16,Dak Prescott pass complete short right to Luke Schoonmaker for 1 yard (tackle by Demario Davis),0.600,0.040
3,13:46,3,6,DAL 31,35,16,Dak Prescott pass complete short right to Ezekiel Elliott for 15 yards (tackle by Alontae Taylor),0.040,1.990
3,12:59,1,10,DAL 46,35,16,Dak Prescott scrambles up the middle for 8 yards (tackle by Pete Werner),1.990,2.530
3,12:15,2,2,NOR 46,35,16,Rico Dowdle up the middle for 1 yard (tackle by Cameron Jordan),2.530,1.950
3,11:39,3,1,NOR 45,35,16,Penalty on Tyler Guyton: False Start 5 yards (accepted) (no play),1.950,1.290
3,11:24,3,6,NOR 50,35,16,Dak Prescott pass complete deep right to Jalen Tolbert for 39 yards (tackle by Paulson Adebo),1.290,4.840
3,10:41,1,10,NOR 11,35,16,Dak Prescott pass incomplete short right intended for Ezekiel Elliott,4.840,4.140
3,10:37,2,10,NOR 11,35,16,Ezekiel Elliott right end for 2 yards (tackle by Nathan Shepherd),4.140,3.530
3,9:57,3,8,NOR 9,35,16,Dak Prescott sacked by Bryan Bresee for -3 yards. Dak Prescott fumbles (forced by Bryan Bresee) recovered by Jalen Tolbert at NO-22,3.530,1.990
3,9:08,4,21,NOR 22,35,19,Brandon Aubrey 40 yard field goal good,1.990,3.000
3,9:05,,,DAL 35,35,19,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
3,9:05,1,10,NOR 30,35,19,Derek Carr pass complete short left to Alvin Kamara for 8 yards (tackle by Malik Hooker),0.940,1.470
3,8:32,2,2,NOR 38,35,19,Alvin Kamara right end for no gain (tackle by Damone Clark and Eric Kendricks),1.470,0.760
3,7:55,3,2,NOR 38,35,19,Taysom Hill left end for 9 yards (tackle by Damone Clark),0.760,2.060
3,7:20,1,10,NOR 47,35,19,Alvin Kamara left end for 3 yards (tackle by Micah Parsons),2.060,1.920
3,6:37,2,7,NOR 50,35,19,Derek Carr pass complete short middle to Chris Olave for 13 yards (tackle by Jourdan Lewis),1.920,3.120
3,5:54,1,10,DAL 37,35,19,Taysom Hill right end for 7 yards (tackle by Donovan Wilson and Damone Clark),3.120,3.520
3,5:12,2,3,DAL 30,35,19,Rashid Shaheed left end for 4 yards (tackle by Jourdan Lewis),3.520,3.840
3,4:33,1,10,DAL 26,35,19,Derek Carr pass complete deep left to Foster Moreau for no gain touchdown. Penalty on Cesar Ruiz: Ineligible Downfield Pass 5 yards (accepted) (no play),3.840,3.510
3,4:26,1,15,DAL 31,35,19,Alvin Kamara left end for 10 yards (tackle by Trevon Diggs),3.510,3.970
3,3:57,2,5,DAL 21,35,19,Alvin Kamara left tackle for 3 yards (tackle by Eric Kendricks),3.970,3.750
3,3:19,3,2,DAL 18,35,19,Alvin Kamara left end for 4 yards (tackle by Damone Clark and Trevon Diggs),3.750,4.650
3,2:35,1,10,DAL 14,35,19,Derek Carr sacked by Chauncey Golston for -1 yards,4.650,3.850
3,1:56,2,11,DAL 15,35,19,Rashid Shaheed right end for 2 yards (tackle by Damone Clark),3.850,3.260
