Quarter,Time,Down,ToGo,Location,SEA,NWE,Detail,EPB,EPA
4,9:09,1,10,NWE 20,17,20,Antonio Gibson left tackle for 3 yards (tackle by Tyrel Dodson),0.280,0.140
4,8:31,2,7,NWE 23,17,20,Antonio Gibson right guard for 9 yards (tackle by Rayshawn Jenkins),0.140,1.070
4,7:49,1,10,NWE 32,17,20,Antonio Gibson left guard for -2 yards (tackle by Johnathan Hankins),1.070,0.260
4,7:11,2,12,NWE 30,17,20,Antonio Gibson left end for 45 yards (tackle by Devon Witherspoon),0.260,3.910
4,6:15,1,10,SEA 25,17,20,Rhamondre Stevenson right tackle for 2 yards (tackle by Jarran Reed),3.910,3.630
4,5:26,2,8,SEA 23,17,20,Rhamondre Stevenson up the middle for 2 yards (tackle by Tyrice Knight and Rayshawn Jenkins),3.630,3.200
4,4:46,3,6,SEA 21,17,20,Jacoby Brissett sacked by and Byron Murphy for -9 yards and Leonard Williams for -9 yards,3.200,1.410
4,3:59,4,15,SEA 30,17,20,Joey Slye 48 yard field goal no good blocked by Julian Love,1.410,-1.470
4,3:54,1,10,SEA 38,17,20,Zach Charbonnet up the middle for 2 yards (tackle by Daniel Ekuale and Keion White),1.470,1.190
4,3:11,2,8,SEA 40,17,20,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 7 yards (tackle by Anfernee Jennings),1.190,1.420
4,2:34,3,1,SEA 47,17,20,Zach Charbonnet up the middle for 6 yards (tackle by Daniel Ekuale),1.420,2.460
4,2:08,1,10,NWE 47,17,20,Geno Smith pass complete short middle to Zach Charbonnet for 9 yards (tackle by Raekwon McMillan),2.460,3.130
4,2:00,2,1,NWE 38,17,20,Geno Smith pass complete short right to D.K. Metcalf for 14 yards,3.130,3.970
4,1:54,1,10,NWE 24,17,20,Geno Smith pass incomplete short right intended for Noah Fant,3.970,3.430
4,1:43,2,10,NWE 24,17,20,Geno Smith pass complete short right to D.K. Metcalf for 9 yards (tackle by Jonathan Jones) Replay Assistant challenged the short of the line to gain ruling and the play was upheld.,3.430,4.170
4,1:43,3,1,NWE 15,17,20,Geno Smith up the middle for no gain (tackle by Raekwon McMillan and Anfernee Jennings),4.170,2.590
4,0:58,,,,,,Timeout #2 by Seattle Seahawks,,
4,0:58,4,1,NWE 15,17,20,Penalty on Geno Smith: Delay of Game 5 yards (accepted) (no play),2.590,2.150
4,0:58,4,6,NWE 20,20,20,Jason Myers 38 yard field goal good,2.150,3.000
4,0:55,,,SEA 35,20,20,Jason Myers kicks off 65 yards touchback.,0.000,0.940
4,0:55,1,10,NWE 30,20,20,Jacoby Brissett pass incomplete short middle intended for Rhamondre Stevenson,0.940,0.390
4,0:49,2,10,NWE 30,20,20,Jacoby Brissett pass complete short left to Ja'Lynn Polk for 7 yards (tackle by Riq Woolen),0.390,0.630
4,0:34,3,3,NWE 37,20,20,Jacoby Brissett pass incomplete short left intended for Hunter Henry,0.630,-0.910
4,0:25,4,3,NWE 37,20,20,Bryce Baringer punts 54 yards returned by Dee Williams for 15 yards (tackle by Jaylinn Hawkins and Christian Elliss),-0.910,-0.540
4,0:15,,,,,,Timeout #3 by New England Patriots,,
4,0:15,,,,,,Timeout #3 by Seattle Seahawks,,
4,0:15,1,10,SEA 24,20,20,Geno Smith kneels for -1 yards,0.540,0.000
,,,,,,,Patriots won the coin toss Patriots to receive the overtime kickoff.,,
OT,10:00,,,SEA 35,20,20,Jason Myers kicks off 65 yards touchback.,0.000,0.940
OT,10:00,1,10,NWE 30,20,20,Rhamondre Stevenson left guard for 2 yards (tackle by Johnathan Hankins),0.940,0.660
OT,9:20,2,8,NWE 32,20,20,Jacoby Brissett pass complete short right to K.J. Osborn for 7 yards (tackle by Riq Woolen),0.660,0.890
OT,8:37,3,1,NWE 39,20,20,Rhamondre Stevenson up the middle for no gain (tackle by Tyrel Dodson and Jarran Reed). Penalty on Caedan Wallace: Illegal Formation 5 yards (declined),0.890,-0.780
OT,8:18,4,1,NWE 39,20,20,Bryce Baringer punts 45 yards fair catch by Dee Williams at SEA-16,-0.780,0.140
OT,8:12,1,10,SEA 16,20,20,Geno Smith pass complete short right to Jaxon Smith-Njigba for 5 yards (tackle by Marcus Jones),-0.140,0.150
OT,7:37,2,5,SEA 21,20,20,Geno Smith pass complete short right to D.K. Metcalf for 10 yards (tackle by Christian Gonzalez),0.150,1.000
OT,7:00,1,10,SEA 31,20,20,Geno Smith pass incomplete deep left intended for Tyler Lockett. Penalty on Jonathan Jones: Defensive Pass Interference 20 yards (accepted) (no play),1.000,2.320
OT,6:55,1,10,NWE 49,20,20,Geno Smith pass complete short right to Jaxon Smith-Njigba for 4 yards (tackle by Marcus Jones),2.320,2.320
OT,6:19,,,,,,Timeout #1 by New England Patriots,,
OT,6:19,2,6,NWE 45,20,20,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba,2.320,1.620
OT,6:14,3,6,NWE 45,20,20,Geno Smith pass complete short left to Zach Charbonnet for 7 yards (tackle by Christian Gonzalez),1.620,3.050
OT,5:24,1,10,NWE 38,20,20,Geno Smith pass complete short left to Tyler Lockett for 16 yards (tackle by Jonathan Jones),3.050,4.110
OT,4:48,1,10,NWE 22,20,20,Zach Charbonnet left end for 9 yards (tackle by Jonathan Jones and Marcus Jones) Replay Assistant challenged the short of the line to gain ruling and the play was upheld.,4.110,5.060
OT,4:41,2,1,NWE 13,23,20,Jason Myers 31 yard field goal good,5.060,3.000
