Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA
2,3:49,4,2,BUF 45,17,7,Tua Tagovailoa sacked by Ed Oliver for -6 yards,0.270,-2.320
2,3:45,1,10,MIA 49,23,7,James Cook up the middle for 49 yards touchdown,2.320,7.000
2,3:36,,,MIA 15,24,7,Tyler Bass kicks extra point good,0.000,0.000
2,3:36,,,BUF 35,24,7,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
2,3:36,1,10,MIA 30,24,7,Tua Tagovailoa pass complete short left to Jaylen Waddle for no gain (tackle by Cameron Lewis),0.940,0.390
2,3:00,2,10,MIA 30,24,7,De'Von Achane right end for 13 yards (tackle by Dorian Williams and Gregory Rousseau),0.390,1.800
2,2:22,1,10,MIA 43,24,7,De'Von Achane left guard for 3 yards (tackle by Cameron Lewis),1.800,1.660
2,2:00,2,7,MIA 46,24,7,De'Von Achane right end for 5 yards (tackle by Baylon Spector and Gregory Rousseau),1.660,1.620
2,1:22,3,2,BUF 49,24,7,Tua Tagovailoa pass complete short right to Jonnu Smith for 4 yards (tackle by Christian Benford and Dorian Williams),1.620,2.590
2,1:03,1,10,BUF 45,24,7,Tua Tagovailoa pass complete short right to De'Von Achane for 4 yards (tackle by Christian Benford),2.590,2.580
2,0:57,2,6,BUF 41,24,7,De'Von Achane right end for -5 yards (tackle by Gregory Rousseau),2.580,1.220
2,0:32,,,,,,Timeout #1 by Miami Dolphins,,
2,0:32,3,11,BUF 46,24,7,Tua Tagovailoa scrambles left end for 11 yards (tackle by Von Miller),1.220,3.250
2,0:27,1,10,BUF 35,24,7,Tua Tagovailoa pass complete short left to Jeff Wilson for 6 yards (tackle by Baylon Spector),3.250,3.510
2,0:21,,,,,,Timeout #2 by Miami Dolphins,,
2,0:21,2,4,BUF 29,24,7,Tua Tagovailoa pass complete short middle to Tyreek Hill for 6 yards (tackle by Baylon Spector and Damar Hamlin),3.510,4.040
2,0:16,,,,,,Timeout #3 by Miami Dolphins,,
2,0:16,,,,,,Timeout #2 by Buffalo Bills,,
2,0:16,1,10,BUF 23,24,7,Tua Tagovailoa pass complete short right to Jonnu Smith for 7 yards,4.040,4.560
2,0:12,,,,,,Timeout #3 by Buffalo Bills,,
2,0:12,2,3,BUF 16,24,7,Tua Tagovailoa pass incomplete short left,4.560,3.850
2,0:08,3,3,BUF 16,24,10,Jason Sanders 34 yard field goal good,3.850,3.000
2,0:04,,,MIA 35,24,10,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,0:04,1,10,BUF 30,24,10,Josh Allen kneels for -1 yards,0.940,0.260
3,15:00,,,MIA 35,24,10,Jason Sanders kicks off 62 yards returned by Ray Davis for 25 yards (tackle by Quinton Bell). Penalty on Anthony Walker: Illegal Formation 5 yards (accepted),0.000,1.140
3,14:51,1,10,BUF 33,24,10,Josh Allen pass complete short right to Dalton Kincaid for 9 yards (tackle by David Long and Kendall Fuller),1.140,1.810
3,14:12,2,1,BUF 42,24,10,James Cook left tackle for 5 yards (tackle by Kendall Fuller and Jordan Poyer),1.810,2.060
3,13:36,1,10,BUF 47,24,10,Josh Allen pass complete short right to Curtis Samuel for 3 yards (tackle by David Long),2.060,1.920
3,12:57,2,7,BUF 50,24,10,James Cook right guard for no gain (tackle by Jordyn Brooks),1.920,1.220
3,12:22,,,,,,Timeout #1 by Miami Dolphins,,
3,12:22,3,7,BUF 50,24,10,Josh Allen pass incomplete deep right intended for Marquez Valdes-Scantling,1.220,-0.060
3,12:17,4,7,BUF 50,24,10,Sam Martin punts 39 yards fair catch by Braxton Berrios at MIA-11,-0.060,0.370
3,12:10,1,10,MIA 11,24,10,De'Von Achane up the middle for 2 yards (tackle by Dorian Williams),-0.370,-0.630
3,11:34,2,8,MIA 13,24,10,Tua Tagovailoa pass complete short left to De'Von Achane for 12 yards (tackle by Christian Benford),-0.630,0.610
3,11:03,1,10,MIA 25,24,10,De'Von Achane right end for 4 yards (tackle by Austin Johnson),0.610,0.600
3,10:23,2,6,MIA 29,24,10,De'Von Achane right end for 1 yard (tackle by Baylon Spector and Dorian Williams),0.600,0.040
3,9:37,3,5,MIA 30,30,10,Tua Tagovailoa pass short left is intercepted by Ja'Marcus Ingram at MIA-31 and returned for 31 yards touchdown,0.040,-7.000
3,9:27,,,MIA 15,31,10,Tyler Bass kicks extra point good,0.000,0.000
3,9:27,,,BUF 35,31,10,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,9:27,1,10,MIA 30,31,10,Tua Tagovailoa pass complete short right to Tyreek Hill for 8 yards (tackle by Rasul Douglas),0.940,1.470
3,8:46,2,2,MIA 38,31,10,Jaylen Wright left end for -2 yards (tackle by Taylor Rapp and Dorian Williams),1.470,0.500
3,8:02,3,4,MIA 36,31,10,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 21 yards (tackle by Rasul Douglas),0.500,2.720
3,7:19,1,10,BUF 43,31,10,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill,2.720,2.180
3,7:14,2,10,BUF 43,31,10,Jaylen Wright right end for 8 yards (tackle by Baylon Spector),2.180,2.540
3,6:44,3,2,BUF 35,31,10,De'Von Achane up the middle for 16 yards (tackle by Taylor Rapp and Damar Hamlin),2.540,4.310
3,6:01,1,10,BUF 19,31,10,Tua Tagovailoa pass incomplete deep middle intended for Julian Hill,4.310,3.750
3,5:56,2,10,BUF 19,31,10,Tua Tagovailoa pass complete short right to Jonnu Smith for 7 yards (tackle by Cameron Lewis and Dorian Williams),3.750,4.190
3,5:16,3,3,BUF 12,31,10,De'Von Achane up the middle for -1 yards (tackle by Ed Oliver),4.190,2.640
3,4:36,4,4,BUF 13,31,10,Tua Tagovailoa scrambles up the middle for 6 yards (tackle by Damar Hamlin),2.640,5.600
3,4:11,1,7,BUF 7,31,10,De'Von Achane up the middle for no gain (tackle by A.J. Epenesa and DaQuan Jones),5.600,4.760
3,3:33,2,7,BUF 7,31,10,De'Von Achane up the middle for -1 yards (tackle by Damar Hamlin),4.760,3.580
3,2:48,3,8,BUF 8,31,10,Skylar Thompson pass incomplete short left intended for Braxton Berrios,3.580,2.950
3,2:43,,,,,,Timeout #2 by Miami Dolphins,,
3,2:43,4,8,BUF 8,31,10,Skylar Thompson sacked by Von Miller for -7 yards,2.950,0.220
3,2:40,1,10,BUF 15,31,10,James Cook up the middle for 8 yards (tackle by Jordyn Brooks),-0.220,0.480
3,1:57,2,2,BUF 23,31,10,James Cook right tackle for 4 yards (tackle by Calais Campbell),0.480,0.740
3,1:13,1,10,BUF 27,31,10,James Cook right tackle for 1 yard (tackle by David Long and Jevon Holland),0.740,0.330
3,0:32,2,9,BUF 28,31,10,Josh Allen pass complete short left to Dalton Kincaid for 7 yards (tackle by Emmanuel Ogbah),0.330,0.560
4,15:00,3,2,BUF 35,31,10,James Cook right guard for no gain (tackle by David Long and Jordyn Brooks),0.560,-1.040
4,14:21,4,2,BUF 35,31,10,Sam Martin punts 65 yards touchback.,-1.040,-0.280
4,14:14,1,10,MIA 20,31,10,Skylar Thompson pass complete short right to De'Von Achane for 1 yard (tackle by Christian Benford),0.280,-0.130
4,13:29,2,9,MIA 21,31,10,Skylar Thompson pass complete short right to De'Von Achane for 15 yards (tackle by Dorian Williams and Rasul Douglas),-0.130,1.330
4,12:44,1,10,MIA 36,31,10,Skylar Thompson pass incomplete deep left intended for Grant Dubose,1.330,0.790
4,12:41,2,10,MIA 36,31,10,Skylar Thompson pass complete short left to Jonnu Smith for 6 yards (tackle by Baylon Spector),0.790,0.890
4,11:58,3,4,MIA 42,31,10,Skylar Thompson pass incomplete deep right intended for Jonnu Smith,0.890,-0.590
4,11:55,4,4,MIA 42,31,10,Penalty on Liam Eichenberg: False Start 5 yards (accepted) (no play),-0.590,-0.910
4,11:55,4,9,MIA 37,31,10,Skylar Thompson scrambles left end for 4 yards (tackle by Gregory Rousseau),-0.910,-2.850
4,11:47,1,10,MIA 41,31,10,Ray Davis right tackle for 3 yards (tackle by Da'Shawn Hand),2.850,2.710
4,11:03,,,,,,Timeout #1 by Buffalo Bills,,
4,11:03,2,7,MIA 38,31,10,Ray Davis left guard for no gain (tackle by Jalen Ramsey and Chop Robinson),2.710,2.020
4,10:19,3,7,MIA 38,31,10,Josh Allen pass complete short right to Khalil Shakir for 12 yards (tackle by Kader Kohou),2.020,3.840
4,9:34,1,10,MIA 26,31,10,Ray Davis left tackle for 2 yards (tackle by Kendall Fuller and David Long),3.840,3.570
4,8:53,2,8,MIA 24,31,10,Ray Davis left tackle for -3 yards (tackle by Zach Sieler),3.570,2.480
4,8:08,,,,,,Timeout #2 by Buffalo Bills,,
4,8:08,3,11,MIA 27,31,10,Josh Allen pass incomplete deep right intended for Keon Coleman (defended by Kendall Fuller),2.480,1.670
4,7:59,4,11,MIA 27,31,10,Tyler Bass 45 yard field goal no good,1.670,-1.270
4,7:54,1,10,MIA 35,31,10,Penalty on Austin Jackson: False Start 5 yards (accepted) (no play),1.270,0.940
4,7:54,1,15,MIA 30,31,10,Skylar Thompson pass complete short middle to Robbie Chosen for 5 yards (tackle by Damar Hamlin),0.940,0.720
4,7:18,2,10,MIA 35,31,10,Jaylen Wright left end for -4 yards (tackle by Baylon Spector),0.720,-0.490
4,6:34,3,14,MIA 31,31,10,Skylar Thompson pass complete short right to De'Von Achane for 16 yards (tackle by Cameron Lewis),-0.490,2.060
4,5:51,1,10,MIA 47,31,10,De'Von Achane left tackle for 6 yards (tackle by Taylor Rapp),2.060,2.330
4,5:07,2,4,BUF 47,31,10,Skylar Thompson pass complete deep left to De'Von Achane for 16 yards (tackle by Dorian Williams),2.330,3.510
4,4:19,,,,,,Timeout #3 by Buffalo Bills,,
4,4:19,1,10,BUF 31,31,10,Jaylen Wright right end for -1 yards (tackle by Casey Toohill),3.510,2.830
4,3:39,2,11,BUF 32,31,10,Skylar Thompson pass complete short middle to Grant Dubose for 13 yards (tackle by Cole Bishop),2.830,4.310
4,2:56,1,10,BUF 19,31,10,Skylar Thompson pass incomplete deep right intended for Julian Hill,4.310,3.750
4,2:52,2,10,BUF 19,31,10,Skylar Thompson pass complete short left to Durham Smythe for 8 yards (tackle by Christian Benford),3.750,4.430
4,2:12,3,2,BUF 11,31,10,Skylar Thompson pass incomplete short left intended for Robbie Chosen,4.430,2.820
4,2:08,4,2,BUF 11,31,10,Skylar Thompson pass incomplete short left intended for Robbie Chosen (defended by Cole Bishop),2.820,0.350
4,2:02,1,10,BUF 12,31,10,Ray Davis left tackle for 1 yard (tackle by Marcus Maye and Quinton Bell),-0.350,-0.700
4,1:57,2,9,BUF 13,31,10,Ray Davis left guard for 9 yards (tackle by Elijah Campbell and Marcus Maye),-0.700,0.410
4,1:11,1,10,BUF 22,31,10,Mitchell Trubisky kneels for -1 yards,0.410,-0.270
4,0:32,2,11,BUF 21,31,10,Mitchell Trubisky kneels for -1 yards,-0.270,-1.090
