Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
3,2:15,1,10,DET 28,13,16,Bucky Irving right end for 6 yards (tackle by Alex Anzalone and D.J. Reader),3.710,3.980
3,1:34,2,4,DET 22,13,16,Baker Mayfield pass incomplete short right intended for Cade Otton,3.980,3.270
3,1:30,3,4,DET 22,13,16,Baker Mayfield scrambles right tackle for 11 yards (tackle by Brian Branch),3.270,4.840
3,0:42,1,10,DET 11,19,16,Baker Mayfield scrambles up the middle for 11 yards touchdown,4.840,7.000
3,0:34,,,DET 15,20,16,Chase McLaughlin kicks extra point good,0.000,0.000
3,0:34,,,TAM 35,20,16,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
3,0:34,1,10,DET 30,20,16,David Montgomery up the middle for 6 yards (tackle by C.J. Brewer),0.940,1.200
3,0:02,2,4,DET 36,20,16,Penalty on Joe Tryon-Shoyinka: Neutral Zone Infraction 5 yards (accepted) (no play),1.200,1.660
4,15:00,1,10,DET 41,20,16,Jared Goff pass complete short right to David Montgomery for 15 yards (tackle by C.J. Brewer and Christian Izien),1.660,2.650
4,14:19,1,10,TAM 44,20,16,David Montgomery right tackle for no gain (tackle by Jordan Whitehead),2.650,2.110
4,13:39,2,10,TAM 44,20,16,David Montgomery left tackle for 3 yards (tackle by Tykee Smith),2.110,1.820
4,13:05,3,7,TAM 41,20,16,Jared Goff pass incomplete short right intended for Kalif Raymond,1.820,0.530
4,13:01,4,7,TAM 41,20,16,Jack Fox punts 32 yards out of bounds,0.530,0.380
4,12:53,1,10,TAM 9,20,16,Baker Mayfield pass complete short left to Mike Evans for 15 yards (tackle by Kerby Joseph),-0.380,0.540
4,12:15,1,10,TAM 24,20,16,Bucky Irving right end for -1 yards (tackle by Jack Campbell),0.540,-0.140
4,11:34,2,11,TAM 23,20,16,Bucky Irving up the middle for 4 yards (tackle by Malcolm Rodriguez and Derrick Barnes),-0.140,-0.300
4,10:54,3,7,TAM 27,20,16,Baker Mayfield sacked by and Levi Onwuzurike for -4 yards and Aidan Hutchinson for -4 yards. Baker Mayfield fumbles (forced by Levi Onwuzurike) recovered by Baker Mayfield at TB-23,-0.300,-1.830
4,10:08,4,11,TAM 23,20,16,Jake Camarda punts 42 yards returned by Kalif Raymond for 13 yards (tackle by Sean Tucker),-1.830,-2.130
4,9:57,1,10,DET 48,20,16,Jared Goff pass complete short right to Jameson Williams for 6 yards (tackle by Anthony Nelson),2.130,2.390
4,9:26,2,4,TAM 46,20,16,Jared Goff pass incomplete short right,2.390,1.680
4,9:22,3,4,TAM 46,20,16,Jahmyr Gibbs left tackle for 24 yards (tackle by Jamel Dean),1.680,4.110
4,8:36,1,10,TAM 22,20,16,Jahmyr Gibbs up the middle for 4 yards (tackle by Logan Hall and Christian Izien),4.110,4.130
4,7:58,2,6,TAM 18,20,16,Jahmyr Gibbs up the middle for no gain (tackle by YaYa Diaby and Tykee Smith). Penalty on Frank Ragnow: Offensive Holding 10 yards (accepted) (no play),4.130,2.750
4,7:41,2,16,TAM 28,20,16,Jared Goff pass deep middle intended for Tim Patrick is intercepted by Christian Izien at TB-9 and returned for 17 yards (tackle by Jameson Williams),2.750,-0.670
4,7:34,1,10,TAM 26,20,16,Baker Mayfield pass complete short right to Mike Evans for 11 yards (tackle by Kerby Joseph),0.670,1.400
4,6:52,1,10,TAM 37,20,16,Rachaad White right tackle for 2 yards (tackle by Kerby Joseph),1.400,1.130
4,6:09,2,8,TAM 39,20,16,Cade Otton right end for -4 yards (tackle by Alim McNeill and Brian Branch),1.130,-0.100
4,5:23,3,12,TAM 35,20,16,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,-0.100,-1.040
4,5:19,4,12,TAM 35,20,16,Jake Camarda punts 47 yards fair catch by Kalif Raymond at DET-18,-1.040,-0.040
4,5:12,1,10,DET 18,20,16,Jared Goff pass complete short right to David Montgomery for 9 yards (tackle by Zyon McCollum),0.040,0.820
4,4:33,2,1,DET 27,20,16,Jared Goff pass complete deep right to Kalif Raymond for 18 yards (tackle by Tykee Smith),0.820,1.930
4,4:30,1,10,DET 45,20,16,David Montgomery left tackle for 1 yard (tackle by Greg Gaines and Jordan Whitehead),1.930,1.520
4,3:54,2,9,DET 46,20,16,Jahmyr Gibbs left end for no gain (tackle by SirVocea Dennis),1.520,0.830
4,3:10,3,9,DET 46,20,16,Jared Goff pass complete short right to Amon-Ra St. Brown for 9 yards (tackle by Tykee Smith),0.830,2.590
4,3:05,1,10,TAM 45,20,16,Jared Goff pass complete short middle to Kalif Raymond for 8 yards (tackle by Christian Izien),2.590,3.120
4,2:26,2,2,TAM 37,20,16,Jahmyr Gibbs right end for -5 yards (tackle by Tykee Smith),3.120,1.750
4,2:00,3,7,TAM 42,20,16,Jared Goff pass complete short left to Sam LaPorta for 6 yards (tackle by Christian Izien),1.750,0.890
4,1:22,4,1,TAM 36,20,16,Jahmyr Gibbs left end for 23 yards (tackle by Christian Izien),0.890,4.710
4,1:17,1,10,TAM 13,20,16,Jared Goff pass complete short left to Jahmyr Gibbs for -4 yards (tackle by Joe Tryon-Shoyinka),4.710,3.500
4,1:12,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,1:12,2,14,TAM 17,20,16,Jared Goff pass complete short left to Jameson Williams for 5 yards (tackle by Jamel Dean),3.500,3.280
4,1:08,3,9,TAM 12,20,16,Jared Goff pass complete short left to Jahmyr Gibbs for 1 yard (tackle by SirVocea Dennis),3.280,2.700
4,1:01,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,1:01,4,8,TAM 11,20,16,Jared Goff pass complete short middle to Jahmyr Gibbs for 5 yards (tackle by Jordan Whitehead and Christian Izien),2.700,0.380
4,0:53,1,10,TAM 6,20,16,Rachaad White right end for 1 yard (tackle by Brian Branch),-0.380,-0.710
4,0:49,,,,,,Timeout #1 by Detroit Lions,,
4,0:49,2,9,TAM 7,20,16,Rachaad White right tackle for 3 yards (tackle by Jack Campbell and Levi Onwuzurike),-0.710,-0.950
