Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
2,1:28,2,8,LAR 31,3,24,Matthew Stafford pass incomplete deep left intended for Cooper Kupp,0.600,-0.100
2,1:23,3,8,LAR 31,3,24,Matthew Stafford pass complete short left to Colby Parkinson for 12 yards (tackle by Krys Barnes and Kyzir White),-0.100,1.800
2,1:04,1,10,LAR 43,3,24,Matthew Stafford pass complete deep left to Tutu Atwell for 16 yards,1.800,2.850
2,0:58,1,10,ARI 41,3,24,Matthew Stafford pass incomplete short left intended for Tutu Atwell (defended by L.J. Collier),2.850,2.310
2,0:52,2,10,ARI 41,3,24,Matthew Stafford pass complete short middle to Cooper Kupp for 24 yards (tackle by Jalen Thompson and Starling Thomas),2.310,4.440
2,0:43,,,,,,Timeout #1 by Los Angeles Rams,,
2,0:43,1,10,ARI 17,3,24,Matthew Stafford pass complete short middle to Tyler Johnson for 13 yards (tackle by Jalen Thompson and Julian Okwara),4.440,6.280
2,0:34,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:34,1,4,ARI 4,3,24,Kyren Williams up the middle for 1 yard (tackle by Garrett Williams),6.280,5.530
2,0:14,2,3,ARI 3,3,24,Matthew Stafford pass incomplete short left intended for Demarcus Robinson,5.530,4.720
2,0:09,3,3,ARI 3,3,24,Matthew Stafford pass complete short right to Kyren Williams for -1 yards (tackle by Budda Baker),4.720,3.030
2,0:05,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:05,4,4,ARI 4,3,24,Matthew Stafford pass incomplete short right intended for Tyler Johnson,3.030,-0.380
3,15:00,,,LAR 35,3,24,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,ARI 30,3,24,Kyler Murray pass complete short middle to Trey McBride for 9 yards (tackle by John Johnson and Quentin Lake),0.940,1.610
3,14:26,2,1,ARI 39,3,24,James Conner up the middle for 7 yards (tackle by Cobie Durant and Quentin Lake),1.610,1.990
3,13:53,1,10,ARI 46,3,24,James Conner left tackle for no gain (tackle by Byron Young). Penalty on Will Hernandez: Offensive Holding 10 yards (accepted) (no play),1.990,1.330
3,13:30,1,20,ARI 36,3,24,James Conner left tackle for 5 yards (tackle by Christian Rozeboom),1.330,0.780
3,12:54,2,15,ARI 41,3,24,Kyler Murray scrambles right tackle for 26 yards (tackle by Kamren Curl),0.780,3.380
3,12:08,1,10,LAR 33,3,24,James Conner up the middle for 6 yards (tackle by Jared Verse),3.380,3.650
3,11:29,2,4,LAR 27,3,24,James Conner right tackle for 22 yards (tackle by Kamren Curl),3.650,6.060
3,10:42,1,5,LAR 5,3,24,Kyler Murray pass incomplete short left intended for Marvin Harrison,6.060,5.150
3,10:38,2,5,LAR 5,3,30,James Conner left end for 5 yards touchdown,5.150,7.000
3,10:33,,,LAR 15,3,31,Matt Prater kicks extra point good,0.000,0.000
3,10:33,,,ARI 35,3,31,Matt Prater kicks off 65 yards touchback.,0.000,0.940
3,10:33,1,10,LAR 30,3,31,Kyren Williams up the middle for 1 yard (tackle by Budda Baker),0.940,0.530
3,9:55,2,9,LAR 31,3,31,Matthew Stafford pass complete short right to Demarcus Robinson for 8 yards (tackle by Sean Murphy-Bunting and Kyzir White),0.530,0.890
3,9:28,3,1,LAR 39,3,31,Matthew Stafford sacked by Krys Barnes for -1 yards,0.890,-0.850
3,8:53,4,2,LAR 38,3,31,Ethan Evans punts 57 yards returned by Greg Dortch for 13 yards (tackle by Hunter Long),-0.850,-0.040
3,8:40,1,10,ARI 18,3,31,James Conner left end for -1 yards (tackle by Jared Verse),0.040,-0.650
3,8:04,2,11,ARI 17,3,31,Kyler Murray pass complete short right to Trey McBride for 8 yards (tackle by Troy Reeder),-0.650,-0.270
3,7:21,3,3,ARI 25,3,31,Kyler Murray pass complete short left to Michael Wilson for 8 yards (tackle by Kamren Kinchens),-0.270,1.140
3,6:37,1,10,ARI 33,3,31,James Conner up the middle for 2 yards (tackle by Neville Gallimore and Bobby Brown),1.140,0.860
3,6:00,2,8,ARI 35,3,31,Kyler Murray pass complete deep left to Trey McBride for 21 yards (tackle by Christian Rozeboom),0.860,2.650
3,5:31,1,10,LAR 44,3,31,Trey Benson left end for 1 yard (tackle by Tre'Davious White),2.650,2.250
3,4:51,2,9,LAR 43,3,31,Trey Benson right tackle for 1 yard (tackle by Michael Hoecht and Braden Fiske),2.250,1.690
3,4:13,3,8,LAR 42,3,31,Kyler Murray pass complete short left to Greg Dortch for 3 yards (tackle by Jaylen McCollough),1.690,0.660
3,3:32,4,5,LAR 39,3,34,Matt Prater 57 yard field goal good,0.660,3.000
3,3:27,,,ARI 35,3,34,Matt Prater kicks off 65 yards touchback.,0.000,0.940
3,3:27,1,10,LAR 30,3,34,Matthew Stafford pass complete short middle to Kyren Williams for 10 yards (tackle by Mack Wilson and Kyzir White),0.940,1.600
3,2:45,1,10,LAR 40,3,34,Matthew Stafford pass complete deep left to Tutu Atwell for 21 yards (tackle by Jalen Thompson),1.600,2.980
3,2:17,1,10,ARI 39,3,34,Matthew Stafford pass complete short left to Jordan Whittington for 22 yards (tackle by Kyzir White),2.980,4.440
3,1:52,1,10,ARI 17,3,34,Matthew Stafford pass incomplete short left intended for Colby Parkinson,4.440,3.850
3,1:48,2,10,ARI 17,3,34,Matthew Stafford pass incomplete short left intended for Kyren Williams,3.850,3.070
3,1:44,3,10,ARI 17,3,34,Matthew Stafford pass complete short left to Kyren Williams for 9 yards (tackle by Budda Baker),3.070,2.990
3,1:21,4,1,ARI 8,3,34,Kyren Williams up the middle for 4 yards (tackle by Kyzir White and Zaven Collins),2.990,6.280
3,0:44,1,4,ARI 4,9,34,Kyren Williams up the middle for 4 yards touchdown,6.280,7.000
