Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
3,6:03,1,10,DEN 43,10,0,Jaylen Warren right tackle for 2 yards (tackle by Cody Barton and Brandon Jones),2.720,2.450
3,5:13,2,8,DEN 41,10,0,Justin Fields pass complete short right to Pat Freiermuth for 5 yards (tackle by Alex Singleton),2.450,2.410
3,4:56,3,3,DEN 36,10,0,Jaylen Warren left guard for 1 yard (tackle by Malcolm Roach),2.410,0.990
3,4:20,4,2,DEN 35,13,0,Chris Boswell 53 yard field goal good,0.990,3.000
3,4:16,,,PIT 35,13,0,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
3,4:16,1,10,DEN 30,13,0,Javonte Williams right end for -1 yards (tackle by Donte Jackson). Penalty on Matt Peart: Offensive Holding 10 yards (declined),0.940,0.260
3,3:55,2,11,DEN 29,13,0,Bo Nix pass incomplete deep left intended for Marvin Mims,0.260,-0.430
3,3:48,3,11,DEN 29,13,0,Bo Nix scrambles left end for 5 yards (tackle by Beanie Bishop),-0.430,-1.110
3,3:13,4,6,DEN 34,13,0,Riley Dixon punts 58 yards returned by Calvin Austin for 11 yards (tackle by Michael Burton and Nate Adkins),-1.110,-0.150
3,2:59,1,10,PIT 19,13,0,Najee Harris right tackle for 9 yards (tackle by Zach Allen and Brandon Jones),0.150,0.880
3,2:21,2,1,PIT 28,13,0,Najee Harris left tackle for 1 yard (tackle by Alex Singleton). Penalty on Connor Heyward: Offensive Holding 10 yards (accepted),0.880,-0.390
3,2:01,2,10,PIT 19,13,0,Justin Fields right end for -2 yards (tackle by Nik Bonitto and Alex Singleton),-0.390,-1.420
3,1:31,3,12,PIT 17,13,0,Justin Fields pass incomplete deep middle intended for Calvin Austin (defended by P.J. Locke),-1.420,-2.320
3,1:26,4,12,PIT 17,13,0,Corliss Waitman punts 52 yards returned by Marvin Mims for 9 yards (tackle by MyCole Pruitt). Penalty on Ja'Quan McMillian: Offensive Holding 10 yards (accepted),-2.320,-0.940
3,1:15,1,10,DEN 30,13,0,Bo Nix pass complete short right to Javonte Williams for 8 yards (tackle by DeShon Elliott),0.940,1.470
3,0:39,2,2,DEN 38,13,0,Javonte Williams up the middle for 4 yards (tackle by Isaiahh Loudermilk),1.470,1.730
3,0:04,1,10,DEN 42,13,0,Bo Nix pass incomplete deep right intended for Nate Adkins,1.730,1.190
4,15:00,2,10,DEN 42,13,0,Bo Nix pass incomplete short right intended for Courtland Sutton. Penalty on DeShon Elliott: Defensive Offside 5 yards (accepted) (no play),1.190,1.860
4,14:55,2,5,DEN 47,13,0,Jaleel McLaughlin left guard for 7 yards (tackle by Patrick Queen),1.860,2.520
4,14:12,1,10,PIT 46,13,0,Bo Nix pass incomplete short left intended for Troy Franklin. Penalty on Garett Bolles: Offensive Holding 10 yards (accepted) (no play),2.520,1.860
4,14:05,1,20,DEN 44,13,0,Bo Nix pass complete short left to Greg Dulcich for no gain (tackle by Keeanu Benton and Joey Porter),1.860,0.630
4,13:30,2,20,DEN 44,13,0,Bo Nix pass incomplete short right intended for Greg Dulcich,0.630,-0.030
4,13:25,3,20,DEN 44,13,0,Bo Nix pass complete short middle to Javonte Williams for 14 yards (tackle by Damontae Kazee and Minkah Fitzpatrick),-0.030,0.460
4,12:38,4,6,PIT 42,13,0,Bo Nix pass complete short middle to Josh Reynolds for 22 yards (tackle by Cory Trice),0.460,4.240
4,12:12,1,10,PIT 20,13,0,Javonte Williams right end for 2 yards (tackle by Montravius Adams and DeShon Elliott),4.240,3.960
4,11:35,2,8,PIT 18,13,0,Bo Nix pass complete short right to Tyler Badie for 2 yards (tackle by Elandon Roberts and T.J. Watt),3.960,3.520
4,10:49,3,6,PIT 16,13,0,Bo Nix pass incomplete short middle intended for Courtland Sutton (defended by Isaiahh Loudermilk),3.520,2.400
4,10:45,4,6,PIT 16,13,3,Wil Lutz 35 yard field goal good,2.400,3.000
4,10:42,,,DEN 35,13,3,Wil Lutz kicks off 64 yards returned by Jaylen Warren for 13 yards (tackle by Devon Key and Cody Barton),0.000,-0.280
4,10:35,1,10,PIT 14,13,3,Justin Fields pass incomplete short left intended for George Pickens,-0.280,-0.750
4,10:31,2,10,PIT 14,13,3,Cordarrelle Patterson right tackle for 3 yards (tackle by Malcolm Roach),-0.750,-1.040
4,9:51,3,7,PIT 17,13,3,Justin Fields pass complete short left to Calvin Austin for no gain (tackle by Riley Moss). Penalty on Dan Moore: Offensive Holding 8 yards (accepted) (no play),-1.040,-2.010
4,9:37,3,15,PIT 9,13,3,Jaylen Warren right guard for 11 yards (tackle by Alex Singleton and Cody Barton),-2.010,-2.030
4,8:56,4,4,PIT 20,13,3,Corliss Waitman punts 51 yards returned by Marvin Mims for 2 yards (tackle by Tyler Matakevich),-2.030,-1.000
4,8:43,1,10,DEN 31,13,3,Bo Nix pass incomplete short left. Penalty on Garett Bolles: Illegal Blindside Block 15 yards (offset) . Penalty on Joey Porter: Defensive Holding 5 yards (offset) (no play),1.000,1.000
4,8:35,1,10,DEN 31,13,3,Bo Nix pass incomplete short middle intended for Greg Dulcich,1.000,0.460
4,8:32,2,10,DEN 31,13,3,Bo Nix pass incomplete short right. Penalty on Mike McGlinchey: Offensive Holding 10 yards (offset) . Penalty on Joey Porter: Illegal Use of Hands / Defense 5 yards (offset) (no play),0.460,0.460
4,8:24,2,10,DEN 31,13,3,Penalty on Alex Highsmith: Neutral Zone Infraction 5 yards (accepted) (no play),0.460,1.140
4,8:24,2,5,DEN 36,13,3,Javonte Williams right guard for -3 yards (tackle by T.J. Watt and DeShon Elliott),1.140,0.040
4,8:01,3,8,DEN 33,13,3,Bo Nix pass incomplete short middle intended for Lil'Jordan Humphrey (defended by T.J. Watt),0.040,-1.180
4,7:57,4,8,DEN 33,13,3,Riley Dixon punts 54 yards returned by Calvin Austin for 6 yards (tackle by Keidron Smith),-1.180,-0.150
4,7:48,1,10,PIT 19,13,3,Najee Harris right guard for 2 yards (tackle by Jonathon Cooper),0.150,-0.060
4,7:09,2,8,PIT 21,13,3,Najee Harris right tackle for 5 yards (tackle by D.J. Jones),-0.060,-0.160
4,6:27,3,3,PIT 26,13,3,Justin Fields pass incomplete deep right intended for Calvin Austin (defended by Riley Moss). Penalty on P.J. Locke: Unnecessary Roughness / Defense 15 yards (accepted) (no play),-0.160,1.660
4,6:22,1,10,PIT 41,13,3,Najee Harris left guard for 2 yards (tackle by Jonathon Cooper and Alex Singleton),1.660,1.390
4,5:42,2,8,PIT 43,13,3,Justin Fields scrambles left end for 3 yards (tackle by Cody Barton),1.390,1.090
4,5:04,3,5,PIT 46,13,3,Justin Fields aborted snap recovered by Jaylen Warren at PIT-46 Jaylen Warren up the middle for no gain (tackle by Jonah Elliss and Malcolm Roach),1.090,-0.460
4,4:53,,,,,,Timeout #2 by Denver Broncos,,
4,4:53,4,7,PIT 44,13,3,Corliss Waitman punts 56 yards touchback.,-0.460,-0.280
4,4:45,1,10,DEN 20,13,3,Bo Nix pass complete short right to Greg Dulcich for 9 yards (tackle by Cory Trice and Donte Jackson),0.280,0.950
4,4:25,2,1,DEN 29,13,3,Bo Nix scrambles up the middle for 2 yards (tackle by Cameron Heyward),0.950,1.000
4,4:02,1,10,DEN 31,13,3,Bo Nix pass complete short middle to Lil'Jordan Humphrey for 27 yards (tackle by Minkah Fitzpatrick),1.000,2.790
4,3:28,1,10,PIT 42,13,3,Bo Nix pass complete short middle to Lil'Jordan Humphrey for 13 yards (tackle by Damontae Kazee),2.790,3.640
4,3:04,1,10,PIT 29,13,3,Bo Nix pass complete short left to Javonte Williams for 13 yards (tackle by DeShon Elliott and DeMarvin Leal),3.640,4.510
4,2:30,1,10,PIT 16,13,3,Bo Nix right guard for 5 yards (tackle by Minkah Fitzpatrick),4.510,4.760
4,2:03,2,5,PIT 11,13,3,Bo Nix pass incomplete short right intended for Greg Dulcich,4.760,3.940
4,2:01,3,5,PIT 11,13,3,Bo Nix pass incomplete short right intended for Courtland Sutton,3.940,2.750
4,1:56,4,5,PIT 11,13,6,Wil Lutz 29 yard field goal good,2.750,3.000
4,1:54,,,DEN 35,13,6,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,1:54,1,10,PIT 30,13,6,Najee Harris right tackle for 2 yards (tackle by D.J. Jones and Jonah Elliss),0.940,0.660
4,1:51,,,,,,Timeout #3 by Denver Broncos,,
4,1:51,2,8,PIT 32,13,6,Najee Harris right tackle for 4 yards (tackle by Zach Allen and Jonathon Cooper),0.660,0.500
4,1:06,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,1:06,3,4,PIT 36,13,6,Justin Fields right end for no gain (tackle by P.J. Locke),0.500,-0.980
4,0:18,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,0:18,4,4,PIT 36,13,6,Corliss Waitman punts 54 yards returned by Marvin Mims for 9 yards (tackle by Ben Skowronek),-0.980,-0.150
4,0:09,1,10,DEN 19,13,6,Bo Nix pass complete deep right to Josh Reynolds for 13 yards lateral to Marvin Mims for 2 yards (tackle by Damontae Kazee),0.150,1.200
4,0:01,1,10,DEN 34,13,6,Bo Nix pass deep middle is intercepted by Damontae Kazee at PIT-40 and returned for 5 yards (tackle by Jaleel McLaughlin),1.200,2.590
