Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA
2,2:00,2,7,MIN 7,6,10,Brock Purdy pass complete short left to George Kittle for 7 yards touchdown,4.760,7.000
2,1:53,,,MIN 15,7,10,Jake Moody kicks extra point good,0.000,0.000
2,1:53,,,SFO 35,7,10,Jake Moody kicks off 65 yards touchback.,0.000,0.940
2,1:53,1,10,MIN 30,7,10,Sam Darnold pass complete short middle to Jalen Nailor for 18 yards (tackle by Malik Mustapha),0.940,2.130
2,1:29,1,10,MIN 48,7,10,Sam Darnold sacked by Nick Bosa for -5 yards,2.130,0.910
2,1:18,,,,,,Timeout #2 by Minnesota Vikings,,
2,1:18,2,15,MIN 43,7,10,Sam Darnold pass complete short left to Aaron Jones for 2 yards (tackle by Deommodore Lenoir and Javon Hargrave),0.910,0.500
2,0:40,3,13,MIN 45,7,10,Sam Darnold pass complete short middle to Justin Jefferson for 16 yards (tackle by Fred Warner),0.500,2.980
2,0:18,1,10,SFO 39,7,10,Sam Darnold spiked the ball,2.980,2.440
2,0:17,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:17,2,10,SFO 39,7,10,Sam Darnold pass incomplete deep right intended for Justin Jefferson,2.440,1.750
2,0:11,3,10,SFO 39,7,10,Sam Darnold scrambles up the middle for 18 yards (tackle by Ji'Ayir Brown),1.750,4.170
2,0:03,,,,,,Timeout #3 by Minnesota Vikings,,
2,0:03,1,10,SFO 21,7,13,Will Reichard 39 yard field goal good,4.170,3.000
3,15:00,,,SFO 35,7,13,Jake Moody kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIN 30,7,13,Aaron Jones left tackle for 4 yards (tackle by Maliek Collins and De'Vondre Campbell),0.940,0.930
3,14:19,2,6,MIN 34,7,13,Sam Darnold pass incomplete short right. Penalty on Sam Darnold: Intentional Grounding 17 yards (accepted),0.930,-2.360
3,14:19,3,23,MIN 17,7,13,Sam Darnold pass complete short left to Johnny Mundt for 6 yards (tackle by Deommodore Lenoir),-2.360,-1.830
3,13:42,4,17,MIN 23,7,13,Ryan Wright punts 43 yards out of bounds,-1.830,-1.200
3,13:35,1,10,SFO 34,7,13,Jordan Mason left end for 9 yards (tackle by Josh Metellus),1.200,1.870
3,13:03,2,1,SFO 43,7,13,Brock Purdy pass complete short left to Kyle Juszczyk for 8 yards,1.870,2.320
3,12:23,1,10,MIN 49,7,13,Brock Purdy sacked by Jonathan Greenard for no gain,2.320,1.780
3,11:48,2,10,MIN 49,7,13,Jordan Mason right end for -2 yards (tackle by Jonathan Bullard and Patrick Jones),1.780,0.830
3,11:01,3,12,SFO 49,7,13,Brock Purdy sacked by Patrick Jones for -5 yards,0.830,-0.460
3,10:30,4,17,SFO 44,7,13,Mitch Wishnowsky punts 41 yards fair catch by Brandon Powell at MIN-15,-0.460,0.220
3,10:19,1,10,MIN 15,7,13,Sam Darnold pass complete short right to Trent Sherfield for 17 yards (tackle by George Odum),-0.220,1.070
3,9:56,1,10,MIN 32,7,13,Aaron Jones right end for 9 yards (tackle by George Odum),1.070,1.740
3,9:20,2,1,MIN 41,7,13,Aaron Jones left end for -2 yards (tackle by Fred Warner and Deommodore Lenoir),1.740,0.760
3,8:40,3,3,MIN 39,7,13,Sam Darnold sacked by Nick Bosa for -5 yards,0.760,-1.110
3,7:58,4,8,MIN 34,7,13,Ryan Wright punts 56 yards recovered by Isaac Yiadom at SF-13,-1.110,0.320
3,7:41,1,10,SFO 13,7,13,Jordan Mason right guard for no gain (tackle by Jonathan Greenard),-0.320,-0.770
3,7:07,2,10,SFO 13,7,13,Brock Purdy pass short middle (defended by Blake Cashman) intended for Kyle Juszczyk is intercepted by Josh Metellus at SF-22 and returned for 12 yards (tackle by Dominick Puni and Aaron Banks),-0.770,-4.910
3,6:53,1,10,SFO 10,7,19,Sam Darnold pass complete short right to Jalen Nailor for 10 yards touchdown,4.910,7.000
3,6:49,,,SFO 15,7,20,Will Reichard kicks extra point good,0.000,0.000
3,6:49,,,MIN 35,7,20,Will Reichard kicks off 65 yards touchback.. Penalty on Will Reichard: Illegal Formation 5 yards (accepted),0.000,1.270
3,6:49,1,10,SFO 35,7,20,Brock Purdy sacked by Patrick Jones for -7 yards,1.270,-0.220
3,6:07,2,17,SFO 28,7,20,Brock Purdy pass complete deep left to Brandon Aiyuk for 22 yards (tackle by Stephon Gilmore and Blake Cashman),-0.220,2.260
3,5:19,1,10,MIN 50,7,20,Deebo Samuel right end for -1 yards (tackle by Josh Metellus),2.260,1.580
3,4:39,,,,,,Timeout #1 by San Francisco 49ers,,
3,4:39,2,11,SFO 49,7,20,Brock Purdy scrambles right end for 11 yards (tackle by Ivan Pace),1.580,2.920
3,4:08,1,10,MIN 40,7,20,Jordan Mason left tackle for 1 yard (tackle by Dallas Turner and Taki Taimani),2.920,2.510
3,3:27,2,9,MIN 39,7,20,Brock Purdy sacked by Blake Cashman for -6 yards,2.510,1.030
3,2:38,3,15,MIN 45,7,20,Brock Purdy sacked by. Brock Purdy fumbles recovered by Jihad Ward at MIN-45 and returned for 2 yards (tackle by Brock Purdy),1.030,-2.260
3,2:28,1,10,MIN 50,7,20,Ty Chandler left tackle for 7 yards (tackle by Maliek Collins and Fred Warner),2.260,2.660
3,2:02,2,3,SFO 43,7,20,Ty Chandler left tackle for 12 yards (tackle by Malik Mustapha),2.660,3.510
3,1:36,1,10,SFO 31,7,20,Ty Chandler up the middle for 6 yards (tackle by Maliek Collins),3.510,3.780
3,0:53,2,4,SFO 25,7,20,Ty Chandler left end for 5 yards (tackle by Demetrius Flannigan-Fowles and Deommodore Lenoir),3.780,4.240
3,0:38,1,10,SFO 20,7,20,Sam Darnold pass complete short left to Aaron Jones for 18 yards. Aaron Jones fumbles (forced by Fred Warner) recovered by Isaac Yiadom at SF-1 Replay Assistant challenged the loose ball recovery ruling and the play was upheld.,4.240,0.380
3,0:08,1,10,SFO 1,7,20,Jordan Mason right tackle for 4 yards (tackle by Ivan Pace),-0.380,-0.490
4,15:00,2,6,SFO 5,7,20,Brock Purdy pass complete short right to Deebo Samuel for 9 yards (tackle by Stephon Gilmore),-0.490,-0.280
4,14:29,1,10,SFO 14,7,20,Brock Purdy pass complete deep middle to Deebo Samuel for 17 yards (tackle by Josh Metellus and Camryn Bynum),-0.280,1.000
4,13:47,1,10,SFO 31,7,20,Brock Purdy pass complete short left to Chris Conley for 4 yards (tackle by Stephon Gilmore),1.000,1.000
4,13:07,2,6,SFO 35,7,20,Brock Purdy pass complete short left to Brandon Aiyuk for 7 yards (tackle by Stephon Gilmore),1.000,1.730
4,12:39,1,10,SFO 42,7,20,Jordan Mason up the middle for no gain (tackle by Blake Cashman and Patrick Jones),1.730,1.190
4,12:00,2,10,SFO 42,7,20,Brock Purdy pass incomplete short middle intended for Deebo Samuel (defended by Blake Cashman),1.190,0.500
4,11:52,3,10,SFO 42,7,20,Brock Purdy pass complete short right to George Kittle for 14 yards (tackle by Josh Metellus). Penalty on Jihad Ward: Roughing the Passer 15 yards (accepted),0.500,3.640
