Quarter,Time,Down,ToGo,Location,IND,GNB,Detail,EPB,EPA
3,7:16,1,10,GNB 43,0,13,Anthony Richardson pass complete short middle to Mo Alie-Cox for 22 yards (tackle by Javon Bullard),2.720,4.170
3,6:41,1,10,GNB 21,0,13,Anthony Richardson up the middle for 5 yards (tackle by Xavier McKinney),4.170,4.370
3,6:07,2,5,GNB 16,0,13,Jonathan Taylor right end for -3 yards (tackle by Lukas Van Ness),4.370,3.180
3,5:30,3,8,GNB 19,0,13,Anthony Richardson pass complete short left to Michael Pittman for 3 yards (tackle by Keisean Nixon),3.180,2.430
3,4:36,4,5,GNB 16,3,13,Matt Gay 34 yard field goal good,2.430,3.000
3,4:32,,,IND 35,3,13,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,4:32,1,10,GNB 30,3,13,Bo Melton right end for -8 yards (tackle by Adetomiwa Adebawore),0.940,-0.690
3,3:54,2,18,GNB 22,3,13,Malik Willis pass complete short middle to Tucker Kraft for -1 yards (tackle by Dayo Odeyingbo),-0.690,-1.480
3,3:14,3,19,GNB 21,3,13,Malik Willis pass complete short right to Emanuel Wilson for 17 yards (tackle by Kwity Paye and E.J. Speed). Penalty on Josh Myers: Ineligible Downfield Pass 5 yards (accepted) (no play),-1.480,-2.600
3,2:58,3,24,GNB 16,3,13,Malik Willis pass complete short right to Jayden Reed for 9 yards (tackle by Kwity Paye),-2.600,-1.700
3,2:04,4,15,GNB 25,3,13,Daniel Whelan punts 59 yards fair catch by Anthony Gould at IND-16,-1.700,0.140
3,1:56,1,10,IND 16,3,13,Anthony Richardson pass complete short left to Jonathan Taylor for 18 yards. Jonathan Taylor fumbles ball out of bounds at IND-34 (forced by Eric Wilson) (tackle by Xavier McKinney. Jonathan Taylor fumbles out of bounds,-0.140,1.200
3,1:14,1,10,IND 34,3,13,Jonathan Taylor right end for 29 yards (tackle by Xavier McKinney),1.200,3.120
3,0:42,1,10,GNB 37,3,13,Anthony Richardson pass complete short right to Alec Pierce for 8 yards (tackle by Isaiah McDuffie),3.120,3.650
3,0:19,2,2,GNB 29,3,13,Jonathan Taylor up the middle for 1 yard (tackle by Kenny Clark and Tedarrell Slaton),3.650,3.070
4,15:00,3,1,GNB 28,3,13,Trey Sermon left end for -4 yards (tackle by Xavier McKinney),3.070,1.270
4,14:16,4,4,GNB 32,3,13,Matt Gay 50 yard field goal no good,1.270,-1.600
4,14:12,1,10,GNB 40,3,13,Josh Jacobs up the middle for 2 yards (tackle by E.J. Speed),1.600,1.320
4,13:40,2,8,GNB 42,3,13,Malik Willis right guard for 3 yards (tackle by Zaire Franklin),1.320,1.030
4,13:11,3,5,GNB 45,3,13,Malik Willis pass complete deep right to Romeo Doubs for 39 yards (tackle by Jaylon Jones),1.030,4.510
4,12:27,1,10,IND 16,3,13,Josh Jacobs right end for 1 yard (tackle by Jaylon Carlies),4.510,4.050
4,11:41,2,9,IND 15,3,13,Malik Willis right end for -1 yards (tackle by Kwity Paye and Kenny Moore),4.050,3.080
