Quarter,Time,Down,ToGo,Location,NYJ,TEN,Detail,EPB,EPA
2,1:47,,,TEN 15,7,7,Greg Zuerlein kicks extra point good,0.000,0.000
2,1:47,,,NYJ 35,7,7,Greg Zuerlein kicks off 61 yards returned by Tyjae Spears for 22 yards (tackle by Jarrick Bernard-Converse),0.000,0.670
2,1:43,1,10,TEN 26,7,7,Tyjae Spears left tackle for 2 yards (tackle by Quincy Williams),0.670,0.400
2,1:16,2,8,TEN 28,7,7,Will Levis pass complete short left to Tyjae Spears for 5 yards (tackle by Javon Kinlaw),0.400,0.370
2,1:03,,,,,,Timeout #2 by New York Jets,,
2,1:03,3,3,TEN 33,7,7,Will Levis pass complete deep right to Tony Pollard for 22 yards (tackle by Quincy Williams). Penalty on Chuck Clark: Unnecessary Roughness / Defense 15 yards (accepted),0.370,3.580
2,0:57,1,10,NYJ 30,7,7,Will Levis pass complete short middle to DeAndre Hopkins for 9 yards (tackle by Isaiah Oliver),3.580,4.250
2,0:39,,,,,,Timeout #1 by Tennessee Titans,,
2,0:39,2,1,NYJ 21,7,7,Tyjae Spears up the middle for 4 yards (tackle by Quinnen Williams),4.250,4.440
2,0:22,1,10,NYJ 17,7,7,Will Levis sacked by Solomon Thomas for -8 yards,4.440,2.810
2,0:17,,,,,,Timeout #2 by Tennessee Titans,,
2,0:17,2,18,NYJ 25,7,7,Tyjae Spears left guard for 2 yards (tackle by Jamien Sherwood),2.810,2.410
2,0:03,,,,,,Timeout #3 by Tennessee Titans,,
2,0:03,3,16,NYJ 23,7,10,Nick Folk 41 yard field goal good,2.410,3.000
3,15:00,,,TEN 35,7,10,Nick Folk kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYJ 30,7,10,Breece Hall left tackle for no gain (tackle by Arden Key and Quandre Diggs),0.940,0.390
3,14:12,2,10,NYJ 30,7,10,Penalty on NYJ: Delay of Game 5 yards (accepted) (no play),0.390,-0.280
3,13:52,2,15,NYJ 25,7,10,Aaron Rodgers pass incomplete short right intended for Braelon Allen,-0.280,-0.960
3,13:47,3,15,NYJ 25,7,10,Aaron Rodgers pass incomplete deep middle intended for Mike Williams. Penalty on Jeffery Simmons: Roughing the Passer 15 yards (accepted) (no play),-0.960,1.600
3,13:41,1,10,NYJ 40,7,10,Breece Hall right end for 30 yards (tackle by Quandre Diggs),1.600,3.580
3,12:59,1,10,TEN 30,7,10,Braelon Allen right guard for 4 yards (tackle by Sebastian Joseph-Day),3.580,3.570
3,12:13,,,,,,Timeout #1 by New York Jets,,
3,12:13,2,6,TEN 26,13,10,Aaron Rodgers pass complete deep right to Breece Hall for 26 yards touchdown,3.570,7.000
3,12:08,,,TEN 15,14,10,Greg Zuerlein kicks extra point good,0.000,0.000
3,12:08,,,NYJ 35,14,10,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
3,12:08,1,10,TEN 30,14,10,Tony Pollard left tackle for -1 yards (tackle by Jermaine Johnson and Micheal Clemons),0.940,0.260
3,11:24,2,11,TEN 29,14,10,Will Levis pass complete short left to Nick Vannett for no gain (tackle by Michael Carter). Penalty on Dillon Radunz: Offensive Holding 10 yards (accepted) (no play),0.260,-1.150
3,10:59,2,21,TEN 19,14,10,Will Levis pass complete short right to Tony Pollard for 2 yards (tackle by Quincy Williams),-1.150,-1.480
3,10:25,3,19,TEN 21,14,10,Will Levis pass complete short right to Chigoziem Okonkwo for 8 yards (tackle by Jamien Sherwood),-1.480,-1.440
3,9:53,4,11,TEN 29,14,10,Penalty on Darrell Baker: False Start 5 yards (accepted) (no play),-1.440,-1.770
3,9:39,4,16,TEN 24,14,10,Ryan Stonehouse punts 63 yards returned by Xavier Gipson for 19 yards (tackle by Luke Gifford and Jack Gibbens),-1.770,-1.070
3,9:26,1,10,NYJ 32,14,10,Aaron Rodgers pass incomplete short right intended for Jeremy Ruckert,1.070,0.530
3,9:23,2,10,NYJ 32,14,10,Aaron Rodgers pass incomplete short right intended for Tyler Conklin (defended by Harold Landry),0.530,-0.160
3,9:21,3,10,NYJ 32,14,10,Aaron Rodgers sacked by Harold Landry for -7 yards,-0.160,-1.700
3,8:44,4,17,NYJ 25,14,10,Thomas Morstead punts 49 yards returned by Jha'Quan Jackson for 12 yards (tackle by Jamien Sherwood),-1.700,-1.470
3,8:31,1,10,TEN 38,14,10,Will Levis pass incomplete short left,1.470,0.920
3,8:27,2,10,TEN 38,14,10,Will Levis pass incomplete short middle intended for Tyler Boyd (defended by Jamien Sherwood),0.920,0.230
3,8:24,3,10,TEN 38,14,10,Will Levis pass incomplete deep right intended for Calvin Ridley,0.230,-0.850
3,8:19,4,10,TEN 38,14,10,Ryan Stonehouse punts blocked by Irvin Charles,-0.850,-3.580
3,8:15,1,10,TEN 30,14,10,Breece Hall right end for 3 yards (tackle by Amani Hooker and Harold Landry),3.580,3.440
3,7:33,2,7,TEN 27,14,10,Breece Hall up the middle for 8 yards (tackle by Kenneth Murray),3.440,4.310
3,6:48,1,10,TEN 19,14,10,Breece Hall left tackle for 4 yards (tackle by Ernest Jones and Sebastian Joseph-Day),4.310,4.350
3,6:12,2,6,TEN 15,14,10,Aaron Rodgers pass incomplete short right intended for Allen Lazard,4.350,3.580
3,6:06,3,6,TEN 15,14,10,Aaron Rodgers pass incomplete short right intended for Jeremy Ruckert,3.580,2.470
3,6:01,4,6,TEN 15,17,10,Greg Zuerlein 33 yard field goal good,2.470,3.000
3,5:58,,,NYJ 35,17,10,Greg Zuerlein kicks off 66 yards returned by Jha'Quan Jackson for 30 yards (tackle by Chazz Surratt),0.000,0.870
3,5:53,1,10,TEN 29,17,10,Tony Pollard left guard for 5 yards (tackle by Tony Adams),0.870,1.000
3,5:18,2,5,TEN 34,17,10,Tony Pollard right tackle for 4 yards (tackle by Javon Kinlaw and Quincy Williams),1.000,0.830
3,4:42,3,1,TEN 38,17,10,Will Levis scrambles left guard for 21 yards (tackle by Chuck Clark),0.830,2.850
3,4:09,1,10,NYJ 41,17,10,Tony Pollard up the middle for 1 yard (tackle by Quincy Williams),2.850,2.440
3,3:28,2,9,NYJ 40,17,16,Will Levis pass complete deep right to Calvin Ridley for 40 yards touchdown,2.440,7.000
3,3:22,,,NYJ 15,17,17,Nick Folk kicks extra point good,0.000,0.000
3,3:22,,,TEN 35,17,17,Nick Folk kicks off 68 yards returned by Xavier Gipson for 33 yards (tackle by Mike Brown and Luke Gifford),0.000,0.940
3,3:16,1,10,NYJ 30,17,17,Braelon Allen right guard for no gain (tackle by Jeffery Simmons and Arden Key),0.940,0.390
3,2:36,2,10,NYJ 30,17,17,Aaron Rodgers pass complete short right to Garrett Wilson for 9 yards (tackle by L'Jarius Sneed),0.390,0.890
3,1:55,3,1,NYJ 39,17,17,Braelon Allen right guard for 2 yards (tackle by Amani Hooker),0.890,1.660
3,1:16,1,10,NYJ 41,17,17,Braelon Allen right tackle for -1 yards (tackle by Ernest Jones),1.660,0.990
3,0:30,2,11,NYJ 40,17,17,Aaron Rodgers pass incomplete short middle intended for Garrett Wilson,0.990,0.300
3,0:25,3,11,NYJ 40,17,17,Aaron Rodgers pass complete short right to Breece Hall for no gain (tackle by Ernest Jones and Kenneth Murray),0.300,-0.720
4,15:00,4,11,NYJ 40,17,17,Thomas Morstead punts 53 yards returned by Jha'Quan Jackson for 18 yards (tackle by Jamien Sherwood),-0.720,-0.610
4,14:47,1,10,TEN 25,17,17,Will Levis pass complete short right to Chigoziem Okonkwo for 1 yard (tackle by Michael Carter and Tony Adams),0.610,0.200
4,14:08,2,9,TEN 26,17,17,Tony Pollard left tackle for 6 yards (tackle by Chuck Clark),0.200,0.300
4,13:29,3,3,TEN 32,17,17,Tony Pollard right end for 1 yard (tackle by Tony Adams and Isaiah Oliver),0.300,-1.180
4,13:07,4,2,TEN 33,17,17,Ryan Stonehouse punts 59 yards returned by Xavier Gipson for 8 yards (tackle by Darrell Baker),-1.180,0.140
4,12:59,1,10,NYJ 16,17,17,Breece Hall up the middle for 8 yards (tackle by Quandre Diggs),-0.140,0.550
4,12:26,2,2,NYJ 24,17,17,Garrett Wilson right end for 5 yards (tackle by Chidobe Awuzie),0.550,0.870
4,11:44,1,10,NYJ 29,17,17,Breece Hall left end for 6 yards (tackle by Quandre Diggs),0.870,1.140
4,11:05,2,4,NYJ 35,17,17,Braelon Allen left guard for 2 yards (tackle by Jeffery Simmons),1.140,0.700
4,10:22,3,2,NYJ 37,17,17,Aaron Rodgers pass incomplete deep right intended for Allen Lazard,0.700,-0.910
4,10:17,4,2,NYJ 37,17,17,Thomas Morstead punts 48 yards fair catch by Jha'Quan Jackson at TEN-15,-0.910,0.220
4,10:09,1,10,TEN 15,17,17,Tony Pollard right end for 2 yards (tackle by Quincy Williams),-0.220,-0.440
4,9:33,2,8,TEN 17,17,17,Will Levis pass complete short left to Tony Pollard for 2 yards (tackle by Michael Carter and Jamien Sherwood),-0.440,-0.880
4,8:53,3,6,TEN 19,17,17,Will Levis pass incomplete short right intended for Tyler Boyd (defended by Tony Adams),-0.880,-2.140
4,8:48,4,6,TEN 19,17,17,Ryan Stonehouse punts 55 yards fair catch by Xavier Gipson at NYJ-26,-2.140,-0.670
4,8:41,1,10,NYJ 26,17,17,Aaron Rodgers pass complete short right to Breece Hall for 6 yards (tackle by Jarvis Brownlee),0.670,0.940
4,7:56,2,4,NYJ 32,17,17,Aaron Rodgers pass complete short left to Allen Lazard for 3 yards (tackle by Roger McCreary),0.940,0.630
4,7:11,3,1,NYJ 35,17,17,Aaron Rodgers pass complete deep right to Garrett Wilson for 26 yards (tackle by L'Jarius Sneed),0.630,2.980
4,6:31,1,10,TEN 39,17,17,Breece Hall left end for -6 yards (tackle by Roger McCreary),2.980,1.630
4,5:44,,,,,,Timeout #2 by New York Jets,,
4,5:44,2,16,TEN 45,17,17,Aaron Rodgers pass complete deep left to Mike Williams for 19 yards (tackle by Chidobe Awuzie),1.630,3.840
4,5:21,1,10,TEN 26,17,17,Aaron Rodgers pass complete short right to Breece Hall for 6 yards (tackle by Ernest Jones and Kenneth Murray),3.840,4.110
4,4:36,2,4,TEN 20,23,17,Braelon Allen right tackle for 20 yards touchdown,4.110,7.000
4,4:31,,,TEN 15,24,17,Greg Zuerlein kicks extra point good,0.000,0.000
4,4:31,,,NYJ 35,24,17,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
4,4:31,1,10,TEN 30,24,17,Will Levis pass complete short left to Calvin Ridley for 6 yards (tackle by Brandin Echols),0.940,1.200
4,4:27,2,4,TEN 36,24,17,Will Levis pass complete short left to Tony Pollard for 3 yards (tackle by Quincy Williams),1.200,0.890
4,4:02,3,1,TEN 39,24,17,Will Levis up the middle for 2 yards (tackle by Quinnen Williams),0.890,1.660
4,3:31,1,10,TEN 41,24,17,Will Levis pass incomplete deep left intended for Calvin Ridley,1.660,1.120
4,3:25,2,10,TEN 41,24,17,Tony Pollard left end for 4 yards (tackle by Braiden McGregor),1.120,0.960
4,2:45,3,6,TEN 45,24,17,Will Levis pass complete deep right to Calvin Ridley for 16 yards,0.960,2.980
4,2:38,1,10,NYJ 39,24,17,Tony Pollard up the middle for 10 yards (tackle by Chuck Clark and Solomon Thomas),2.980,3.640
4,2:00,1,10,NYJ 29,24,17,Tony Pollard up the middle for 6 yards (tackle by Jamien Sherwood),3.640,3.910
4,1:31,2,4,NYJ 23,24,17,Will Levis scrambles up the middle for 13 yards (tackle by Sauce Gardner),3.910,4.910
4,0:46,1,10,NYJ 10,24,17,Will Levis scrambles left tackle for 2 yards (tackle by Brandin Echols),4.910,4.570
4,0:35,,,,,,Timeout #1 by Tennessee Titans,,
4,0:35,2,8,NYJ 8,24,17,Will Levis pass incomplete short left intended for DeAndre Hopkins,4.570,3.580
4,0:29,3,8,NYJ 8,24,17,Will Levis sacked by Will McDonald for -6 yards,3.580,2.510
4,0:23,,,,,,Timeout #2 by Tennessee Titans,,
4,0:23,4,14,NYJ 14,24,17,Will Levis pass incomplete short middle intended for Tyler Boyd (defended by Tony Adams),2.510,0.280
4,0:17,1,10,NYJ 14,24,17,Aaron Rodgers kneels for -1 yards,-0.280,-0.850
