Quarter,Time,Down,ToGo,Location,LVR,BAL,Detail,EPB,EPA
3,11:45,2,8,LVR 8,6,15,Lamar Jackson pass complete short middle to Zay Flowers for 8 yards touchdown,4.570,7.000
3,11:42,,,LVR 15,6,16,Justin Tucker kicks extra point good,0.000,0.000
3,11:42,,,BAL 35,6,16,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,11:42,1,10,LVR 30,6,16,Gardner Minshew pass complete short left to Zamir White for 11 yards (tackle by Marcus Williams),0.940,1.660
3,11:03,1,10,LVR 41,6,16,Zamir White up the middle for 1 yard (tackle by Kyle Hamilton),1.660,1.260
3,10:24,2,9,LVR 42,6,16,Gardner Minshew pass complete deep left to Brock Bowers for 25 yards (tackle by Marcus Williams),1.260,3.380
3,9:43,1,10,BAL 33,6,16,Zamir White right end for no gain (tackle by Odafe Oweh and Roquan Smith),3.380,2.840
3,9:03,2,10,BAL 33,6,16,Alexander Mattison right end for -1 yards (tackle by Nnamdi Madubuike),2.840,2.010
3,8:24,3,11,BAL 34,6,16,Gardner Minshew pass complete short middle to Jakobi Meyers for 9 yards (tackle by Kyle Hamilton),2.010,1.930
3,7:41,4,2,BAL 25,6,16,Gardner Minshew pass incomplete deep left intended for Davante Adams (defended by Brandon Stephens),1.930,-0.610
3,7:36,1,10,BAL 25,6,16,Lamar Jackson pass complete short middle to Rashod Bateman for 15 yards (tackle by Jakorian Bennett),0.610,1.600
3,6:53,1,10,BAL 40,6,16,Derrick Henry left end for 4 yards (tackle by Robert Spillane),1.600,1.590
3,6:11,2,6,BAL 44,6,16,Lamar Jackson pass short right (defended by Jakorian Bennett) intended for Rashod Bateman is intercepted by Robert Spillane at BAL-46 and returned for no gain (tackle by Rashod Bateman),1.590,-2.520
3,6:08,1,10,BAL 46,6,16,Ameer Abdullah left tackle for 4 yards (tackle by Roquan Smith and Trenton Simpson),2.520,2.520
3,5:29,2,6,BAL 42,6,16,Gardner Minshew pass complete short right to Brock Bowers for -1 yards (tackle by Kyle Van Noy and Kyle Hamilton),2.520,1.680
3,4:52,3,7,BAL 43,6,16,Gardner Minshew pass complete short right to Jakobi Meyers for 13 yards (tackle by Marlon Humphrey),1.680,3.580
3,4:14,1,10,BAL 30,6,16,Gardner Minshew pass incomplete short right intended for Zamir White (defended by Roquan Smith),3.580,3.030
3,4:05,2,10,BAL 30,6,16,Gardner Minshew pass complete short right to Davante Adams for 2 yards (tackle by Marlon Humphrey),3.030,2.610
3,3:21,3,8,BAL 28,6,16,Gardner Minshew pass complete deep middle to Brock Bowers for 27 yards (tackle by Marcus Williams and Roquan Smith),2.610,6.970
3,2:40,1,1,BAL 1,12,16,Alexander Mattison up the middle for 1 yard touchdown,6.970,7.000
3,2:36,,,BAL 15,13,16,Daniel Carlson kicks extra point good,0.000,0.000
3,2:36,,,LVR 35,13,16,Daniel Carlson kicks off 65 yards returned by John Kelly for 24 yards (tackle by Ameer Abdullah and DJ Turner),0.000,0.540
3,2:31,1,10,BAL 24,13,16,Derrick Henry up the middle for 4 yards (tackle by Luke Masterson),0.540,0.540
3,1:51,2,6,BAL 28,13,16,Lamar Jackson sacked by Robert Spillane for no gain. Penalty on Jack Jones: Defensive Holding 5 yards (accepted) (no play),0.540,1.140
3,1:19,1,10,BAL 33,13,16,Lamar Jackson pass incomplete short right. Penalty on Andrew Vorhees: Offensive Holding 10 yards (accepted) (no play),1.140,0.480
3,1:10,1,20,BAL 23,13,16,Lamar Jackson scrambles up the middle for 9 yards (tackle by Robert Spillane),0.480,0.460
3,0:30,2,11,BAL 32,13,16,Lamar Jackson pass complete deep left to Rashod Bateman for 18 yards,0.460,2.260
4,15:00,1,10,LVR 50,13,16,Derrick Henry left end for 2 yards (tackle by Nesta Jade Silvera),2.260,1.980
4,14:18,2,8,LVR 48,13,16,Lamar Jackson pass complete short left to Isaiah Likely for 15 yards (tackle by Divine Deablo and Jack Jones),1.980,3.380
4,13:43,1,10,LVR 33,13,16,Derrick Henry right guard for 9 yards (tackle by Robert Spillane),3.380,4.050
4,13:04,2,1,LVR 24,13,16,Penalty on Derrick Henry: False Start 5 yards (accepted) (no play),4.050,3.380
4,13:04,2,6,LVR 29,13,16,Derrick Henry left end for 17 yards (tackle by Christian Wilkins). Penalty on Tre'von Moehrig: Unnecessary Roughness / Defense 6 yards (accepted),3.380,5.830
4,12:58,1,6,LVR 6,13,16,Derrick Henry left end for 3 yards (tackle by Christian Wilkins and John Jenkins),5.830,5.530
4,12:17,2,3,LVR 3,13,22,Derrick Henry up the middle for 3 yards touchdown,5.530,7.000
4,12:11,,,LVR 15,13,23,Justin Tucker kicks extra point good,0.000,0.000
4,12:11,,,BAL 35,13,23,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
4,12:11,1,10,LVR 30,13,23,Gardner Minshew sacked by Nnamdi Madubuike for no gain. Penalty on Nnamdi Madubuike: Face Mask (15 Yards) 15 yards (accepted) (no play),0.940,1.930
4,11:44,1,10,LVR 45,13,23,Odafe Oweh for -10 yards and Michael Pierce for -10 yards,1.930,0.030
4,11:00,2,20,LVR 35,13,23,Gardner Minshew pass complete deep middle to Davante Adams for 26 yards (tackle by Roquan Smith and Brandon Stephens),0.030,2.980
4,10:33,1,10,BAL 39,13,23,Gardner Minshew pass complete deep left to Davante Adams for 30 yards BAL challenged the pass completion ruling and the play was upheld.,2.980,5.140
4,10:14,1,9,BAL 9,13,23,Gardner Minshew pass incomplete short middle intended for Jakobi Meyers,5.140,4.380
4,10:11,2,9,BAL 9,13,23,Alexander Mattison up the middle for 3 yards (tackle by Broderick Washington and Roquan Smith),4.380,4.040
4,9:31,3,6,BAL 6,13,23,Gardner Minshew pass incomplete short right,4.040,2.990
4,9:24,4,6,BAL 6,16,23,Daniel Carlson 25 yard field goal good,2.990,3.000
4,9:21,,,LVR 35,16,23,Daniel Carlson kicks off 67 yards returned by John Kelly for 22 yards (tackle by Christopher Smith and Luke Masterson),0.000,0.280
4,9:15,1,10,BAL 20,16,23,Derrick Henry right tackle for 5 yards (tackle by John Jenkins),0.280,0.410
4,8:44,2,5,BAL 25,16,23,Lamar Jackson right end for no gain (tackle by Jack Jones),0.410,-0.300
4,8:05,3,5,BAL 25,16,23,Penalty on Jonah Laulu: Neutral Zone Infraction 4 yards (accepted) (no play),-0.300,0.230
4,7:46,3,1,BAL 29,16,23,Penalty on Derrick Henry: False Start 4 yards (accepted) (no play),0.230,-0.300
4,7:46,3,5,BAL 25,16,23,Lamar Jackson pass incomplete short middle intended for Zay Flowers (defended by Robert Spillane),-0.300,-1.700
4,7:44,4,5,BAL 25,16,23,Jordan Stout punts 45 yards returned by Tre Tucker for no gain (tackle by Jalyn Armour-Davis),-1.700,-0.940
4,7:36,1,10,LVR 30,16,23,Gardner Minshew pass complete deep left to Davante Adams for 29 yards (tackle by Brandon Stephens),0.940,2.850
4,7:01,1,10,BAL 41,16,23,Gardner Minshew pass complete short right to Zamir White for 1 yard (tackle by Marlon Humphrey),2.850,2.440
4,6:22,2,9,BAL 40,16,23,Gardner Minshew pass complete short left to Brock Bowers for 15 yards (tackle by Eddie Jackson),2.440,3.910
4,5:54,1,10,BAL 25,16,23,Gardner Minshew pass complete short middle to Brock Bowers for 5 yards (tackle by Trenton Simpson),3.910,4.040
4,5:21,2,5,BAL 20,16,23,Gardner Minshew pass incomplete short middle intended for Davante Adams,4.040,3.340
4,5:18,3,5,BAL 20,16,23,Gardner Minshew pass complete short right to Brock Bowers for 11 yards (tackle by Trenton Simpson),3.340,5.140
4,4:41,1,9,BAL 9,16,23,Gardner Minshew pass incomplete short left intended for Davante Adams,5.140,4.380
4,4:36,2,9,BAL 9,16,23,Gardner Minshew sacked by Kyle Van Noy for -8 yards,4.380,2.740
4,4:03,3,17,BAL 17,16,23,Gardner Minshew pass incomplete deep left intended for Davante Adams. Penalty on Brandon Stephens: Defensive Pass Interference 16 yards (accepted) (no play),2.740,6.970
4,3:57,1,1,BAL 1,22,23,Gardner Minshew pass complete short middle to Davante Adams for 1 yard touchdown,6.970,7.000
4,3:54,,,BAL 15,23,23,Daniel Carlson kicks extra point good,0.000,0.000
4,3:54,,,LVR 35,23,23,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,3:54,1,10,BAL 30,23,23,Lamar Jackson sacked by Maxx Crosby for -9 yards,0.940,-0.820
4,3:13,2,19,BAL 21,23,23,Justice Hill left tackle for no gain (tackle by Robert Spillane and Tre'von Moehrig),-0.820,-1.480
4,2:34,3,19,BAL 21,23,23,Lamar Jackson pass complete short left to Justice Hill for 3 yards (tackle by Isaiah Pola-Mao),-1.480,-1.770
4,2:27,4,16,BAL 24,23,23,Jordan Stout punts 24 yards out of bounds. Penalty on Ka'dar Hollman: Player Out of Bounds on Kick 5 yards (accepted),-1.770,-2.720
4,2:21,1,10,BAL 43,23,23,Zamir White right tackle for 8 yards (tackle by Marlon Humphrey and Eddie Jackson),2.720,3.260
4,2:15,,,,,,Timeout #2 by Baltimore Ravens,,
4,2:15,2,2,BAL 35,23,23,Gardner Minshew pass complete short left to Jakobi Meyers for 8 yards (tackle by Marlon Humphrey),3.260,3.780
4,2:00,1,10,BAL 27,23,23,Zamir White right guard for 1 yard (tackle by Malik Harrison and Trenton Simpson),3.780,3.370
4,1:57,,,,,,Timeout #3 by Baltimore Ravens,,
4,1:57,2,9,BAL 26,23,23,Zamir White left guard for 4 yards (tackle by Kyle Hamilton and Roquan Smith),3.370,3.200
4,1:15,3,5,BAL 22,23,23,Zamir White right guard for 2 yards (tackle by Brent Urban),3.200,2.250
4,0:31,,,,,,Timeout #1 by Las Vegas Raiders,,
4,0:31,4,2,BAL 20,26,23,Daniel Carlson 38 yard field goal good,2.250,3.000
4,0:27,,,LVR 35,26,23,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,0:27,1,10,BAL 30,26,23,Lamar Jackson pass complete short middle to Mark Andrews for 11 yards (tackle by Tre'von Moehrig),0.940,1.660
4,0:15,1,10,BAL 41,26,23,Lamar Jackson spiked the ball,1.660,1.120
4,0:14,2,10,BAL 41,26,23,Lamar Jackson pass incomplete short left,1.120,0.430
4,0:07,,,,,,Timeout #2 by Las Vegas Raiders,,
4,0:07,3,10,BAL 41,26,23,Lamar Jackson pass incomplete deep right intended for Isaiah Likely (defended by Jack Jones),0.430,-0.650
4,0:01,,,,,,Timeout #3 by Las Vegas Raiders,,
4,0:01,4,10,BAL 41,26,23,Lamar Jackson up the middle for 25 yards lateral to Justice Hill for 5 yards. Penalty on Justice Hill: Illegal Forward Pass (accepted),-0.650,3.640
