Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA
2,0:22,1,10,WAS 13,6,9,Daniel Jones up the middle for 9 yards (tackle by Bobby Wagner),4.710,5.730
2,0:17,,,,,,Timeout #2 by New York Giants,,
2,0:17,2,1,WAS 4,6,9,Daniel Jones pass incomplete short right intended for Malik Nabers,5.730,5.010
2,0:12,3,1,WAS 4,12,9,Daniel Jones pass complete short middle to Malik Nabers for 4 yards touchdown,5.010,7.000
2,0:08,,,,,,Timeout #3 by Washington Commanders,,
2,0:08,,,WAS 2,12,9,Two Point Attempt: Daniel Jones pass complete to intended for Darius Slayton,1.000,-1.000
2,0:08,,,NYG 35,12,9,Jamie Gillan kicks off 65 yards touchback.,0.000,0.940
2,0:08,1,10,WAS 30,12,9,Jayden Daniels kneels for -1 yards,0.940,0.260
3,15:00,,,WAS 35,12,9,Austin Seibert kicks off 59 yards returned by Eric Gray for 20 yards (tackle by Tyler Owens and Colson Yankoff),0.000,0.670
3,14:56,1,10,NYG 26,12,9,Daniel Jones pass complete deep left to Darius Slayton for 19 yards (tackle by Benjamin St-Juste),0.670,1.930
3,14:17,1,10,NYG 45,12,9,Devin Singletary left tackle for 11 yards (tackle by Mike Sainristil),1.930,2.650
3,13:39,1,10,WAS 44,12,9,Daniel Jones sacked by Clelin Ferrell for -3 yards,2.650,1.710
3,12:58,2,13,WAS 47,12,9,Devin Singletary left tackle for 12 yards. Devin Singletary fumbles (forced by Benjamin St-Juste) (tackle by Jeremy Chinn and Benjamin St-Juste) recovered by Jeremy Chinn at WAS-35 (tackle by Jeremy Chinn),1.710,-1.270
3,12:49,1,10,WAS 35,12,9,Jayden Daniels pass complete short middle to Terry McLaurin for no gain. Penalty on Nick Allegretti: Ineligible Downfield Pass 5 yards (accepted) (no play),1.270,0.940
3,12:30,1,15,WAS 30,12,9,Brian Robinson left tackle for 2 yards (tackle by Bobby Okereke),0.940,0.250
3,11:51,2,14,WAS 32,12,9,Jayden Daniels pass complete short left to Terry McLaurin for 5 yards (tackle by Micah McFadden),0.250,0.300
3,11:21,3,8,WAS 37,12,9,Jayden Daniels pass complete short right to Zach Ertz for 20 yards (tackle by Adoree' Jackson),0.300,2.720
3,10:36,1,10,NYG 43,12,9,Jayden Daniels pass complete short middle to Zach Ertz for 14 yards (tackle by Jason Pinnock). Penalty on Jason Pinnock: Defensive Holding 5 yards (declined),2.720,3.640
3,10:11,1,10,NYG 29,12,9,Brian Robinson up the middle for 18 yards (tackle by Jason Pinnock),3.640,4.840
3,9:31,1,10,NYG 11,12,9,Brian Robinson right guard for 2 yards (tackle by Micah McFadden and Andru Phillips),4.840,4.510
3,8:50,2,8,NYG 9,12,9,Jayden Daniels sacked by Micah McFadden for no gain,4.510,3.530
3,8:06,3,8,NYG 9,12,9,Jayden Daniels pass incomplete short left intended for Dyami Brown,3.530,2.830
3,8:01,4,8,NYG 9,12,12,Austin Seibert 27 yard field goal good,2.830,3.000
3,7:58,,,WAS 35,12,12,Austin Seibert kicks off 58 yards returned by Eric Gray for 27 yards (tackle by Percy Butler),0.000,1.200
3,7:53,1,10,NYG 34,12,12,Daniel Jones pass incomplete short left intended for Malik Nabers,1.200,0.660
3,7:50,2,10,NYG 34,12,12,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson (defended by Bobby Wagner),0.660,-0.030
3,7:45,3,10,NYG 34,12,12,Daniel Jones pass incomplete deep middle intended for Darius Slayton (defended by Benjamin St-Juste),-0.030,-1.110
3,7:40,4,10,NYG 34,12,12,Jamie Gillan punts 60 yards returned by Olamide Zaccheaus for 24 yards (tackle by Chris Manhertz),-1.110,-0.940
3,7:25,1,10,WAS 30,12,12,Jayden Daniels pass complete short right to Terry McLaurin for -3 yards (tackle by Bobby Okereke),0.940,-0.010
3,6:42,2,13,WAS 27,12,12,Jayden Daniels pass complete short left to Terry McLaurin for 12 yards NYG challenged the pass completion ruling and the play was upheld.,-0.010,0.890
3,6:32,3,1,WAS 39,12,12,Brian Robinson up the middle for 40 yards (tackle by Jason Pinnock),0.890,4.170
3,5:41,1,10,NYG 21,12,12,Austin Ekeler right end for 6 yards (tackle by Rakeem Nunez-Roches),4.170,4.550
3,5:06,2,4,NYG 15,12,12,Austin Ekeler left guard for 7 yards (tackle by Micah McFadden and Tyler Nubin),4.550,5.370
3,4:26,1,8,NYG 8,12,12,Austin Ekeler left end for 4 yards (tackle by Dexter Lawrence),5.370,5.340
3,4:01,2,4,NYG 4,12,12,Penalty on Nick Allegretti: False Start 5 yards (accepted) (no play),5.340,4.380
3,3:40,2,9,NYG 9,12,12,Brian Robinson right end for -2 yards (tackle by Kayvon Thibodeaux and Bobby Okereke),4.380,3.120
3,2:55,3,11,NYG 11,12,12,Jayden Daniels pass incomplete short right intended for Dyami Brown (defended by Adoree' Jackson). Penalty on Samuel Cosmi: Offensive Holding 10 yards (declined),3.120,2.700
3,2:49,4,11,NYG 11,12,15,Austin Seibert 29 yard field goal good,2.700,3.000
3,2:47,,,WAS 35,12,15,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
3,2:47,1,10,NYG 30,12,15,Devin Singletary up the middle for 1 yard (tackle by Bobby Wagner),0.940,0.530
3,2:14,2,9,NYG 31,12,15,Daniel Jones pass complete short left to Malik Nabers for 13 yards (tackle by Benjamin St-Juste),0.530,1.860
3,1:38,1,10,NYG 44,12,15,Daniel Jones pass incomplete deep left intended for Malik Nabers,1.860,1.320
3,1:32,2,10,NYG 44,12,15,Devin Singletary left tackle for 18 yards (tackle by Benjamin St-Juste and Dante Fowler),1.320,3.050
3,0:47,1,10,WAS 38,12,15,Devin Singletary right tackle for 4 yards (tackle by Frankie Luvu),3.050,3.050
3,0:07,2,6,WAS 34,12,15,Devin Singletary left tackle for no gain (tackle by Mike Sainristil and Bobby Wagner),3.050,2.340
4,15:00,3,6,WAS 34,12,15,Penalty on Darius Slayton: False Start 5 yards (accepted) (no play),2.340,1.680
4,15:00,3,11,WAS 39,12,15,Daniel Jones pass complete short middle to Malik Nabers for 8 yards (tackle by Mike Sainristil and Bobby Wagner),1.680,1.380
4,14:27,4,3,WAS 31,12,15,Daniel Jones pass complete short right to Malik Nabers for 4 yards (tackle by Noah Igbinoghene),1.380,3.780
4,13:50,1,10,WAS 27,12,15,Daniel Jones right end for 5 yards (tackle by Noah Igbinoghene),3.780,3.910
4,13:12,2,5,WAS 22,12,15,Devin Singletary right tackle for 3 yards (tackle by Phidarian Mathis and Javontae Jean-Baptiste),3.910,3.640
