Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
2,2:00,2,8,JAX 25,10,3,Pierre Strong right end for -5 yards (tackle by Roy Robertson-Harris),3.500,2.150
2,1:19,3,13,JAX 30,10,3,Deshaun Watson pass complete short right to Pierre Strong for 10 yards (tackle by Tre Flowers and Deantre Prince),2.150,2.220
2,0:31,,,,,,Timeout #2 by Cleveland Browns,,
2,0:31,4,3,JAX 20,13,3,Dustin Hopkins 38 yard field goal good,2.220,3.000
2,0:27,,,CLE 35,13,3,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
2,0:27,1,10,JAX 30,13,3,Trevor Lawrence pass complete short left to Travis Etienne for no gain (tackle by Myles Garrett and Alex Wright),0.940,0.390
3,15:00,,,JAX 35,13,3,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CLE 30,13,3,Deshaun Watson pass incomplete short left intended for Pierre Strong,0.940,0.390
3,14:53,2,10,CLE 30,13,3,Deshaun Watson pass incomplete short right,0.390,-0.300
3,14:46,3,10,CLE 30,13,3,Deshaun Watson pass complete short left to David Bell for 6 yards (tackle by Arik Armstead),-0.300,-0.980
3,14:26,4,4,CLE 36,13,3,Corey Bojorquez punts 64 yards touchback.,-0.980,-0.280
3,14:16,1,10,JAX 20,13,3,Travis Etienne up the middle for -2 yards (tackle by Jeremiah Owusu-Koramoah),0.280,-0.630
3,13:35,2,12,JAX 18,13,3,Trevor Lawrence sacked by Jordan Hicks for -5 yards,-0.630,-2.190
3,12:53,3,17,JAX 13,13,3,Trevor Lawrence pass incomplete short right intended for Parker Washington,-2.190,-2.490
3,12:48,4,17,JAX 13,13,3,Logan Cooke punts 46 yards returned by James Proche for 10 yards (tackle by Daniel Thomas and Chad Muma),-2.490,-2.320
3,12:36,1,10,JAX 49,13,3,D'Onta Foreman up the middle for 2 yards (tackle by Antonio Johnson). Penalty on Joel Bitonio: Offensive Holding 10 yards (accepted),2.320,1.800
3,12:11,1,18,CLE 43,13,3,Deshaun Watson pass incomplete deep left intended for Amari Cooper. Penalty on Montaric Brown: Defensive Pass Interference 17 yards (accepted) (no play),1.800,2.920
3,12:06,1,10,JAX 40,13,3,Deshaun Watson pass complete short middle to Cedric Tillman for 2 yards (tackle by Jarrian Jones). Penalty on Antonio Johnson: Roughing the Passer 14 yards (accepted),2.920,3.970
3,11:36,1,10,JAX 24,13,3,Jerome Ford left end for no gain (tackle by Jeremiah Ledbetter). Penalty on Ethan Pocic: Offensive Holding 10 yards (accepted) (no play),3.970,3.310
3,11:16,1,20,JAX 34,13,3,Deshaun Watson pass incomplete short left intended for Jerry Jeudy,3.310,2.080
3,11:12,2,20,JAX 34,13,3,Deshaun Watson pass incomplete short middle intended for Elijah Moore (defended by Devin Lloyd),2.080,1.420
3,11:07,3,20,JAX 34,13,3,Deshaun Watson pass complete short left to Elijah Moore for 8 yards (tackle by Montaric Brown),1.420,1.740
3,10:25,4,12,JAX 26,16,3,Dustin Hopkins 44 yard field goal good,1.740,3.000
3,10:20,,,CLE 35,16,3,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
3,10:20,1,10,JAX 30,16,3,Trevor Lawrence pass incomplete deep left intended for Brenton Strange,0.940,0.390
