Quarter,Time,Down,ToGo,Location,GNB,CHI,Detail,EPB,EPA
3,6:29,1,10,CHI 22,14,13,Caleb Williams scrambles right end for 3 yards (tackle by Javon Bullard),0.410,0.270
3,6:03,2,7,CHI 25,14,13,Caleb Williams left end for 3 yards (tackle by Carrington Valentine and Evan Williams),0.270,-0.030
3,5:24,3,4,CHI 28,14,13,Caleb Williams pass complete short right to Rome Odunze for 8 yards (tackle by Javon Bullard),-0.030,1.330
3,4:52,1,10,CHI 36,14,13,Roschon Johnson left tackle for 7 yards (tackle by Carrington Valentine),1.330,1.740
3,4:27,2,3,CHI 43,14,13,Roschon Johnson right guard for 5 yards (tackle by Brenton Cox and Keisean Nixon),1.740,2.130
3,3:45,1,10,CHI 48,14,13,Caleb Williams pass incomplete deep middle intended for Keenan Allen (defended by Quay Walker),2.130,1.580
3,3:35,2,10,CHI 48,14,13,Caleb Williams pass complete short left to D'Andre Swift for 8 yards (tackle by Javon Bullard and Carrington Valentine),1.580,1.950
3,2:57,3,2,GNB 44,14,13,D'Andre Swift left guard for 1 yard (tackle by Edgerrin Cooper and Kingsley Enagbare),1.950,0.400
3,2:18,4,1,GNB 43,14,13,Caleb Williams left tackle for 4 yards (tackle by Karl Brooks),0.400,2.980
3,1:30,1,10,GNB 39,14,13,Caleb Williams pass incomplete short right intended for D.J. Moore. Penalty on Rome Odunze: Offensive Pass Interference 10 yards (accepted) (no play),2.980,2.320
3,1:30,1,20,GNB 49,14,13,Caleb Williams pass complete short left to Keenan Allen for 5 yards (tackle by Xavier McKinney),2.320,1.770
3,0:45,2,15,GNB 44,14,13,Penalty on Lukas Van Ness: Neutral Zone Infraction 5 yards (accepted) (no play),1.770,2.440
3,0:39,2,10,GNB 39,14,19,D'Andre Swift left end for 39 yards touchdown,2.440,7.000
3,0:31,,,,,,Timeout #1 by Green Bay Packers,,
3,0:31,,,GNB 2,14,19,Two Point Attempt: Caleb Williams pass incomplete intended for intended for Cole Kmet,1.000,-1.000
