Quarter,Time,Down,ToGo,Location,ATL,DEN,Detail,EPB,EPA
3,12:12,4,3,ATL 38,6,21,Bo Nix pass incomplete short middle intended for Lil'Jordan Humphrey (defended by Jessie Bates) Replay Assistant challenged the fumble ruling and the original play was overturned. Bo Nix pass complete short middle to Lil'Jordan Humphrey for 8 yards. Lil'Jordan Humphrey fumbles (tackle by Natrone Brooks recovered by Lil'Jordan Humphrey at ATL-30,0.720,3.580
3,12:06,1,10,ATL 30,6,21,Javonte Williams right guard for 12 yards (tackle by Kaden Elliss),3.580,4.370
3,11:37,1,10,ATL 18,6,21,Bo Nix right end for 2 yards (tackle by Jessie Bates and Nathan Landman),4.370,4.090
3,10:41,2,8,ATL 16,6,21,Bo Nix pass incomplete deep right intended for Courtland Sutton,4.090,3.300
3,10:33,3,8,ATL 16,6,21,Bo Nix pass complete short left to Devaughn Vele for 11 yards (tackle by Justin Simmons),3.300,6.060
3,9:54,1,5,ATL 5,6,21,Bo Nix pass complete short right to Michael Burton for -2 yards (tackle by Kaden Elliss),6.060,4.760
3,9:09,2,7,ATL 7,6,27,Bo Nix pass complete short right to Troy Franklin for 7 yards touchdown,4.760,7.000
3,9:05,,,ATL 15,6,28,Wil Lutz kicks extra point good,0.000,0.000
3,9:05,,,DEN 35,6,28,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
3,9:05,1,10,ATL 30,6,28,Kirk Cousins pass complete short right to Kyle Pitts for 9 yards (tackle by Devon Key),0.940,1.610
3,8:43,2,1,ATL 39,6,28,Kirk Cousins pass incomplete deep right intended for Kyle Pitts,1.610,0.890
3,8:36,3,1,ATL 39,6,28,Kirk Cousins pass complete short left to KhaDarel Hodge for 18 yards (tackle by Ja'Quan McMillian and Nik Bonitto),0.890,2.720
3,8:05,1,10,DEN 43,6,28,Kirk Cousins pass short left intended for Drake London is intercepted by Cody Barton at DEN-31 and returned for 15 yards (tackle by Drake London),2.720,-1.990
