Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
2,1:26,4,1,JAX 39,3,28,Mac Jones up the middle for 2 yards (tackle by Alim McNeill),-0.780,1.660
2,1:02,1,10,JAX 41,3,28,Mac Jones pass complete short middle to Brian Thomas for 24 yards (tackle by Carlton Davis),1.660,3.250
2,0:46,,,,,,Timeout #1 by Detroit Lions,,
2,0:46,1,10,DET 35,3,28,Penalty on Brian Thomas: False Start 5 yards (accepted) (no play),3.250,2.920
2,0:46,1,15,DET 40,3,28,Mac Jones pass incomplete short right,2.920,2.030
2,0:39,2,15,DET 40,3,28,Mac Jones pass complete short right to Parker Washington for 10 yards (tackle by James Houston),2.030,2.680
2,0:18,3,5,DET 30,3,28,Mac Jones pass complete short right to Evan Engram for 7 yards,2.680,4.040
2,0:13,1,10,DET 23,3,28,Travis Etienne right end for 1 yard (tackle by Kerby Joseph),4.040,3.630
2,0:08,2,9,DET 22,3,28,Mac Jones pass complete short middle to Evan Engram for 5 yards (tackle by Carlton Davis),3.630,3.660
2,0:03,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:03,3,4,DET 17,6,28,Cam Little 35 yard field goal good. Penalty on Alim McNeill: Unnecessary Roughness / Defense 15 yards (accepted),3.660,3.000
3,15:00,,,JAX 50,6,28,Cam Little kicks off 50 yards touchback.,0.000,0.280
3,15:00,1,10,DET 20,6,28,Jared Goff scrambles up the middle for 5 yards (tackle by Devin Lloyd),0.280,0.410
3,14:27,2,5,DET 25,6,28,Jared Goff pass complete short left to Jameson Williams for 5 yards (tackle by Foyesade Oluokun),0.410,0.940
3,13:40,1,10,DET 30,6,28,David Montgomery right tackle for 6 yards (tackle by Andre Cisco),0.940,1.200
3,13:05,2,4,DET 36,6,34,Jared Goff pass complete deep middle to Jameson Williams for 64 yards touchdown,1.200,7.000
3,12:55,,,JAX 15,6,35,Jake Bates kicks extra point good,0.000,0.000
3,12:55,,,DET 35,6,35,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,12:55,1,10,JAX 30,6,35,Mac Jones pass complete short right to Travis Etienne for 1 yard (tackle by Kindle Vildor),0.940,0.530
3,12:23,2,9,JAX 31,6,35,Mac Jones pass incomplete deep right intended for Gabriel Davis,0.530,-0.160
3,12:17,3,9,JAX 31,6,35,Mac Jones pass incomplete short right intended for Parker Washington,-0.160,-1.310
3,12:12,4,9,JAX 31,6,35,Logan Cooke punts 52 yards out of bounds,-1.310,0.060
3,12:05,1,10,DET 17,6,35,Jared Goff pass complete short left to Amon-Ra St. Brown for 26 yards (tackle by Ronald Darby),-0.060,1.800
