Quarter,Time,Down,ToGo,Location,MIN,TEN,Detail,EPB,EPA
3,5:36,2,11,TEN 41,16,10,Sam Darnold pass incomplete deep right intended for Jordan Addison,2.240,1.550
3,5:31,3,11,TEN 41,16,10,Sam Darnold sacked by Jeffery Simmons for no gain. Sam Darnold fumbles (forced by Jeffery Simmons) recovered by Sam Darnold at TEN-49. Penalty on Jarvis Brownlee: Illegal Contact 5 yards (accepted) (no play),1.550,3.180
3,5:12,1,10,TEN 36,16,10,Sam Darnold pass complete short right to Josh Oliver for 21 yards (tackle by Mike Brown and Darrell Baker),3.180,4.580
3,4:46,1,10,TEN 15,16,10,Cam Akers right guard for 2 yards (tackle by Jerome Baker and Kenneth Murray),4.580,4.280
3,4:03,2,8,TEN 13,16,10,Sam Darnold pass complete short left to Justin Jefferson for 10 yards (tackle by Jerome Baker),4.280,6.510
3,3:19,1,3,TEN 3,22,10,Sam Darnold pass complete short right to Cam Akers for 3 yards touchdown,6.510,7.000
3,3:15,,,TEN 15,23,10,John Parker Romo kicks extra point good,0.000,0.000
3,3:15,,,MIN 35,23,10,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
3,3:15,1,10,TEN 30,23,10,Will Levis pass complete deep left to Calvin Ridley for 15 yards (tackle by Byron Murphy),0.940,1.930
3,2:39,1,10,TEN 45,23,10,Will Levis pass complete short right to Tyjae Spears for no gain (tackle by Ivan Pace). Penalty on Isaiah Prince: Illegal Formation 5 yards (accepted) (no play),1.930,1.600
3,2:12,1,15,TEN 40,23,10,Will Levis pass complete short right to Calvin Ridley for 6 yards,1.600,1.520
3,1:35,2,9,TEN 46,23,10,Will Levis pass complete short left to Tyjae Spears for 3 yards (tackle by Camryn Bynum and Byron Murphy),1.520,1.220
3,0:54,3,6,TEN 49,23,10,Will Levis pass complete deep middle to Calvin Ridley for no gain touchdown. Penalty on Isaiah Prince: Illegal Formation 5 yards (accepted) (no play),1.220,0.560
