Quarter,Time,Down,ToGo,Location,CIN,LAC,Detail,EPB,EPA
2,4:09,2,5,CIN 35,6,21,Joe Burrow pass complete short left to Ja'Marr Chase for 2 yards (tackle by Denzel Perryman),1.070,0.630
2,3:25,3,3,CIN 37,6,21,Joe Burrow sacked by Poona Ford for -7 yards,0.630,-1.370
2,2:44,4,10,CIN 30,6,21,Ryan Rehkow punts 52 yards returned by Derius Davis for 3 yards (tackle by Tycen Anderson),-1.370,-0.340
2,2:33,1,10,LAC 21,6,21,J.K. Dobbins left guard for 3 yards (tackle by Trey Hendrickson),0.340,0.210
2,2:01,2,7,LAC 24,6,21,Justin Herbert pass complete short right to Ladd McConkey for 11 yards (tackle by Geno Stone),0.210,1.270
2,1:56,1,10,LAC 35,6,21,Justin Herbert pass complete short right to Josh Palmer for 11 yards (tackle by Josh Newton),1.270,1.990
2,1:51,1,10,LAC 46,6,21,Justin Herbert pass incomplete short right,1.990,1.450
2,1:46,2,10,LAC 46,6,21,J.K. Dobbins right guard for 2 yards (tackle by Germaine Pratt),1.450,1.030
2,1:04,3,8,LAC 48,6,21,Justin Herbert scrambles left end for 9 yards (tackle by Geno Stone),1.030,2.720
2,0:57,1,10,CIN 43,6,21,Justin Herbert right guard for -1 yards (tackle by Mike Hilton and Joseph Ossai),2.720,2.040
2,0:33,2,11,CIN 44,6,21,Justin Herbert pass incomplete short left intended for Ladd McConkey. Penalty on Trey Hendrickson: Roughing the Passer 15 yards (accepted) (no play),2.040,3.640
2,0:28,1,10,CIN 29,6,21,Justin Herbert pass complete deep right to Will Dissly for 24 yards (tackle by Josh Newton and Geno Stone),3.640,6.060
2,0:14,1,5,CIN 5,6,21,Justin Herbert spiked the ball,6.060,5.150
2,0:13,2,5,CIN 5,6,21,Justin Herbert pass incomplete short right,5.150,4.260
2,0:08,3,5,CIN 5,6,21,Justin Herbert pass incomplete short right intended for Josh Palmer. Penalty on Josh Newton: Defensive Pass Interference 4 yards (accepted) (no play),4.260,6.970
2,0:04,1,1,CIN 1,6,24,Cameron Dicker 19 yard field goal good,6.970,3.000
3,15:00,,,CIN 35,6,24,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LAC 30,6,24,Justin Herbert pass complete short right to J.K. Dobbins for 3 yards (tackle by Germaine Pratt),0.940,0.800
3,14:23,2,7,LAC 33,6,24,Justin Herbert pass incomplete short left intended for Will Dissly (defended by Trey Hendrickson),0.800,0.100
3,14:18,3,7,LAC 33,6,24,Justin Herbert pass incomplete deep right intended for Quentin Johnston (defended by Josh Newton),0.100,-1.180
3,14:14,4,7,LAC 33,6,24,JK Scott punts 58 yards returned by Trenton Irwin for 17 yards (tackle by Shaquille Quarterman),-1.180,-0.670
3,14:01,1,10,CIN 26,6,24,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,0.670,0.130
3,13:57,2,10,CIN 26,6,24,Joe Burrow pass incomplete short left,0.130,-0.560
3,13:54,3,10,CIN 26,6,24,Joe Burrow pass incomplete short left intended for Mike Gesicki,-0.560,-1.630
3,13:49,4,10,CIN 26,6,24,Ryan Rehkow punts returned by Derius Davis for no gain. Penalty on Akeem Davis-Gaither: Ineligible Downfield Kick 5 yards (accepted) (no play),-1.630,-1.960
3,13:36,4,15,CIN 21,6,24,Ryan Rehkow punts 63 yards returned by Derius Davis for 25 yards (tackle by Tanner Hudson),-1.960,-1.660
3,13:23,1,10,LAC 41,6,24,Gus Edwards right tackle for 1 yard (tackle by B.J. Hill and Joseph Ossai),1.660,1.260
3,12:47,2,9,LAC 42,6,24,Justin Herbert pass incomplete short middle intended for Quentin Johnston,1.260,0.560
3,12:43,3,9,LAC 42,6,24,Justin Herbert pass complete short middle to Ladd McConkey for 19 yards (tackle by Logan Wilson),0.560,2.980
3,12:06,1,10,CIN 39,6,24,J.K. Dobbins up the middle for -3 yards (tackle by Mike Hilton and Germaine Pratt),2.980,2.040
3,11:24,2,13,CIN 42,6,24,Justin Herbert pass complete short right to Will Dissly for 7 yards (tackle by Geno Stone),2.040,2.280
3,10:40,3,6,CIN 35,6,24,Justin Herbert pass incomplete deep left intended for Quentin Johnston (defended by DJ Turner),2.280,0.970
3,10:34,4,6,CIN 35,6,27,Cameron Dicker 53 yard field goal good,0.970,3.000
3,10:29,,,LAC 35,6,27,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,10:29,1,10,CIN 30,6,27,Chase Brown right tackle for 4 yards (tackle by Derwin James),0.940,0.930
3,9:51,2,6,CIN 34,6,27,Joe Burrow pass incomplete deep right intended for Jermaine Burton,0.930,0.230
3,9:45,3,6,CIN 34,6,27,Joe Burrow pass complete short left to Tee Higgins for 23 yards (tackle by Kristian Fulton). Penalty on Kristian Fulton: Illegal Contact 5 yards (declined),0.230,2.720
3,9:35,1,10,LAC 43,6,27,Chase Brown up the middle for 27 yards (tackle by Alohi Gilman),2.720,4.510
3,8:59,1,10,LAC 16,6,27,Joe Burrow pass incomplete deep middle intended for Tee Higgins (defended by Kristian Fulton),4.510,3.900
3,8:54,2,10,LAC 16,6,27,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Cam Hart),3.900,4.850
3,8:16,3,1,LAC 7,6,27,Chase Brown up the middle for 2 yards (tackle by Daiyan Henley),4.850,6.060
3,7:37,1,5,LAC 5,6,27,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Cam Hart). Penalty on Cam Hart: Defensive Holding 3 yards (accepted) (no play),6.060,6.740
3,7:34,1,2,LAC 2,6,27,Chase Brown up the middle for -3 yards (tackle by Teair Tart),6.740,5.150
3,6:52,2,5,LAC 5,6,27,Drew Sample left end for -4 yards (tackle by Alohi Gilman),5.150,3.360
3,6:08,3,9,LAC 9,6,27,Joe Burrow pass complete short left to Chase Brown for 5 yards (tackle by Cam Hart),3.360,3.030
3,5:31,4,4,LAC 4,12,27,Joe Burrow pass complete short middle to Ja'Marr Chase for 4 yards touchdown,3.030,7.000
3,5:27,,,LAC 15,13,27,Evan McPherson kicks extra point good,0.000,0.000
3,5:27,,,CIN 35,13,27,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
3,5:27,1,10,LAC 30,13,27,Justin Herbert pass incomplete short left intended for Quentin Johnston (defended by DJ Turner),0.940,0.390
3,5:22,2,10,LAC 30,13,27,Justin Herbert pass incomplete short middle intended for Josh Palmer (defended by Jay Tufele),0.390,-0.300
3,5:19,3,10,LAC 30,13,27,Justin Herbert sacked by Joseph Ossai for -12 yards,-0.300,-2.240
3,4:35,4,22,LAC 18,13,27,JK Scott punts 32 yards out of bounds,-2.240,-2.260
3,4:27,1,10,LAC 50,13,27,Joe Burrow pass complete short right to Chase Brown for 3 yards (tackle by Daiyan Henley),2.260,2.120
3,3:48,2,7,LAC 47,13,27,Chase Brown left guard for 5 yards (tackle by Derwin James),2.120,2.080
3,3:07,3,2,LAC 42,13,27,Joe Burrow pass incomplete short left intended for Jermaine Burton (defended by Eli Apple),2.080,0.460
3,2:59,,,,,,Timeout #1 by Cincinnati Bengals,,
3,2:59,4,2,LAC 42,19,27,Joe Burrow pass complete deep middle to Tee Higgins for 42 yards touchdown,0.460,7.000
3,2:53,,,LAC 15,20,27,Evan McPherson kicks extra point good,0.000,0.000
3,2:53,,,CIN 35,20,27,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
