Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA
2,0:58,1,10,IND 33,13,0,Breece Hall right tackle for 4 yards (tackle by Kenny Moore),3.380,3.380
2,0:52,,,,,,Timeout #1 by New York Jets,,
2,0:52,2,6,IND 29,13,0,Aaron Rodgers pass incomplete short middle intended for Garrett Wilson (defended by Jaylon Jones),3.380,2.680
2,0:48,3,6,IND 29,13,6,Aaron Rodgers pass complete short middle to Breece Hall for 29 yards touchdown,2.680,7.000
2,0:40,,,IND 15,13,7,Anders Carlson kicks extra point good,0.000,0.000
2,0:40,,,NYJ 35,13,7,Anders Carlson kicks off 66 yards returned by Tyler Goodson for 33 yards (tackle by Chazz Surratt),0.000,1.070
2,0:34,1,10,IND 32,13,7,Jonathan Taylor right guard for 3 yards (tackle by Will McDonald and Chuck Clark),1.070,0.930
2,0:12,2,7,IND 35,13,7,Anthony Richardson pass complete short right to Kylen Granson for 4 yards (tackle by Sauce Gardner),0.930,0.760
2,0:08,,,,,,Timeout #2 by New York Jets,,
2,0:08,3,3,IND 39,13,7,Anthony Richardson pass incomplete deep middle intended for Michael Pittman,0.760,-0.780
2,0:03,4,3,IND 39,13,7,Anthony Richardson pass incomplete deep right,-0.780,1.530
3,15:00,,,NYJ 35,13,7,Anders Carlson kicks off 68 yards returned by Ashton Dulin for 43 yards (tackle by Chazz Surratt),0.000,1.600
3,14:55,1,10,IND 40,13,7,Jonathan Taylor up the middle for 4 yards (tackle by Solomon Thomas),1.600,1.590
3,14:22,2,6,IND 44,13,7,Anthony Richardson sacked by Javon Kinlaw for -15 yards. Anthony Richardson fumbles (forced by Javon Kinlaw) recovered by Javon Kinlaw at IND-29 and returned for 4 yards (tackle by Anthony Richardson),1.590,-3.910
3,14:09,1,10,IND 25,13,7,Breece Hall left end for 7 yards (tackle by Zaire Franklin),3.910,4.370
3,13:30,2,3,IND 18,13,13,Breece Hall right end for 18 yards touchdown,4.370,7.000
3,13:22,,,IND 15,13,14,Anders Carlson kicks extra point good,0.000,0.000
3,13:22,,,NYJ 35,13,14,Anders Carlson kicks off 62 yards returned by Tyler Goodson for 18 yards (tackle by Marcelino McCrary-Ball),0.000,0.340
3,13:17,1,10,IND 21,13,14,Jonathan Taylor left end for -3 yards (tackle by Isaiah Oliver),0.340,-0.700
3,12:39,2,13,IND 18,13,14,Anthony Richardson pass incomplete short left intended for Adonai Mitchell (defended by Leonard Taylor),-0.700,-1.410
