Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
3,13:30,3,5,WAS 36,7,3,Jayden Daniels pass incomplete short right intended for Noah Brown. Penalty on Cooper DeJean: Defensive Pass Interference 14 yards (accepted) (no play),0.430,2.260
3,13:27,1,10,WAS 50,7,3,Brian Robinson up the middle for 2 yards (tackle by Josh Sweat and Nolan Smith),2.260,1.980
3,13:03,2,8,PHI 48,7,3,Jayden Daniels pass complete short right to Austin Ekeler for 20 yards (tackle by Reed Blankenship and Zack Baun),1.980,3.710
3,12:27,1,10,PHI 28,7,3,Brian Robinson left end for 8 yards (tackle by C.J. Gardner-Johnson),3.710,4.250
3,11:51,2,2,PHI 20,7,3,Jayden Daniels up the middle for -2 yards (tackle by Brandon Graham and Milton Williams),4.250,3.270
3,11:12,3,4,PHI 22,7,3,Jayden Daniels pass incomplete short left intended for Terry McLaurin,3.270,2.070
3,11:07,4,4,PHI 22,7,3,Penalty on Zane Gonzalez: Delay of Game 5 yards (accepted) (no play),2.070,1.670
3,11:07,4,9,PHI 27,10,3,Zane Gonzalez 45 yard field goal good,1.670,3.000
3,11:03,,,WAS 35,10,3,Zane Gonzalez kicks off 60 yards returned by Kenneth Gainwell for 18 yards (tackle by Jeremy Reaves). Penalty on Sydney Brown: Offensive Holding 10 yards (accepted),0.000,-0.320
3,10:56,1,10,PHI 13,10,3,Jalen Hurts right end for 7 yards (tackle by Mike Sainristil),-0.320,0.220
3,10:20,2,3,PHI 20,10,3,Saquon Barkley left guard for 1 yard (tackle by Phidarian Mathis),0.220,-0.470
3,9:41,3,2,PHI 21,10,3,Jalen Hurts pass complete short left to Dallas Goedert for 15 yards (tackle by Jeremy Chinn),-0.470,1.330
3,9:04,1,10,PHI 36,10,3,Saquon Barkley left tackle for no gain (tackle by Bobby Wagner and Frankie Luvu),1.330,0.790
3,8:20,2,10,PHI 36,10,3,Saquon Barkley right tackle for 4 yards (tackle by Noah Igbinoghene),0.790,0.630
3,7:49,3,6,PHI 40,10,3,Jalen Hurts pass complete short middle to Saquon Barkley for 43 yards (tackle by Jeremy Chinn),0.630,4.440
3,7:09,1,10,WAS 17,10,3,Jalen Hurts pass complete short right to Dallas Goedert for 2 yards (tackle by Mike Sainristil),4.440,4.150
3,6:23,2,8,WAS 15,10,3,Jalen Hurts scrambles right end for 2 yards (tackle by Benjamin St-Juste),4.150,3.680
3,5:39,3,6,WAS 13,10,3,Jalen Hurts pass incomplete short left intended for A.J. Brown,3.680,2.590
3,5:36,4,6,WAS 13,10,6,Jake Elliott 31 yard field goal good,2.590,3.000
3,5:32,,,PHI 35,10,6,Braden Mann kicks off 65 yards touchback.,0.000,0.940
3,5:32,1,10,WAS 30,10,6,Brian Robinson up the middle for 3 yards (tackle by Jordan Davis and Jalen Carter),0.940,0.800
3,5:07,2,7,WAS 33,10,6,Jayden Daniels scrambles right end for 7 yards (tackle by Zack Baun and Reed Blankenship),0.800,1.600
3,4:37,1,10,WAS 40,10,6,Brian Robinson left guard for 4 yards (tackle by Jalen Carter),1.600,1.590
3,3:58,2,6,WAS 44,10,6,Brian Robinson left tackle for 1 yard (tackle by Jordan Davis),1.590,1.030
3,3:21,3,5,WAS 45,10,6,Jayden Daniels sacked by Nolan Smith for -8 yards,1.030,-0.910
3,2:39,4,13,WAS 37,10,6,Tress Way punts 51 yards returned by Cooper DeJean for 12 yards (tackle by Jordan Magee),-0.910,-0.540
3,2:27,1,10,PHI 24,10,6,Saquon Barkley left guard for 9 yards (tackle by Jalyn Holmes and Jeremy Chinn),0.540,1.210
3,1:57,2,1,PHI 33,10,6,Jalen Hurts pass complete short right to DeVonta Smith for 2 yards (tackle by Frankie Luvu),1.210,1.270
3,1:19,1,10,PHI 35,10,6,Jalen Hurts pass complete short left to A.J. Brown for 17 yards (tackle by Mike Sainristil and Bobby Wagner),1.270,2.390
3,0:44,1,10,WAS 48,10,6,Jalen Hurts pass complete short left to DeVonta Smith for 3 yards (tackle by Phidarian Mathis and Frankie Luvu),2.390,2.250
3,0:11,2,7,WAS 45,10,6,Saquon Barkley right guard for no gain (tackle by Daron Payne),2.250,1.550
4,15:00,3,7,WAS 45,10,6,Jalen Hurts scrambles right end for 7 yards (tackle by Percy Butler),1.550,3.050
4,14:33,1,10,WAS 38,10,6,Kenneth Gainwell right guard for 14 yards (tackle by Benjamin St-Juste and Quan Martin),3.050,3.970
4,13:56,1,10,WAS 24,10,6,Kenneth Gainwell right tackle for 13 yards (tackle by Jeremy Chinn and Frankie Luvu),3.970,4.840
4,13:22,1,10,WAS 11,10,6,Kenneth Gainwell left guard for 7 yards (tackle by Bobby Wagner),4.840,5.470
4,12:42,2,3,WAS 4,10,6,Saquon Barkley left end for 3 yards (tackle by Bobby Wagner),5.470,6.970
4,12:04,1,1,WAS 1,10,12,Jalen Hurts up the middle for 1 yard touchdown,6.970,7.000
4,12:00,,,WAS 15,10,12,Jake Elliott kicks extra point no good,0.000,-1.000
4,12:00,,,PHI 35,10,12,Braden Mann kicks off 64 yards returned by Austin Ekeler for 28 yards (tackle by Jeremiah Trotter),0.000,0.870
4,11:55,1,10,WAS 29,10,12,Jayden Daniels pass complete short middle to John Bates for 8 yards (tackle by Nakobe Dean),0.870,1.410
4,11:29,2,2,WAS 37,10,12,Brian Robinson right guard for 3 yards (tackle by Brandon Graham),1.410,1.600
4,10:59,1,10,WAS 40,10,12,Jayden Daniels pass incomplete short right intended for John Bates,1.600,1.050
4,10:55,2,10,WAS 40,10,12,Jayden Daniels pass complete short left to Zach Ertz for 16 yards (tackle by Nakobe Dean),1.050,2.650
