Quarter,Time,Down,ToGo,Location,LVR,MIA,Detail,EPB,EPA
3,3:42,2,8,LVR 32,6,17,Gardner Minshew pass incomplete short right intended for Jakobi Meyers (defended by Jalen Ramsey),0.660,-0.030
3,3:39,3,8,LVR 32,6,17,Gardner Minshew pass complete short right to Alexander Mattison for 7 yards (tackle by Anthony Walker and Jordan Poyer),-0.030,-0.780
3,3:21,4,1,LVR 39,6,17,Alexander Mattison up the middle for 6 yards (tackle by Kader Kohou),-0.780,1.930
3,2:45,1,10,LVR 45,6,17,Gardner Minshew pass complete short right to Alexander Mattison for 31 yards (tackle by Quinton Bell and Jordyn Brooks),1.930,3.970
3,2:14,1,10,MIA 24,6,17,Alexander Mattison right tackle for 1 yard (tackle by Quinton Bell),3.970,3.570
3,1:34,2,9,MIA 23,6,17,Gardner Minshew pass incomplete short right,3.570,2.870
3,1:27,3,9,MIA 23,12,17,Gardner Minshew pass complete short right to Brock Bowers for 23 yards touchdown,2.870,7.000
3,1:21,,,MIA 2,12,17,Two Point Attempt: Alexander Mattison rushes conversion fails.,1.000,-1.000
3,1:21,,,LVR 35,12,17,Daniel Carlson kicks off 25 yards. Penalty on Daniel Carlson: Kickoff Short of Landing Zone (accepted),0.000,1.600
3,1:21,1,10,MIA 40,12,17,Tua Tagovailoa pass incomplete short right intended for Jonnu Smith (defended by Charles Snowden),1.600,1.050
3,1:18,2,10,MIA 40,12,17,Jaylen Wright left guard for 2 yards (tackle by Robert Spillane),1.050,0.630
3,0:36,3,8,MIA 42,12,17,Tua Tagovailoa pass complete deep right to Tyreek Hill for 18 yards (tackle by Darnay Holmes),0.630,2.920
3,0:01,1,10,LVR 40,12,17,Penalty on Maxx Crosby: Neutral Zone Infraction 5 yards (accepted) (no play),2.920,3.650
4,15:00,1,5,LVR 35,12,17,Tua Tagovailoa pass complete short right to De'Von Achane for no gain (tackle by Robert Spillane and Jonah Laulu). Penalty on Aaron Brewer: Offensive Holding 10 yards (accepted) (no play),3.650,2.590
4,14:33,1,15,LVR 45,12,17,Tua Tagovailoa pass complete short right to Jaylen Wright for 2 yards (tackle by Jack Jones),2.590,1.970
4,13:51,2,13,LVR 43,12,17,Tua Tagovailoa pass complete short left to Malik Washington for 9 yards (tackle by Robert Spillane and Tre'von Moehrig),1.970,2.480
4,13:13,3,4,LVR 34,12,17,Tua Tagovailoa pass complete short left to Jonnu Smith for 13 yards (tackle by Decamerion Richardson),2.480,4.170
4,12:29,1,10,LVR 21,12,17,Jaylen Wright right end for -2 yards (tackle by Darnay Holmes and Adam Butler),4.170,3.360
4,11:49,2,12,LVR 23,12,17,Tua Tagovailoa pass complete short right to Julian Hill for 17 yards (tackle by Amari Burney),3.360,5.830
4,11:23,1,6,LVR 6,12,17,Tua Tagovailoa pass complete short left to Malik Washington for 4 yards (tackle by Tre'von Moehrig and Robert Spillane),5.830,5.720
4,10:41,2,2,LVR 2,12,23,De'Von Achane left end for 2 yards touchdown,5.720,7.000
4,10:37,,,LVR 15,12,24,Jason Sanders kicks extra point good,0.000,0.000
4,10:37,,,MIA 35,12,24,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
4,10:37,1,10,LVR 30,12,24,Gardner Minshew pass complete short left to Jakobi Meyers for 4 yards (tackle by Jordyn Brooks),0.940,0.930
4,10:01,2,6,LVR 34,12,24,Gardner Minshew pass complete short right to Jakobi Meyers for no gain (tackle by Da'Shawn Hand). Penalty on Tre Tucker: Offensive Pass Interference 10 yards (accepted) (no play),0.930,-0.420
4,9:30,2,16,LVR 24,12,24,Gardner Minshew pass complete short middle to Alexander Mattison for 12 yards (tackle by Anthony Walker and Jordyn Brooks),-0.420,0.500
4,8:46,3,4,LVR 36,12,24,Gardner Minshew pass complete short right to Brock Bowers for 6 yards (tackle by Jalen Ramsey). Penalty on Emmanuel Ogbah: Defensive Offside 5 yards (declined),0.500,1.730
4,8:25,1,10,LVR 42,12,24,Gardner Minshew pass incomplete short right intended for Brock Bowers (defended by Quinton Bell),1.730,1.190
4,8:21,2,10,LVR 42,12,24,Gardner Minshew pass complete short left to Jakobi Meyers for 7 yards (tackle by Kader Kohou),1.190,1.420
4,7:37,3,3,LVR 49,12,24,Gardner Minshew pass incomplete short right,1.420,-0.130
4,7:29,4,3,LVR 49,12,24,Gardner Minshew pass complete short left to Brock Bowers for 7 yards (tackle by Jordan Poyer and Jordyn Brooks),-0.130,2.650
4,7:06,1,10,MIA 44,12,24,Ameer Abdullah left tackle for 1 yard (tackle by Quinton Bell),2.650,2.250
4,6:26,2,9,MIA 43,12,24,Gardner Minshew pass complete deep left to Tre Tucker for 22 yards (tackle by Jordan Poyer),2.250,4.170
4,5:50,1,10,MIA 21,12,24,Gardner Minshew pass complete short left to Ameer Abdullah for 5 yards (tackle by Jordyn Brooks),4.170,4.370
4,5:17,2,5,MIA 16,12,24,Gardner Minshew pass complete short middle to Brock Bowers for 6 yards (tackle by Jordyn Brooks),4.370,4.910
4,4:40,1,10,MIA 10,12,24,Gardner Minshew pass incomplete short right intended for Ramel Keyton,4.910,4.190
4,4:33,2,10,MIA 10,12,24,Gardner Minshew pass incomplete short right intended for Brock Bowers,4.190,3.130
4,4:30,3,10,MIA 10,18,24,Gardner Minshew pass complete short right to Ameer Abdullah for 10 yards touchdown,3.130,7.000
4,4:23,,,MIA 15,19,24,Daniel Carlson kicks extra point good,0.000,0.000
4,4:23,,,LVR 35,19,24,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,4:23,1,10,MIA 30,19,24,De'Von Achane up the middle for 7 yards (tackle by Divine Deablo and John Jenkins),0.940,1.340
4,3:37,2,3,MIA 37,19,24,De'Von Achane left tackle for -2 yards (tackle by Adam Butler),1.340,0.370
4,3:35,,,,,,Timeout #1 by Las Vegas Raiders,,
4,3:35,3,5,MIA 35,19,24,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle. Penalty on Darnay Holmes: Defensive Pass Interference 9 yards (accepted) (no play),0.370,1.860
4,3:32,1,10,MIA 44,19,24,De'Von Achane right end for -1 yards (tackle by Jonah Laulu),1.860,1.180
4,3:28,,,,,,Timeout #2 by Las Vegas Raiders,,
4,3:28,2,11,MIA 43,19,30,Tua Tagovailoa pass complete deep middle to Jonnu Smith for 57 yards touchdown,1.180,7.000
4,3:19,,,LVR 15,19,31,Jason Sanders kicks extra point good,0.000,0.000
4,3:19,,,MIA 35,19,31,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
4,3:19,1,10,LVR 30,19,31,Gardner Minshew pass short right intended for Jakobi Meyers is intercepted by Jalen Ramsey at LV-38 and returned for 7 yards (tackle by Jakobi Meyers),0.940,-3.510
4,3:12,1,10,LVR 31,19,31,Jaylen Wright up the middle for -1 yards (tackle by John Jenkins),3.510,2.830
4,3:08,,,,,,Timeout #3 by Las Vegas Raiders,,
4,3:08,2,11,LVR 32,19,31,De'Von Achane up the middle for 1 yard (tackle by Robert Spillane and Maxx Crosby),2.830,2.280
4,2:25,3,10,LVR 31,19,31,Tua Tagovailoa pass complete short right to Durham Smythe for 3 yards (tackle by Tre'von Moehrig and Robert Spillane),2.280,1.500
4,2:00,4,8,LVR 29,19,34,Jason Sanders 46 yard field goal good,1.500,3.000
4,1:55,,,MIA 35,19,34,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
4,1:55,1,10,LVR 30,19,34,Gardner Minshew pass complete short left to DJ Turner for 12 yards (tackle by Storm Duck),0.940,1.730
4,1:34,1,10,LVR 42,19,34,Gardner Minshew pass complete short right to Tre Tucker for 2 yards (tackle by Storm Duck),1.730,1.460
4,1:12,2,8,LVR 44,19,34,Gardner Minshew pass complete short right to Brock Bowers for 12 yards (tackle by Storm Duck and Jordyn Brooks),1.460,2.650
4,1:06,1,10,MIA 44,19,34,Gardner Minshew pass complete short left to DJ Turner for 9 yards (tackle by Anthony Walker),2.650,3.330
4,0:45,2,1,MIA 35,19,34,Gardner Minshew pass incomplete short left intended for Tre Tucker,3.330,2.610
4,0:42,3,1,MIA 35,19,34,Gardner Minshew pass complete short right to Ameer Abdullah for 1 yard (tackle by Jalen Ramsey) Replay Assistant challenged the first down ruling and the play was upheld.,2.610,3.310
4,0:13,1,10,MIA 34,19,34,Gardner Minshew pass complete short right to Brock Bowers for 6 yards (tackle by Jordyn Brooks),3.310,3.580
4,0:09,2,4,MIA 28,19,34,Gardner Minshew pass complete short right to Brock Bowers for 4 yards (tackle by Jalen Ramsey),3.580,3.450
